,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0635179616927955,0,0,0,0.247736998048645,0,0.304318713187617,0,0,0.142424468559458,0.2271731521944,-0.182928742480246,0.00292527355595959,0,0,0,0,0,0.0000000000000000000542101086242752
ETH,0.054410036964757,0,0,0.14069372992082,0.210192493459893,0.17136692504608,0.0141759916010413,0.0888875067076735,0.00891782653144819,0,0.0995833071972214,0,0,0.0787172134650609,0.119903468155067,0,0,0,0,0.0129258475688636
XRP,0,0,0,0,0,0,0.201221050797967,0,0.0634929487523042,0.0465319681304703,0.117645515474086,0.195125844212576,0.027696450400046,0.029218517269429,0.0471703944055785,0,0.0596906071622939,0,0,0.0187591039209107
BCH,-0.0161720088125388,0.0720712831487461,0,0,0.438554762629009,0.227780217229566,0.164513527490257,-0.166252445927383,0,0.102614611889476,0,0,0,0,0.193919620454036,0,0.0337715724199645,0,0,0
BSV,0.158844582282041,0.181396795014266,0,0.536720839874027,0,0,0,0,0,-0.00000000000000000173472347597681,0,0,0.0372677614518804,0,0,0,0,0,0,0
LTC,0.0986435772820098,0.342766691255628,0.145320430067143,0,0.0282606938432331,0,0.204659486831055,0.016145545572424,0,0.0122541420077403,0,0.0590065074073273,0.0519168000712372,0,-0.0873145231887817,0,0,0,0,0
EOS,0,0.0409891549555063,0,0.0755008091092136,0.0263578152500993,0.400311847945569,0,0,0.0299684241307305,0.0837869102941822,0.0860923269760046,0.170551359132127,-0.000000000000000000433680868994202,0,0.0432563851243172,0,0,0,0,0.0303740992896648
BNB,0.229299574158613,0.0791922353307323,0,0,0.238956821132557,0,0,0,0.0870801918055578,0.0546059936029289,0,0,0,0.013311831401221,0.157820860236375,0,0,0,0,0.0466102688632397
ADA,0.121882206938627,0.164910101358727,0,0,0,0,0,0,0,-0.0452292543216232,0,0.293402366174587,0.338278263176814,0.344678539515557,0,0,-0.089716824862635,0,0,-0.0226922013226697
ETC,0,0.117969822195807,0,0.254324440313286,0,0,0.0667730695556917,0.322374481081005,-0.0426786365642339,0,0.208064899212182,0,-0.0492160981862991,0.0240064306117412,0.179081297720331,0,0,0,0,0
XMR,0.0932620773438202,0.0246062719464205,0,0,0,0.429297628112773,0.10220684685653,0,0.0136809233751376,0.0158216708870751,0,0.00890586112269949,0.0771677593599384,0.140566368926578,0,0,0,0,0,0.0504489269606443
TRX,0,0,0.00000000000000000693889390390723,0.251618148736911,0,0.154724550294866,0.130203319391685,0,0.12011690720448,0.198696626094808,0.0552431761898461,0,0.127063578542132,0.0226283379083018,0,0.0929926413296308,0,0,0,-0.019382734067753
XLM,0,0.0411835553668149,0.133952877208787,0,0.209771251448876,-0.00926898145214653,-0.0990799088690348,-0.0412284715480368,0.233333346597889,0.153763310134964,0,0,0,0,0.388145481725394,0,0,0,0,0
XTZ,0.0114697714424151,0,0,0,0,0,0.189930241362793,0,-0.150936152403182,0.0417965538215182,0.0580134397048958,0,0.267767077923343,0,0.516132862711632,0,-0.0882509218335456,0,0,0
DASH,0,0.0846812917417928,0.123737974842307,0,0,0,0,0.251626873586798,0,0,0,0.257344416202664,-0.0705049075436355,0.182755821095621,0,0,0,0,0,0.0269744154930463
BV010082.INDEX,-0.0257337175485032,-0.131522818795884,0,0,0,0,-0.104714685829975,0.125534659419522,0.0455791133794168,0,0.169684945924371,0.140706116770675,0.00704267266487088,0,-0.311613519714126,0,0,0,0,0.0372732154514346
CVIX.INDEX,0,0,-0.464737461221837,0,-0.749479308026165,0.673141298312022,0,0,-0.169361085858503,0,0.127651785753131,0,0.0616659197617765,0.0441585216991351,0.484357244064153,0,0,0,-0.109810597744243,-0.119373621165602
DXY.INDEX,0.042084717248514,0,0.0160512688093353,0,-0.0470703068937484,-0.0746838854425258,-0.014111179529816,-0.0491559021768875,0.0276527703634664,-0.0157756185274802,0.0173201284963133,0.0596690351320775,0.0183121321859525,0,0,0,0.029990830303863,0,-0.234212413585949,-0.0449212701856516
SPX.INDEX,0,0,0,0,0,0,0,-0.0975775786379138,0.0615082881719754,-0.00450903477959524,0,0.128707399867908,-0.029255401466479,-0.0623704640328624,-0.117995482652616,0,-0.0313761063394133,0,0,-0.216422930605317
VIX.INDEX,0,0,0,0,0,0,0.0242864037115187,-0.387923230299105,0.333842981054528,0,0,0.179198124756382,0.0636719347700423,-0.334220450250083,-0.358258221449581,0,-0.18094755465154,0,-4.1230604426076,0
