,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.114999516693618,0,0.296136664246149,3.46944695195361e-18,0,-0.0837414360325917,-0.00611630980223533,0,0.207948937618198,0.05710729921345,0.0453853700597045,0,0,0.000227542574732617,0,0.0499886283544439,0,0,0
ETH,0,0,0,0,0.0255066829671639,0,0,0,0.0731398576970133,0.135258431558467,0,0.0953069570609816,0,0,0.0917917416572945,0,0,0,0,0
XRP,0,0.0255067863785485,0,0.30002681153195,-2.16840434497101e-19,0.198886853307035,0.0699703159562204,-0.0663956188842944,0,0.086102409506861,-0.00923438642066633,0,0,0.0886612234296057,0.0544812354977652,0,0,0,0,0
BCH,0.198765354878788,0,0,0,0.255112653990734,0.346985477134046,0.0875519487739591,-0.0235703135234288,0,0.102472141772669,0.102202556409521,0,-0.0065819940755675,0.0208061929577334,0.0376591932720581,0,0,0,0,0
BSV,0.238188430480375,0.115800701509585,0.0526685923629077,0.489437047297711,0,0.214168632506279,0,0,-0.0412749089612021,-0.0420782708990746,0.142357924446994,-0.0624412462472075,-0.0819031737237007,0,-0.0624417670151284,0,0,0,0,0
LTC,0,0.113109997787225,0,0.269780130942901,0.0218411837085448,0,0.096112179182768,0,0,0,0.328874974717516,0.067720216904381,0,0,-0.0262721374265028,0,0,0,0,0
ADA,-0.835338531182116,0.306607998546175,0.244393014850025,0.641239551660675,0,0,0,0.111663477647611,-0.0401906522003793,0,0,0.143096282457897,0.0517377906037008,-0.350449833398029,0.184473608185617,0,-0.118438660225738,0,0,-0.0767870890441277
LINK,-0.179833584586398,0,0.439069257840898,1.01048805187403,0.148767302185143,-0.924514818129893,0.418195674968521,0,-0.123571358943419,0.457562982647104,-0.102830131842815,0.134132692414952,0.214603862648271,-0.156102456823658,0,0,1.73472347597681e-18,0,0,0
BNB,0,0.137597103708526,0,0,0,0.0599185662327017,0.111682953495953,-0.0634851857067171,0,0.168552712632971,0.138451080213072,0,0.0398352916181278,0,0.135593854723749,0,0,0,0,0.0188816276968102
CRO,0.643124606405078,0,0,0,0,0.253260752138333,0,-0.114782337809375,0,0,0,0,0.107276690693136,0.173144826090891,0,0,0.145264967554135,0,0,0
EOS,0,-0.0742227965599298,-0.264373405251354,0.358621465595911,0.188988619779055,0.301084312071315,0.0326880404482123,0,0,0,0,0.0203986569890579,0.0547277183302573,0,0.224861574209766,0,0,0,0,-0.050964174961039
XTZ,0,0,-0.053557380782836,0,0,0,0.0356534014560728,0.263879585583578,0.233266983529038,0.0586033599589698,0,0,0.325202875776741,0.252077093901854,-0.306378087486422,0,-0.118289621894098,0,0,0.107959534201889
XLM,-0.245732142206732,-0.248503802425889,0.314625720406272,0.122151167228195,0,0,0.309238966424101,0.0325375606802793,0,0.110005181206632,0.223900233450348,0.0634346504973714,0,0,0.257112166965653,0,0.017319007134719,0,0.134612899554688,0.146289779315473
XMR,0,0,0.183154063517236,0.186304886512628,-0.0688095583987802,0.206727236645956,0,0.0418961505580084,0.349251679037087,0.00431983026366983,-0.08578676732721,0.0893408533493321,0,0,0,0,-0.0283081586464005,0,0,0.0112839624996889
TRX,-0.0916932385546188,0.0531687408966606,0,0,0.266450148445837,0,-0.0907462276820872,-0.00801452514634077,0,0,0.145208403298431,-0.0287635553616989,0.221537314338668,0.237505244474207,0,0,0,0,-0.708825654313622,0
BV010082.INDEX,0,0,0,0,0,0,0.0217393764110674,0,0,0,0,0,0,0,0,0,-0.000625796745552851,0,0,-0.00531830830702125
CVIX.INDEX,0.266540763815021,0.758199735287702,0,-1.1971310136806,0.312384723549095,0,-0.420811129594199,0.018519944470578,0,0.659859802338122,0,0,0.348880216397779,0,0.0324768845295149,0,0,0,0,-0.0459922195411957
DXY.INDEX,0.0751756308148384,-0.0398183549397785,0.0467893241196807,-0.0588876135434769,0,0,0,-0.00868599771707505,0,0.00535765570734066,0,0.0129855672122609,0.00242452431761599,-0.0544012779072552,0.0140996386414282,0,-0.0046112621691264,0,0,0.0056604702791505
SPX.INDEX,0.0794513729688522,0.0681406945843984,-0.0262647313897557,0,-0.124780141610967,0,-0.0364476048868874,-0.013002937488509,0.139685062682776,0,0,0.0553328060938926,0.0553578298766146,0,-0.0897842585830279,0,0.0219469246206482,0,0,-0.166064586210541
VIX.INDEX,0.63192222604741,0,0,0,-1.05936437186875,0,0.123801540658624,0.0964428509363145,0.236265197346329,0,0.644211373127332,0.0133367129553344,6.93889390390723e-18,0,0,0,0,0,-2.66805268058439,0
