,BTC,ETH,XRP,BCH,LINK,BNB,DOT,LTC,BSV,ADA,EOS,XMR,TRX,CRO,WBTC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0457709481289213,0,0.094601351572745,0,0.05841142236978,0.0150095681245216,0.0123104163471095,0,0,0.0919148637111925,0.122492935180116,-0.0283597189305099,0,0.233602319063145,0,0,0,0,0.028212507744715
ETH,0.0646360848110299,0,0.416858559769625,0,0.178840496789957,0.0902315146275018,0.00626372568274304,0.144443696723354,0,0.225960659659858,-0.0979944148427079,4.33680868994202e-19,0.0835439452524097,0,0,0,0,0,0,0.00143346211914432
XRP,0,0.0707475452448106,0,0.376913556358079,-0.0279784819250312,0,0.0757369744981879,0.07546905912818,0,0.112648199283092,0,0,0.00316319936846074,0.0944451369687188,0,0,0.0802322568827109,0,0,0.049310277728613
BCH,0,0,0.0912913000666468,0,0,0.0880522925913589,0.0441320650992767,0.1252654345309,0.373644577888276,0.137781972544773,0.166640085571921,0.0152645352543251,-0.0118884087519528,0,0,0,0.126925952847499,0,0,0
LINK,0,1.14546596513398,-0.271927336818803,-0.0955201161972475,0,0,0.0790797555981659,-0.220529116809612,0,0.0045833910480223,0.525853479875323,0.114530848074689,-0.0588851987291335,-0.237136492292277,0,0,0,0,0,-0.157758378553805
BNB,0.796799555665602,0,0,-0.894933181360193,0.219359762393214,0,0.0442120155086825,0.699432554964803,0,0.304913393179095,0,-0.181491176930515,0.0353564113562331,0,0,0,0.803222253726108,0,0,0.241449691151312
DOT,0,0.62739907284917,0,0,0.152397915426599,0,0,-0.340877914525612,-0.262258385947165,0.228091717083447,0,0,0.171460091699448,0.0585507506258296,0,0,0,0,0,-0.0439580197031589
LTC,0,0.182171429843114,0,0.209877652355227,0.0549076763664892,0,0,0,0.386532002454948,0.0409587666428311,0,0,-0.0199042744934754,0.00258734138532418,0.190857709622439,0,0,0,0,-0.0170294415732689
BSV,0,0.082405075489446,0,0.475796285969698,-0.0416944675699876,4.33680868994202e-19,0.023388310349577,0,0,0.0559961865808256,0.0735965264216478,0.178802426959471,0,0.147501112277026,0,0,0,0,0,0.0700137338329813
ADA,0,0.129741188011397,0,0.295638840565508,0.0763786473791309,0.0174077792054455,0.0445009621278246,0.218359502716917,0,0,0.0885976420032872,0,0.0637391603039309,0.13627599275824,0.258741013875332,0,0,0,0,0.0224132038278564
EOS,0,0.578784110459432,0,0.258531577523009,0.0285295601232419,-0.0554105512442024,-0.0638680517103259,0,0.105421275482312,0.0491629963181701,0,-0.0859103464690212,-0.0129734817243654,0.134653822319395,0,0,-0.0570128228799526,0,0,0
XMR,0,0.163991038167761,0,0.491441459584094,0.149022794467311,-0.0296226043392474,0,0.0211500368115971,0,-3.46944695195361e-18,-0.120290529215148,0,0.083146119733817,0.0225037744740879,0,0,0.0895055506195466,0,0,0.0405352630800139
TRX,-1.03631588084171,0,-2.35275071864863,2.26596640053003,0,0.344440641523785,0.457209808584093,0,0.929476496982178,0.834322593878086,-1.01341375421301,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0131386790199241
CRO,-1.10986854862884,8.67361737988404e-19,1.57618411820586,-1.36631644787116,-0.255456557494741,0.384399118687373,0.165304170075217,0,1.2344210689542,-0.439327089537181,0.604641492014456,0,-0.0834436177151886,0,-0.081092831278782,0,0,0,0,-0.0604333181316223
WBTC,0.355885486963387,0,0,0,-0.0337248841146387,0,0.0925392649205243,-0.129551602707123,0,0.244930316457968,3.46944695195361e-18,0.0413317829085972,-0.000417802055722393,0,0,0,0.122107826193852,0,0,-0.0169189493307309
BV010082.INDEX,0.0653586084576252,0,0.0494322557576505,0,-0.00373400236756003,0.012189816494212,0.0219495224785492,0,0.0029750106605715,-0.0483035933932695,-0.0418287245353054,0,0.00298988802426249,0,-0.0542992517302829,0,-0.0253694897266748,0,0,0.0232943392646466
CVIX.INDEX,-0.240385647759019,-0.153949497193353,0.435511234719328,0.411552484275051,0,0.151147697661278,0.0122306787250181,0,0.0333989738551212,-0.389828636587121,0.0309055299042854,0.234268693860892,-0.0634408098802107,0.0515822360487687,0,0,0,0,0.0416669088290973,-0.0549261058776024
DXY.INDEX,-0.0713807467250039,0.0415377635666412,0,0,-0.0159124367243919,0.0342516429071125,0,0,0,0,0.00721978900329689,0.0213215168631047,-0.0155791359352566,-0.00882030834311933,0,0,-0.03905941260185,0,-0.0612478555187869,-0.00761152311032685
SPX.INDEX,0,0.0600436341607255,-0.0883687789673656,0,0,-0.104083683031811,0.0475330483203562,0,0,0,0,-0.0121711782437634,0.00996625807338874,-0.0542709322581537,0,0,-0.0899758008516749,-1.51458081495547,0,-0.0574036071580996
VIX.INDEX,0,0,0,0,0,3.46944695195361e-18,0,0,-0.86774770609615,-0.639669060063421,0,1.06939228232619,0.0817010491326711,0.304975751356612,0,0,0,0,0,0
