,BTC,ETH,XRP,LTC,DOT,BCH,ADA,BNB,LINK,WBTC,BSV,XLM,XMR,EOS,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0138972786047918,0.00716911749787624,0,0.00796408935171926,0,0.00946131573223988,0.874118400280754,0,0.00352705471969982,0.0388271531011575,0,0,0,0,0,0,0
ETH,0,0,5.42101086242752e-20,0.131897166975497,-0.0240233493557255,0.0914966597004778,0.125949665671006,0,0.339775386946445,0,0,-0.0291683303399115,0.065016956504012,0,0,0,0,0,0,-0.0754220767703982
XRP,-0.621628446828924,-0.433703191076155,0,0,0.26391605026162,0,0.173804307492318,-0.8940172607932,0.367340234741587,0,0.31320362304781,0.0883284347046701,-0.477805146245388,2.45038391078517,-0.693307372873,0,0.125841420265094,0,0,0.1202030711025
LTC,0.322279943745893,0,0.0052880436705977,0,0,0,-0.0984006012048686,0,0,0,0.0172879890730773,-0.0554906058126416,0.550010277784284,0.561802698714223,0,0,0,0,0,0
DOT,-0.35819037343573,0.355316952767306,-0.0369113180697026,0,0,-0.030006907331955,0.0095994718806498,0,0.235267520920028,0,0,0,0,0.460414551145884,0.184338912435264,0,0,0,0,0
BCH,0.0467589395778503,0,0.0989047614313048,0.0782161187714207,-0.011766242337098,0,-0.0415830145342045,0.44940166924152,0,0,0.304407408091547,0.061078255750388,0.164565193257134,0,0,0,0,0,0,0
ADA,0.154911127162159,0.415301367703717,0.162218800062877,0,0,0,0,0,0.238159559106004,0,0,0.110385301855511,0,0,0.231962657991876,0,0,0,0,0.265790647891478
BNB,0,0,-0.0648521769150905,0,0.11389145479359,0.205338395296,0.158251821647364,0,0.112195478713802,0,0,0,0.151159932001996,0,0,0,0,0,0,0
LINK,0,0.0686980488180453,0.0861914767274253,0,0,0,0.0910015323041913,0.134068697823534,0,0.0448863073686111,-0.00854902154286177,-0.0507740874215961,0.404252694207139,0.315685607565324,0.224838086936535,0,0.111748387463561,0,0,-0.17250216721164
WBTC,0.792027757626088,0,0,0.0266725821079704,0,0.0232575070039652,0,0,0,0,0,0.0122301443548854,0,0,0.0220759444622872,0,0,0,0,-0.00324260307751836
BSV,0.0326010137153365,-0.0740611869772717,-0.0178105412990857,0.196971304014577,0,0,0,0.0911559586344029,0.0774260780218297,0,0,0.00194273020846053,0,0.524683823780897,0,0,0,0,0,0
XLM,0,-0.28257589146915,0.0381836597569497,0,-0.0959240723347307,0,0.1643017073858,0,0.265608813266059,0,0.597192911519541,0,0,0,0.312625788070531,0,0,0,0,0
XMR,0,0,0.0270680399050313,0.0982908740841279,0.145240938018912,0,0,0,0,0,0.476693605295128,0.0391820284567121,0,0,-0.031215767248919,0,0,0,0,0.0743565154448272
EOS,0,0,0.244900317390606,0.0657520814894038,0.0825946565081969,0.0715472950962304,0.0545392327035473,0,0.11384777002806,0,0.433225156845047,-0.0666750386044275,-0.166273184810993,0,0,0,0,0,0,0
OKB,0,0,-0.0489229501023697,0.128448230096944,0.245848516977249,0.0393911725633297,0.106717739947401,0,-0.0725198347115756,0,0.168177424064483,-0.0410989669048903,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,-0.0279587778615352,0,0,0,0,0,0,0,0,0,0,0,0,0.0214099985567468
CVIX.Index,0,-0.188958178690168,0.000838112226761124,-0.100232247154825,0,0.265242427272209,0,0,0.0394304128107785,0,0,-0.185761642432851,0,0.156036237481956,0,0,0,0,0.263780671196222,0.235311996140785
DXY.Curncy,0,0.0135549986649177,-0.0125055443139581,-0.0170521852681465,0,0.0413057911815502,0.0013959531355403,0.00102633682145305,0,0,-0.0863083017009642,0.00325572503368091,0,0.0721790116060504,-0.0353064766863979,0,0,0,-0.229988795013816,1.0842021724855e-19
SPX.Index,0,0,0.00486240979597668,0.0188988218164647,0.0325268168397182,0,0.000221567302598106,0,-0.0754133391513581,0.0306768018498982,0,0,0.0224758407722431,0,-0.0185967774836733,0,0.0575017192346724,0,0,-0.0950380512429752
VIX.Index,0,0,0.0833398620726588,3.46944695195361e-18,0.104945071645736,-0.169228539114085,0.177592010655041,0,-0.886092535110335,0.111572938806092,-0.0973198158157358,0.0417614755854284,0.478584311696124,0.128254457095392,0.245140196876177,0,0.875688490371128,0,-4.25742253485106,0
