,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0341041498100346,0.139096700947402,0.0971437233133475,-0.00358466895740741,0.0918193931499543,0.0546110682404573,0.0143734101374969,-0.00880550946563511,0,0.0529005257903218,0.317160306084959,0,-0.0378974135597558
XRP,0.861581677732468,0,0.0992470968868778,0.12329133728884,0.212208595755441,0,0.00240658827449743,-0.247307612845502,-0.290294081432505,0,0.535401399519266,-1.09638207037079,0,-0.0769139294790989
LTC,0.853485595229922,0.173423184407167,0,0.14970145920515,-0.192636992386743,-0.0838269475144234,0.104840771384344,0,0,-0.265164521441883,0,0,0,0.0723930236599607
DOGE,-0.676802174593639,0.137168132169492,0.284953904137312,0,0.331868794159442,0.0754925990749334,0.306852181748699,0.444013308799512,0,0.747928596574088,0.510123248134495,0,0,-0.0347005038263444
XLM,1.22526345983947,0.407305731440633,0.142401970017276,0.121773723921377,0,-0.169196410715622,-0.376836611678171,0.0694576753788553,-0.151667976313993,-0.628826187465129,0,-0.0670816090207795,-1.61626122596849,-0.402709249082388
DASH,0.319856183147769,0,0.157504344875244,-0.0419121275153899,0.62049120167546,0,0.013453119609773,0.0720448129881587,-0.189419376120889,2.55430034329577,0.00000000000000000346944695195361,0,0,0
XMR,0.53201842271473,0.749583491293604,0.171147949637061,0.373301217623357,-0.311477336848398,-0.304399412724447,0,-0.0476546041499572,0,-0.197886499578142,0,0,-4.00257469389586,-0.930328036402846
XEM,0,0,0.246170948073334,0.867229888943124,0,0.163163818580151,-0.383738907210212,0,-0.470543122861959,0,-0.344734700202069,1.21351237381901,0,-0.298803653333587
DGB,0.791582825753217,-0.189246841710444,-0.097005546962651,0.22087787360842,-0.175930515356407,0.372262117201245,0.300179621167815,0,0,2.0356275231206,-0.596525341634377,0,0,0.519499338977007
BV010082.INDEX,0,-0.030368768068484,0.0342024320839447,-0.0902850011205151,0.0338154338441758,0.00291972157592354,0.00877044264900973,0.0118784588378573,-0.0533160423529406,0,0.163571066849885,0,0,0.0437815421579068
CVIX.INDEX,0,-0.0319426263233872,0.052078185421732,-0.0391708773737919,0.171413766930716,-0.231037574048485,-0.0795823568065337,0,0,0.593573523393314,0,0.740359322695743,0,0.242927590007667
DXY.INDEX,-0.0862917375853632,-0.0195282875616727,0.00271813715304027,0.0608749285980628,0.0342806809293236,0.0170830056155968,0,-0.0132913693199367,-0.0424992577657188,0.121072377764194,0.0833056279799351,0,0,0.0180732221695197
SPX.INDEX,0,0.0111672635806919,-0.0040190559736733,0.0229671781616819,-0.00458566964802716,0,-0.00342772446992844,0,0,-0.0618572409666609,-0.00862592826205748,0,0,-0.0775033324086326
VIX.INDEX,0,0.0693875310245487,-0.107584893725639,0.199154933731195,0,-0.0114884782032396,-0.163853048006901,0.00000000000000000693889390390723,0.312718301652208,0,-0.241720661580804,0,-8.85177135925159,0
