,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,4.33680868994202e-19,0.264592903846167,0.0206160986143938,0.174718245079608,-0.0380737197828431,0.0830836148908036,0.0709875905634245,0.0336428561487956,0.0351371064036578,-0.135075908385959,0,0,0,0
XRP,0,0,0,-0.0173883014716255,0.225522919310069,0.479333884697229,0.187777290701917,-0.481800831645008,0.014943475520014,-1.73472347597681e-18,0,0.52619257226801,0,0,-0.283714645298432
LTC,0.544484915353131,0.12720445034993,0,0.0683286224002699,-0.13935210375541,0.396632245643046,0,0.12862252549217,0.0242439921228553,0,0.252626797729412,0,0,0.304726778055547,0
ETH,-0.248634089577125,0,-1.51414050141831,0,-0.0800029823073633,0,0.305315881776755,1.03900023601697,-0.0385072397162357,-0.464467133787868,0.4388175330399,-0.648786330331545,8.52963978595447,0,0.123287361214093
DASH,0.596094415820224,0,0,-0.101870359687868,0,0.377941644491049,0.0645337385154992,0,0.00871726802658694,-0.0348625027711065,-0.370616729157633,0.345708707338227,0,0,-0.114544977280482
DOGE,0,0.16700310905747,0.112572631664474,0,0,0,0.0769161139765947,0.26572334539788,0,-0.0656074184534531,0.090466665473786,0,0,0,-0.0658584963916582
XLM,0,-0.285280043963704,0,-0.0395343015557653,0,0,0,0,-0.0365592031783902,-0.0698698946694453,0,0,0,0,0
XMR,1.73197542169607,-0.0411918656801933,0,-0.117491974691102,0.477912876736006,-0.149406950200835,0.288485870514608,0,0.026556938429709,-0.116608475424455,0,0,0,0,0.114075041899264
DGB,-1.09730388425687,0.490076110306896,-1.73173379113478,0.3809172223408,0.0600365878864435,0,1.38408188983508,0.502294601633249,0,0.700330083693488,-1.8919381085212,2.37802958851116,-9.24625663968865,0,-0.348369812025525
XEM,0,0.0945644202124372,-0.432178977415949,-0.38745983820257,0.402750153859986,0,0.573468892441822,-0.203701606432651,0.0830120504912477,0,0,0,0,0,0
BV010082.Index,0,0,0.608880733608175,-0.00258856506287272,-0.755292710478468,0,0,-0.248001592603971,0.00736970241175473,0.226484429700962,0,0.0714055643395924,0,0,0.0179107309082719
CVIX.Index,0,0.121296879654943,0.14318669579088,-0.0608659311327727,0.239383245409398,-0.35093605054272,-0.245087874931786,-0.114880558141486,-0.0104662460725955,0.0325266169538222,0,0,0,0,0.176578875553926
DXY.Curncy,0,0,0.074128664831441,0.0253913967114665,-0.018544909751122,-0.0819610968352965,0,0.00514994042277197,-0.0241665649220775,0.0176177259970838,0.0158105474973549,0.0118701549895442,0,0,-0.0236497225991664
SPX.Index,3.46944695195361e-18,0,0.0931484143107877,-0.0370113109877444,0,0,-0.109246123647174,-0.0792171341113919,-0.000780940324690287,0.0228472781638211,-0.051907752826816,-0.130256732128563,0,0,-0.0851650347296125
VIX.Index,0,-0.333687562174793,0.730984276827524,0,-0.705671638128892,0,-0.402560745397441,-0.0225938465130012,0,0.0905502688279587,0.144654692725103,0.828561058603256,-2.85378864588262,-3.11102918558596,0
