,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.072136926624302,0.0438225700316694,0.998070707908412,-0.105336645638071,0.0264540004808548,-0.00939340306978491,0.129459369458001,0.0107243945365974,0,0,-0.10415280961535,0,0,0.0908053449035531
ETH,-0.0581768867234939,0,0.42809243886108,-0.357129453921648,0.243393851854566,-0.366579699359635,-0.845100024680825,0.265148452620944,0.113995613654451,0,0,2.45042323196996,0,0,0
XRP,0.135911266812716,0,0,0,0.0591747618480727,-0.0460554127805789,-0.0561764292525984,0.0941035589971462,0,0,0,-0.189264699108247,0,0,-0.0137027848654323
LTC,0.789141243804392,0,0,0,0.030743857883472,-0.0197884133394492,0.044463133525091,-0.0240942519250215,0.000862084670090666,0,0,0,0,0,-0.0356974969249301
DOGE,-2.02794010973412,0.112766999705131,-0.0928257982390298,2.76726715332846,0,0.277478676193269,0.662183038135885,0,0.125784793916139,-0.167518327098098,0.440301094278395,-0.15699240670188,-6.42525991546387,7.61404459061813,1.56769759455885
DASH,0.463604903450965,-0.355239628177949,0.295084488007818,0,0.0259052074066847,0,-0.264737962597745,-0.370839467770886,-0.0802237235574247,0,-1.03253889559328,0.149036536912108,-3.73981071297745,-4.15162785654641,-0.495757141114991
XLM,-0.823872068876998,0,0.0676306919205956,0.293401184105551,0.245508585859807,0.0411603508021443,0,0.329786156924641,0.194965432975068,0.21320207269882,0,0.548508508439851,0,0.750744530848948,0
XMR,0.740004931470711,0.046521534623607,-0.381886984042964,0,-0.0605263720654088,0.0159246067787047,0.967424746779582,0,-0.141281009431875,0.0200274212439789,0,0.886544797137923,0,0,-0.0885648411144521
XEM,-0.780634532628574,0.194151808603125,0.242388092221048,1.79982728930252,-0.374969400121776,-0.344321245805243,0.0800646112623164,-0.0849075427909569,0,0,1.35081475341543,-0.623368448473409,0,0,0
DGB,0.853067216265322,0.144480039708707,0,0,-0.705464744376646,0,0.959874936340862,-0.240374368154573,0.201842506608589,0,-1.94845939046385,0.629352619891906,0,0,-0.129204312521338
BV010082.INDEX,0,-0.0460425967564663,-0.0406399680298551,0.0624795221961262,0.0272103146192966,0,0.0574179259356969,-0.0530202017531231,-0.00828753075205147,-0.0215290559379164,0,-0.0985492036684695,0,-0.198931875067596,-0.0921525814326342
CVIX.INDEX,-0.0493361128041093,0.00249160114345048,0.139017678648251,0,-0.0167042167586124,0,0.00449533816972468,0.0507998264981974,-0.0797676670185826,0.0453399512891903,-0.547957878550969,0,0,-0.536440794989545,-0.021329147497788
DXY.INDEX,-0.0688000663865258,0.00146476631692683,-0.041563046816986,0.0200927655843134,-0.0127262748049694,-0.013860435959307,0.042727628920882,-0.0160245004188181,0,0,0,-0.0140882061252734,0,-0.404321771835094,-0.0625155913740758
SPX.INDEX,0.078461071678314,0,-0.0260923522645078,0,0.00663717984591779,-0.0145152250503198,0.000187849524340009,0,-0.0242340387709049,0,0,-0.0753782669354169,0,0,-0.115137635274634
VIX.INDEX,0,0,0.399539349545681,0,-0.0724776258615413,0.220580009834153,-0.00000000000000000173472347597681,0,-0.139930190214748,0.109737707715173,0,0.0222675641703557,0,-3.82529479343919,0
