,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XEM,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0429968956597965,-0.0182473780989344,0.996608623677921,0,-0.0580663240427645,0.0522245988189518,0.0133362260920895,0,0.0142706367274911,0,0,0,0,0.0861444020814359
ETH,-0.89209841075873,0,0.459069763579146,0,0,-0.00162142684731262,0.324209147731048,0.146996294461351,-0.741236425051747,0,0,0.929205212461137,-2.05285052604945,-0.963134920757908,0.216082051485756
XRP,0.137073218042907,0,0,0,0,0.0447891278353862,0.0586440706240508,0,0,0,0,0,0,0,-0.116607819090113
LTC,0.746894920776714,0.00416356460821941,0.139833053517714,0,-0.0313442719283005,0.0290222544096295,-0.0399477257002331,0.0156820861419478,0,-0.0138116719101069,0.214945984204402,0,0,0,-0.017606392517678
DASH,0.530535275103292,-0.135192680116974,0.0342158560571716,0,0,0,-0.246307582972111,-0.0818419241815794,-0.201350854095813,0.438156013529181,-0.000000000000000222044604925031,-0.561260902238843,-2.53395827674599,0,0.27061647761958
DOGE,0,0.223488016008351,0.0573979864816405,0.988260225782498,0.367157261859002,0,0.172733099873011,0.130243845843707,0.718498220697939,-0.166809725958972,0.864325657373134,0,0,0,0.103089310992071
XMR,0.530174916764004,0.490457781755402,0.139208389412209,0,-0.106727580297177,-0.241067591734033,0,0.0166716755528135,0.330431954409105,0.00539462875585425,0,0,0,-3.08081428680783,-0.795892946152975
XEM,0,0.0163814008394204,0.251078791166552,0.386004869875049,0.0612521048876842,0,-0.387654615206829,0,0.434502891482893,-0.197977248064107,3.27427671270122,0.611043962938135,-2.02271058093146,0,-0.456012634271142
XLM,-0.216628165187105,0,0.633770247322084,0,-0.28026975108107,0.274821534444465,0.184099537652728,0.0337192683277464,0,-0.0308399559051402,-0.657541309816197,0.214281040706555,0,0,0.422367880646496
DGB,0,0.260955135714895,0.445402410466568,0,0,0,-0.184615916491168,0.285406078292255,0.268376793327805,0,0,0.99898210421991,0,0,0.249645920769284
BV010082.INDEX,0,-0.00839969120076201,0,0,0,0.0399215316274422,-0.0418422795991048,0.021871509206902,0,-0.00577980570663012,0,-0.0283928424000929,0,0,-0.0633641971874869
CVIX.INDEX,0,0.00771750650798442,-0.22500673592202,-0.0839208682834977,-0.00431793591177766,0,0.0707161017284779,-0.00664786239509268,0,0.0337979182354608,0,0,0,0,0.176412235050731
DXY.INDEX,-0.142551452780235,0,-0.0716677765386343,0.0859691093837135,-0.0389963766497225,0.019014309273447,0.0342757576536116,0.00236664714379297,-0.0433659510461443,0.0272681784834026,0,-0.117541466479271,0,-0.112694748853811,0.0018512528021011
SPX.INDEX,0.125840980711296,0.00585936760335965,-0.0127804406416328,-0.0530259114430851,0,0,0,-0.0232127925817473,0.0133426386450679,-0.0113366217141028,0.0646961155333341,-0.0881122155306247,0,0,-0.115392242344578
VIX.INDEX,0.0862448156762603,-0.182724435107369,0,0,0.208645523589689,0.0542277179148557,0,-0.15606010009668,0.0403093830243766,0,-0.438910146816111,0.976210930812487,0,-0.455163533827211,0
