,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0413424123630733,0,0.908901931269129,0,-0.101534810006418,0.0356341044427499,0.0251918672756246,0,0.0220594630962268,-0.00780437188056591,-0.0170871002358413,0,0,0.011765636775358
ETH,-1.32768718799407,0,0.674314010891855,0,0.102706931604898,-0.0625370985384179,0.218035932487245,-0.475850625831063,0.165442223155499,0.12416298451582,1.6082417650954,0.0658154203835356,-2.51976927186118,0,0
XRP,0.36507235002601,-0.000000000000000000867361737988404,0,0,0.120722182592877,0.0805772185245654,0.0701096480402091,0.0120727442714849,0.000000000000000000867361737988404,-0.0449013073825836,-0.191031146012788,0.220466622641673,0,0,-0.191700044551003
LTC,0.342704360132833,0,0.0924505882182446,0,-0.0575921796665245,0.0257854109022681,0.0472669985207411,0.0508438601579889,0.0301558165398622,0.00386720443706996,0.0226991329816805,-0.00600004165001448,0.220948275790338,0,0
DASH,1.01411578579684,-0.216502587238563,0.151268386790046,0,0,0.117886798080301,0.12652843618274,-0.596817281472937,0.034166302311383,0.0872486050226522,0.593535448054567,-0.347656624981095,-0.565235141488723,0,0.64341318872173
DOGE,0,0.241399635101082,0,1.81484846778078,0.00249146759023164,0,0,0.636731547641639,0.0586936214785061,-0.055185376658273,0,0,0,0,0.309848179210929
XMR,0,0.297509131116034,0,1.15751791167051,-0.290013943279216,-0.437234697667445,0,0.70305193434954,-0.306148799218948,0.168245712228767,-0.160245381136011,-0.174323035129937,0,-3.96486658452936,-0.932682437519206
XLM,0,-0.0288112171152677,0.58015054854598,0.328372005024656,-0.583285083662209,0.262730477277748,0.127869484197391,0,0.210033076714235,0.0176303507269523,0,-0.0377284663672097,-2.07401514657226,0,0.355275170435371
XEM,-0.188201940441907,0,0.275126726682315,-0.892913088922201,0.17882845527986,0,-0.247028238138874,0.262167371385716,0,0.364489778627558,0,0.659182230476584,0,0,-0.431890181439149
DGB,0.00186565059132612,0.02346659442437,0,1.03135303806826,0.756888613025335,-0.0000000000000000138777878078145,-0.2871940407174,0.152191380342995,-0.00658241986700735,0,-4.9374931787433,0,0,0,-0.526131628006269
BV010082.INDEX,0,-0.0123124997665364,0,0,0.10488806457124,-0.00769203030246715,-0.0402190797697158,0.14719620081773,-0.0280901388884029,-0.118317234904915,0,0.0516406456443079,0,0.50734713818608,-0.0337642448622823
CVIX.INDEX,0.0593919238244922,0.0318453826805476,-0.302376290899157,0,0,0.0186613161373276,0.0597467450696127,0.033410819974821,-0.0113549063173813,0.0120940223476744,0.208738841797901,0,0,0,0.140311184941397
DXY.INDEX,-0.12374554611493,0,-0.0136626087219221,0,-0.0442329224101164,0.0112712592562542,0.0347350058768837,-0.0120823992969962,0.00354999974016695,0.0151038174337658,0.112069145130905,-0.0348020335448561,0,0,0.0471834234978742
SPX.INDEX,0,0.016109432612053,-0.0493681837167121,0,0.0143861981321381,-0.0044116108690268,-0.015651372492764,0.0535955817231038,-0.00907001139437772,-0.00531384074725043,0,-0.0465823911377573,0,0,-0.136802235701812
VIX.INDEX,0,-0.0922348163764168,0,-0.406148715957028,0.202237116835593,0,-0.052666501827397,0.255295732203634,-0.0348665084212283,-0.0916581394619386,-0.0418511038032916,0,0,-3.86833253707562,0
