,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0133704349342562,0.27546811874553,0.26682425376653,0.12070044708253,-0.0474096191017615,-0.100689257763235,-0.0845846895075205,-0.0134950853264892,-0.00940582053154432,-0.1709612963995,-0.0567168104277958,0,0,0
ETH,-2.20019157902169,0,0.43629363202343,0.125355405017282,0,-0.86768813324034,0.00493380123292014,-0.0834432513116731,0.126079257412272,0.00911679012330558,0.516812326542823,-0.417143225636,3.78265103933339,0,-0.106356397407572
XRP,0.774963024283711,0.0914136883836125,0,0.20618162701281,0.467665386720002,0,-0.0120049837036419,0.220197885417728,0,-0.205574123704449,-0.422397192943556,-0.205354229493295,0,0,0.0375480404760656
LTC,1.66609844592485,0.0289085808284839,0,0,-0.137617188578615,0,-0.0121384090481505,0.0977425550576009,-0.189510567158779,0.019159582092606,0.310157094394897,0,0,0,0
DASH,0,0.192512930321659,-0.2363154106479,-0.417599007534968,0,0.0925781124693286,0.210883582234152,0.221765267098618,-0.0299435884371724,-0.200262944241378,0,0,0,0,0.0783063413287726
DOGE,0,-0.16991200843019,0,0.350114110442536,0,0,0.0604180503651528,0,0.0756144975030972,0.0444639444510361,0.614706108229156,0,0,0,0.090304248076323
XEM,0,0.123458257860624,-0.334379660979144,-0.289683174589269,0.446715076700009,0,0,0,-0.142798052844117,0,-0.227001617443053,0,0,0,0
XMR,0,0.395447695632962,0.125837176695958,-0.763928000329227,0.119972587655807,0.230602925076723,-0.212416564825991,0,0.490846008342244,-0.146689812700813,0.392236945808044,0,0,0,-0.800254271495208
XLM,0,0.131603357666562,0.430146263389676,0.440737698518078,0.197380508839193,0.167423472425745,-0.043069928476888,0.114474711847838,0,0.0133432402300926,0,-0.142194566858645,0,0,-0.0876697102661032
DGB,0,0.496918098038925,-1.68550915109377,-0.835771129507546,-0.0427905915687046,0.55424896393559,0.0827620459155269,0.0918458330313196,0.321599314957332,0,0,-0.796839041507586,0,0,0
BV010082.INDEX,0.143899392151912,0.0716631276871513,0,0.353686708555293,0,0.202934733529667,0.126939498084015,0.0652501817280478,0.284189300828303,-0.00476794854690805,0,0.22353150898846,0.105834369909841,0,-0.00000000000000000173472347597681
CVIX.INDEX,0,0.0775255999173439,0.357334144692117,-0.0777793546632399,0.0527019539370543,0.146914733643938,-0.181044318588884,0.0114072308615149,0.000188193740651716,0.0481128359125103,-0.1979250913897,0,1.13352808187914,-0.00000000000000000173472347597681,0.0695382301977188
DXY.INDEX,-0.0881330765441211,-0.0148969921282268,0.0399112679576612,0.0811175544133925,0,0,-0.000609154972981772,0.0280054712098282,0,0.0114677223690971,0.0264207935191155,0,0,0,0
SPX.INDEX,0,-0.00430779101023888,0.0186219273599613,-0.0283419254279646,-0.010183080634075,0,0.0109742777638181,-0.0134073837235882,0,0.00603097718957114,-0.0240204533345772,-0.025842397506689,0,0,-0.086049356804386
VIX.INDEX,0,0.0458761336701184,0,-0.0881778163044594,0.182499253650171,0.357644202613523,0.0970868620730605,-0.214428478090105,0.0697997905424967,-0.0475376464062839,-0.437334038225946,0.414882969912568,0,-5.44474120364236,0
