,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00568091851631053,0.206399606969639,0.044835820094435,0,0.116007000488501,-0.182056799543153,-0.126156429184109,-0.0483169157728982,0.0115033576065794,-0.0329813917272044,0,0,0,0
ETH,0,0,0.160965115766045,0,0.44301545874057,0,-0.774505065814353,0.343968801047305,0,0.0731473902274715,1.37462921315396,0,0,0,0.184926078939402
LTC,0.7320818587986,0.00847213978598733,0,0.0562853186388228,-0.291502658115632,-0.190815023280984,0,0,0,-0.00000000000000000346944695195361,0,-0.017600691644473,0,0,0
XRP,0.250982904858142,0.082362440038809,-0.253423769340964,0,-0.31390151391519,0.131713137693292,0,-0.0886536717761674,0.125903281615998,-0.126581175474362,0.0868069911734329,0.130507042836909,0,0,-0.0435848491365684
DASH,-0.0590531685417747,-0.193018904399557,0,-0.0997346225160606,0,0,0.280882695531492,-0.104612851485633,0.827825156609446,0.204661696835845,-0.163886054387618,-0.749667124168861,0,0,0.149651074491119
DOGE,0.344163018656091,0.0436051274050552,0,0.0148656605979488,-0.110658982473785,0,-0.131830699655989,0.126543262909006,0,0,-0.040272238323733,-0.33024530297288,0,0,0.0388439718194812
XEM,0.526000431666805,0.136343709329882,0,0,0.561461472714178,0,0,0.122899518852039,0,0.143507212252794,0.0576820761827368,0,0,0,0.266944937422389
XMR,0.292441357536464,0.509984236955305,0,0,-0.188617165338238,0.21029916260338,0.00000000000000000693889390390723,0,0.442148791282486,-0.0658537378577642,-0.695091422357624,0.147772225691119,0,0,-0.0486260813776025
XLM,-0.64766147917794,0,0.248056784845989,0.564207703969802,0.256514069297844,0.251495590956441,-0.0655020685235534,0.0218159811463853,0,0,-0.190304519001971,0.248445652516579,0,0,-0.106279187904832
DGB,-0.701941173490829,0.0901618220575086,0,-0.225677917499812,0.430185205982458,-0.540170789630341,0.32298808929637,0.458884332813571,0,0,0,0,0,0,0.118416536475837
BV010082.INDEX,-0.123247108118142,0.124068017795059,0.0384233481101775,0.129884579098008,-0.192508659298828,0.00383383818176212,-0.0633324001069874,-0.0264945638389627,0,-0.0563085315318485,0,0,1.09295699324734,0,-0.0739382022449577
CVIX.INDEX,0.11091238592513,0.0356826441803768,-0.266732977740127,0.0856092827719321,-0.360923252150132,-0.123396117827708,0.0407914350226528,-0.0452565445033537,0.326697409336115,0.0646174123110009,0,0,0.432424865459951,-0.47564411841318,0.0535330082610782
DXY.INDEX,0,0.00146370576319974,0.0552074071641788,0.0225978178305879,0,0,0.0194951197760068,0.0134828408191028,0,0.0196692912194012,0.165285034056081,0,0,0,0
SPX.INDEX,0,0,-0.0114813764619562,0.0120403447440011,0,0,0.0268327831147302,-0.0358609534671077,0.0192297115386382,0.00169473772296099,0.00416437603014459,-0.00958431371762558,0,0,-0.0889907296653071
VIX.INDEX,0,0.343909412543612,0,0.260332415507585,-0.0823883870021078,0.129773801129367,0.172090395962182,-0.563562620198453,0,-0.0774648392442441,-0.878449250129377,0.487069243157814,0,-2.0975811164888,0
