,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0719501794294477,0.110266042847043,0.252346895251154,0.0454578531505838,-0.0191223223036287,0,0.00830177678444259,0.175070429412758,0.0631354053945072,0.0590294637241096,0,0,0,0,-0.126921464371659
ETH,0,0,0.420378170680425,-6.93889390390723e-18,0.0254399108705868,-0.0437466004425751,0.118772600880113,0.229481015152855,0.482433807962194,-0.29956654774846,0.270735281878898,-0.134392063683452,0,0,0,-0.0127380597629528
XRP,0.32635394328353,-0.062394384922815,0,-0.593057341669458,0.0241923204056028,-0.0160176131719376,0.00413514520923647,0.0733326176782134,-0.00958777290727438,0.127844618067181,0.0204426940132948,-0.0626077327291285,0,0,0,0.0512893638696339
LTC,0.647291568375919,0.0675875533317246,0,0,0.0146659178306345,0.00958116428383665,0,0,0.0602434552099412,0,-0.00591021111792079,0,0,0,0,-0.0349515743788603
XMR,0,-0.0905625522877186,-1.94546100142406,2.77830647980686,0,-0.162086861083567,0.42094536335586,-0.131706248291273,-0.120086119773581,0.210942768538024,0.150990775233654,0.411016699827997,0.785022893895973,0,0,0
ETC,0,-2.7374192329031,2.4065585227576,0,0.296631285875741,0,1.77336605546962,0,0.662334513489584,0,0.951269557780416,0,0,0,0,-0.0749596476097869
DASH,0,0.127959263144023,-0.583992122841408,0.0812185876433218,0.0563320971613802,0.0434416242623833,0,0,0.115573956971473,0.271868568724569,-0.132330867516798,-0.62883808726157,0,0,0,-0.263355700178552
XEM,0.498699036675735,-0.087762307726742,0.417839736408227,-0.299311467259531,0.112168546358579,0.0473410532618154,0.292826898907444,0,0.332525832169586,0.349783005812356,0.212638314177922,0,0,0,-4.00597997800539,-0.241141445772566
DOGE,-0.655668569146232,0.147958453021387,0.653650454151995,0,0.106328496914072,0,-0.00528737707075387,0,0,0.379167156952682,0,0,0.138393842251431,0,0,0.0814392154007337
XLM,0.421461177640656,-0.122953761920988,0.402298287429427,0.332639387072625,0,-0.0397622894921895,0.119543910028375,0.00330460279727215,0,0,-0.132132248067256,0,0,0,0,0
DGB,0,0.934216129703598,0,-0.392769816127568,0.013724261252333,0.128928093835373,0.142856756272546,-0.255369096476413,-0.484605718496503,0.821884420713326,0,0.657362185594173,0.859855330080663,0,0,-0.142675309517098
BV010082.Index,0,-0.0450436373149557,0.151057819893326,-0.124076238919685,0.0230714535925055,-0.0176495274842129,0,-0.0164735869312785,-0.153435802295622,-0.0849537091647368,0.00803322277527028,0,0.0529464092546095,1.19799275229632,0,0.047057036988949
CVIX.Index,0,-0.0394388230167606,0,0,0,0.0107835852460816,0,0,0,0.14416489481359,0.0824848878611132,0,0,0,0,0.147665993434738
DXY.Curncy,0.0449379073730468,0.00676611306324401,0.0679516599986662,0,0,0.000458823327485468,0.0511002816287528,-0.0338561991074921,-0.0150593194573133,-0.0123409441757137,-0.0290401844869812,0.205477396682627,0.00159969260630776,0,-0.228499918873631,-0.0103463818303833
SPX.Index,-0.0265169658887422,-0.00246577974358052,0,0,0.00410862441873026,0.00278081993441688,0.0158688947864598,-0.0132260669291177,0,0.00287574596463857,0,0,0,0,0,-0.0681048058016023
VIX.Index,-0.588707253332728,0.0609066231518505,0,0,0.10444901296317,0.074492652436847,0,-0.299737482229828,0.252389465359921,0.183380338081898,0,0.0726997682469596,0.594684686889973,0,-6.835622862645,0
