,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00404027942440997,0,0.663306985590764,-0.0152234560306665,-0.0571494530165799,0,0,-0.154855925461357,0.0883682854271178,0.0616026288587459,0.00882541236538073,0.0123112277361757,0,0,0,0,-0.0588061073173249
ETH,0.517811175635674,0,0.0331842298513387,0,0.0774747881533292,0.163276915410872,0.296050378162938,-0.0282260609287073,0,0.146091858107797,0.00570964266534105,0,-0.0323548123568955,0.879608221868968,-0.170467006544519,0,0,0.0986930641060535
XRP,0.0997939512208725,0,0,0,-0.0526026543014546,0.0574355032298882,0,0.140158135176322,0.174832452630049,0.413783934040047,-0.171081145252974,-0.00467080938234387,-0.169364967425654,0,0,0,0,0.237129138901717
LTC,0.414429471688814,-0.0569778055813207,0.0232633908068462,0,-0.203318629011435,0.0902513660661406,0.0733253875280707,0.0277598519007232,0,-0.0559454924974955,-0.0171844888027469,-0.0176507451347029,0,0,0,0,0,0
XMR,0,0.971879782561073,0,-0.794481553992057,0,0.135555126229274,0.320516341049433,1.0842021724855e-19,0,0,-0.239280195078525,-0.0530711060428512,-0.198578780458228,-0.204419847080835,0,0,0,0.0806404278007787
ETC,0,0,0.088527389862927,0,0.0931452080518322,0,0,-0.105397174566159,0,0.0568195039132031,-0.0311011477005292,0.0228697117027425,0.19091088117798,0,0,0,0,-0.213376154409418
DASH,0,0,0.0340493831340271,0,0.0349327423184623,0.0316961386233312,0,0.0269584919802348,0,0,-0.0755718874792384,-0.0984719947343454,0,0,0,0,0,-0.102670729834395
XEM,0,0.342150546245882,0.306767783419485,0,0.113818340650576,0,-0.929931072453128,0,0,0,-0.103498840688165,-0.115496171302903,-0.0870049172123674,0,-1.170640582228,0,0,0.0477300006835985
DOGE,0,0.144838351826929,0.115166289179774,0,-0.19293386936361,0.0776926393521561,-0.0384067662393732,0.0818916172655663,0,-0.145873575361575,0.0346308233938845,-0.0156394994735326,0.0415823042714516,-0.308383371038555,0,0,0,0.0184602238781207
XLM,0,0,0.554788012395312,-0.227625147387684,0.0340862874473938,0.285983011455029,-0.240019888502533,-0.197641976997982,-0.0984314746077579,0,0.0296075941741704,-0.0743847655506159,0.168930027645838,0,0.38300130298796,0,0,0.0383278360149644
NEO,0,1.98098938281635,-2.65046237867642,1.17753965243742,-0.528556816164749,0,-2.09033128100366,0.227636439435122,0.938278061791402,1.57273078472366,0,-0.0020538576398319,-1.28064184353178,0,0,0,0,1.01145031675194
ZEC,0,-0.571674733023254,0,0,0.731799959787308,0,-7.23611211304433,0,1.12885444581694,-0.0766475051969794,-0.628157282252547,0,-0.930233067338843,0.561963761153718,0,0,0,-0.726376291469824
DGB,0,0,-0.0623329130192848,0,-0.206836604998504,-0.159303637623303,0.404240598498336,0.056038238891292,0,0.238551960568419,-0.121768713684525,-0.0407667536403331,0,0,0,0,0,0
BV010082.Index,0,0.106266756080195,-0.0988155938424498,0,-0.115183764373945,-0.0995297321786134,0.14990997451277,0,-0.239426576582784,0.101710933085758,0.0326860357815979,0.00189808219615806,-0.0326084567916617,0,0,0.315151686438156,0,-0.0184752616955664
CVIX.Index,0,0,-0.147427589824215,0,0,-0.26695326770575,0.109472420123199,-0.12976338375007,0,0.135757823942088,-0.0389466670981267,-0.0188482971260733,0.0505564467056914,0,0,0,0,0.17294542026876
DXY.Curncy,0,-0.0102159135686318,0.00429395967052401,0.0412036971472241,0.0226267314605619,0.0126545457387934,0.00172232764673918,2.16840434497101e-19,0.00391533680290125,0.000974341036187574,0.0068396895965976,0.0027923705511164,0,0.165438308331284,-0.0130511099016642,0,0,0
SPX.Index,0.0367315105201566,0,0.0177470565170459,0,0,0,-0.019159772279887,1.80381477615241e-05,0.01421446200015,-0.0110206362259995,-3.81897924946796e-05,-0.0057817163444851,0,0,-0.0202300267477911,0,0,-0.0487258838686888
VIX.Index,0,0.460882862683948,-0.111100443580745,0,-0.127833295216051,0,0,0.328994964725969,0,8.67361737988404e-19,-0.04297622763188,0.0619695394468405,0.103543842799373,-1.00938735768659,1.33791872004826,0,-6.90068861818174,0
