,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0382525377275717,0,0.352528104744591,0.152402690637771,0.00535425238328327,0.223549574041649,0,0,0.038696295748641,0.0546186059064859,0.0244663532234862,0.0502544169104868,0,0,0,0,0
ETH,-0.364132337319639,0,0.490056837062585,0.158017628482619,0.281597001952881,0,0.34536207427795,0.269526569614743,0,-0.0294540019505116,0.109905679245938,0.109738164591481,0,-0.232641622379666,-0.331277116496957,0,0,-0.00000000000000000693889390390723
XRP,0.186408721706845,0.245127382685514,0,0,-0.0915366784690064,0.0728179820650591,-0.151263661122744,0.0836354431440597,0,-0.0355094493783392,0.0790643009926281,0,-0.00696033102027308,-0.372792011668505,0.229609239227429,0,0,0.0124937187115533
LTC,0.301456494304622,0.0414284643237495,0,0,0,-0.0760525172965188,0,0.316284748003425,0.373471873235495,0.145971024761503,0.0889746486686259,0.0791848438921223,0,0,0,0,0,0
XMR,0.274943394934977,0,-0.264371074190252,0,0,0,0,0.204697268348096,0.0884397474066554,0.11226830374558,0.150551552251682,0.170606495545803,-0.234755028095175,0,0.320665281197743,0,0,0.32585216562786
ETC,0.00000000000000000693889390390723,0.278516207011244,-0.427412479952438,0,0,0,0,0.485838372892233,0.335713932726343,0.0618961179163731,0,0.15312806603643,0.217911424885287,0,0.0667190793808121,0,0,0
DASH,0.700009906789417,-0.0567583806298222,-0.160110829651088,0,0.0179179608439092,0.376805968743211,0,0.239547584013729,-0.217959354810601,0.0212002192837515,0.0649589436689577,-0.0227144311235983,-0.0644022885400001,0,0,0,0,0.0520353779993461
XEM,-0.293322737060597,0.121493720518606,0,0.254384071010999,-0.0606283802941158,0.0888452615973169,0.345430752050033,0,0,0,-0.0195829819821766,-0.015277823780791,0,0,0,0,0,0.0263070550019234
DOGE,0.154839503000149,0,0,0,-0.0155658328007157,0.121912215741918,0.0289344928413817,0.0018103636431171,0,0.0318146342007212,-0.00104334116344202,0.131237327417865,0.0308128814934801,0,0.0536707420836272,0,0,-0.163595175851125
ZEC,0,0.708316637763031,-0.374407923266013,0,0,0.338413416669433,0,0,0,0,0,0,0,0,0,0,0,0
XLM,-0.798339917357769,0.299193023940162,0,-0.0343503434696396,0.298892270098871,-0.0926994476708918,0.387722771413191,0.234946074304139,-0.121077986527195,0.125313061521913,0,0.352382487054134,0.20523806426678,0,-0.225979128235009,0,-3.55709587099506,0.135000662619645
NEO,0.630813014129277,0.221461038708521,0.719426638228326,-0.426625902096057,0.165760752749862,0,-0.326425052250085,0,0.253293410747529,-0.0375379659438505,-0.0205252452934255,0,0,0,0.0825812651918147,0,0,-0.0421931044835455
DGB,1.73407182660668,0.359541277531274,0,-1.00031094210907,-0.0533475465065056,0.142240252753025,-0.276098017376052,0.00000000000000000346944695195361,-0.43481034617691,-0.0811011881228671,0.00230573419169589,0.0974696635595085,0,0,0.0165414377088888,0,0,0.295699585375974
BV010082.INDEX,0,0,0.0976253752454753,0,0.0690663614727963,0.0151358509388784,0,-0.0970679503376995,-0.000126662365436173,-0.0249485208965475,0,0,-0.0323038449146825,0,-0.440197944968352,0,0,-0.0141718305204129
CVIX.INDEX,-0.138352227250627,0.0231540933655658,0.106369086953943,0.188975617416675,0.0614951529328353,0.0752805423429992,0.0418335715632377,-0.0917279371671832,0,-0.0409090446986771,-0.0433231464344338,0.0256070204941404,-0.0530129483573947,-0.28726716589795,0,0,0,0.0284054396568696
DXY.INDEX,0,0.00686375791935151,-0.0306206069165784,0.0266712447811597,-0.00193454946496649,0,0.00617138534433459,0.0299438752604353,0,0,-0.0126301903113668,0.00637489590318382,-0.00255061120446516,0.069750379889152,0,0,0,-0.0260433700057985
SPX.INDEX,-0.0120105788896027,-0.00589272157833366,-0.0000843780227880573,-0.0239374593714714,0.0125445732610927,0,0.0292630045962084,0,0,0.00104114726565169,-0.00688840822483111,0.020875738848763,0,0,0,0,0,-0.0659170147777547
VIX.INDEX,0,-0.445323390047433,0.527650429031412,0.101514581634839,0.258422672955024,0,-0.100086093512927,0,0,0.0381022521765273,-0.0489559378516043,0.119500369983832,0.102689037351752,-0.254944894842029,0,0,0,0
