,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00836954032399139,0,0.338763794138869,0.142278754777256,0.253442608522333,0,0.128439581018518,0,0.0662296330279404,-0.134844405259264,0.0906054107171076,0.0721711773785026,0,0.0348489108268719,0,0,0
ETH,0.332005656571037,0,0,-0.209277883577352,0.0826501552860987,0.182511424398314,0,0,0,0,0.0384557301582315,0.169244582539899,0.158319655986159,0,0,0,0,0
XRP,0,0.199059815773005,0,-0.0387849004190711,0.0163184475164606,0,-0.146995931866117,0.0831697045995041,0.458432887795465,0.0467429961709078,0,0,0.0340062815316948,0.147042988615456,-0.124014601366229,0,0,0.101435240836608
LTC,0.63619113014112,0,-0.231958990322207,0,-0.0419958212046434,-0.125872953553095,0.108671833653521,0.0904893852712047,0,0.263397569854156,0,0.0870334708344621,0,0,-0.190035601167382,0,0,0
XMR,0.303581728186671,0.46584736954422,-0.426116188956606,0,0,0.168766614129852,-0.0893431851503781,-0.193100414347088,0.521137616869544,0,0.0751990351303183,0.143767831593661,-0.228093332690833,0,0.457474120433776,0,0,-0.164886503937752
DASH,0.348976768722899,0.0632979414086425,0.110427460713638,0,0.256685595884496,0,0.531101760839796,0.194310521584946,0.305395635757061,-0.456771050787867,0.0712418479115909,-0.146565667301524,0.0798462691874103,1.11910359164253,0,0,0,0.0485677489675704
ETC,0.749066263450494,0.488686485960222,0,0.0527923230959151,-0.210413783228397,0,0,0,0,0.217239641294769,0.146580403393119,0.205343357197845,0,0,0,0,0,-0.0221184642958998
XEM,0,0,-0.14698638173221,-0.307509212008409,-0.106680665347148,0,0.0448428642539319,0,-0.0978353056316048,0.9568474503237,0,0.405174242587111,-0.428306689170813,0,0,0,0,0
DOGE,0,0,0.145881774596656,0.0669778275165489,0,0,0.142923110874587,0,0,0.00190872038884486,0.146958922185183,0,0.0436779068455728,0,0,0,0,0
ZEC,0.370837837781006,0.0945282221487654,-0.0860423014469095,0.110883018225816,0,0,0.086163534268473,0,0.636614995169761,0,0,-0.207170557962656,0.122193808291805,-0.451707722078339,0,0,0,0.0760264918425866
XLM,-0.445778198685487,0.183140252807806,0,0.250182203174578,0.09436738700697,0.0513705699798404,0.192977652682006,0.0368722145700109,0.407182595599667,-0.166392435131917,0,0.166140739228475,-0.0367306998787964,-0.255937098558308,-0.0338882280498165,0,0,-0.0385422284316071
NEO,0,-0.0680174133110312,0.822858149488096,0,0.297155113315388,-0.362208737664419,0.146222203490474,0.178396520430853,-0.149785950176194,-0.562492493287608,0.733862259689191,0,0.122536271866025,0,0,0,0,-0.29836708414505
DGB,0.596447645799598,-0.17167276067113,0,-0.973193298418162,0,0,0.119856321695685,0,0,0.666978658478968,-0.0377268088798134,0.491270170588901,0,0,-0.68538081798954,0,0,0.240283005239765
BV010082.INDEX,-0.118948333478611,0,0,-0.0389831950366618,0.0872839263135689,0,-0.0253162958122249,-0.028866008787296,0.170953151222742,0.119585065867088,0,-0.00475756058600574,-0.0462317734128894,0,0,0,0,-0.0302220465634964
CVIX.INDEX,0.100117248769807,0.176014560474185,0.229391773454298,0.0778773978330267,0.014107048686959,-0.051745235475575,0.0199743542680131,-0.14792897731473,0.0113632304220729,-0.125490794098166,0,-0.145454356226878,-0.0218622262903492,0,0,0,0,0
DXY.INDEX,-0.0446560673220546,0.0127130889953302,-0.0570813430426112,0.0306249344385533,0,0.036040619140256,-0.00491682162426483,-0.0110271977775172,0,-0.00433755156194079,0,0,0,0.179490672244566,0.0482663588135796,0,0,-0.000704841928589353
SPX.INDEX,0,0,-0.0115611350482811,0,-0.00715755505724426,0.00461096196970853,-0.00741687346937837,0.00286247688991124,0,0.0112677964061423,0.00790507069090578,0,-0.00536123760908069,0.0491712743291481,0,0,0,-0.0602322911955824
VIX.INDEX,0,-0.247496544370564,0.221439219004403,0.158430087684112,0.116573010919251,0.260691389324972,-0.463224211036657,-0.260293887405337,0,0,0.0900022014489004,0.189679758883202,-0.0868145653237261,0.240361216731378,0.127802878847595,0,-3.247696703149,0
