,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.159969617890298,0.0571818815919169,-0.0799565866829583,0.181503192098256,0.370737936689869,0.267053690268218,0.242537115811091,-0.218978252170384,0.0603070737922247,0.174636193310048,-0.112716082835062,0.00586008969939767,0.229478114516797,0.238160743520588,0,0,-0.0263020862883659
ETH,0.31326385113476,0,-0.00662954757313317,-0.00955175434407026,0,0.222454723257906,-0.11691329253881,0.884856418664193,-0.280114324137263,0,0.140389830612418,0,0,0,-0.496739456965313,0,0,0
XRP,-0.583888392837611,0,0,-0.0740929076116698,-0.248168392012097,0.150454524023846,-0.0272723557100893,0,0.0189968973970646,0,1.33070753406749,0.213053856049509,-0.407321910933861,0.2831417561913,0,0,0,0
LTC,-0.321860129624962,-0.0890483816587721,0.00931140810063269,0,0.0395989401310367,0.167795303148105,-0.0279248672656944,0,0,0.438279287658403,0,-0.0379930100622461,0.141550238460405,0.906423993827685,0,0,0,0
DASH,-0.293118489986006,0.0592723337376345,0,0.0629459361953065,0,0.0888362780783795,0.0680277231723487,0,0.12267727899576,-0.185417134666674,-0.0734888831896225,0.0448796051490719,0.0870364447614551,0.422091358373836,0.430326263799403,0,0,-0.0565906827209374
ETC,0.0492219860322765,0.26286676610082,-0.0637251975922701,0.189612452504566,0,0,0.110206643418367,0,0.0686494902312343,0.179493340757755,0,-0.0757170032955312,0.0262135427563239,-0.593765826237044,0.468520261036038,0,0,0
XEM,0,0,0.044501242677008,0,0.271507706433503,0,0,0,0,0,0,0.200080435517258,0.358856583155639,0,0,0,0,-0.257121670518271
XMR,0.547234533051916,0.359805882047947,0.00088542840624534,-0.0490323350219569,0,0,0,0,0.129646954213458,-0.0321996193106055,0,0.107989531618118,-0.273195985174769,-0.811320936759993,-0.0270571552820133,0,0,-0.194180084423904
ZEC,0,0.0599536792185157,0,-0.0315027605280447,0.204117371394444,0.018511957656595,-0.0958444521311997,0.197283961550032,0,0.250304963662691,0,0,-0.0514900183584967,0,0.11546063451199,0,0,0
DOGE,0,0.30692537652268,0,0.381915692753423,0,-0.264482346754115,0,0,0.238079200375812,0,0.264835212333192,0.134080836744159,0.0938932443833097,0.136517162714443,0,0,0,0.423419400080635
XLM,0.192324725302546,0.102632718104282,0.322270335537649,0.276695981980194,0.0354476255424115,0,-0.246411208115875,0.260244174431687,0.0702387179461158,0.196535993795951,0,0.170108759567455,0.269224611533161,0.162929965816511,0,0,0,-0.235313546392648
NEO,0,0,-0.0332319624392496,0,0.14507231678868,0.174499658256968,0,-0.598516501041451,0.335248969553931,0,0,0,0.0327605951868619,0,0,0,0,0.111663435976055
DGB,0.126684031818302,0,-0.0789586553567982,-0.170919051250879,-0.278336133287713,0,0.065212883474472,0,0.0294890652945046,-0.0254583306042973,0.308323619845696,0.245779525154248,0,0,0,0,0,-0.038577643908366
BV010082.Index,0.181464368675822,0.0147843832944929,0.00430601734557063,-0.0166608340472377,0.0599830583241925,-0.146364347247506,0,-0.137027544383268,-0.0144051175065194,0,0,-0.0769146295616832,0,0,0,0,0,-0.113376514141705
CVIX.Index,0.228666967287291,0,0.00582117436113779,0.20775646697808,0.0619149166768279,-0.30642647285461,-0.414667629989541,0.277814603912859,0.145020252422086,0,0,0.0692145163308405,0.163310544721585,-0.208589332070268,0,0,0,0
DXY.Curncy,0.0335369648363499,0,-0.000312963336472595,0.00474479228738439,-0.00927591008849669,0.00375794426462813,-0.00734234675956785,0.0152514934044617,0,-0.00041258199109202,0.00345709278239747,0,-0.00279167679732961,0.104337846700569,0.000853394451337172,0,0,0.0309713608779091
SPX.Index,0.0156389584890302,0.0275086059249899,-0.00776009985614243,0.00679119365979984,-0.0206021593977973,-0.0152024222588293,-0.0101666303546686,0,-0.0108590930212376,-0.00205423202223723,0.0150244022739789,0,0.0138752846153921,0,0,0,0,-0.0376262280583781
VIX.Index,0,-0.0914964641084216,0.00226803158390444,0,0.12412444153586,0.235448879366155,-0.452799540197309,0,0,0.331460977558435,-0.130941403571533,-0.327875570217985,0.435799931308506,-0.799162766706198,-0.812791878592297,0,-4.2758050084451,0
