,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.021284867923823,0,0,0.0813733257394696,0.111166407920746,0.133496712131722,0,0,0,0.0392554852708038,0,0,0,0,0,0
ETH,0,0,0,-0.0701859841952372,0.182051650125141,-0.0429048822973584,-0.0477550448869434,0.145498136455127,0.0482493874871989,0,0,0,0.0749644502812476,0,0,0,0,0
XRP,0,0,0,-0.502341681594081,0,0,0,0.447509739524951,0.595544177164171,0,0.249908913423761,-0.792903901945558,-0.0968544527758481,0,0,0,0,0
XEM,0.729370463626115,-0.156050793069342,-0.0541745310502197,0,-0.381637030015522,0,0.183640429081527,0,0.133703376249617,0.157018086177245,-0.0844713047485784,-0.0487580824750257,0.313996201036866,-0.289547185633211,0.649763152268782,-7.00879220801046,0,-0.0649430717734361
ETC,0,0.355612210723086,-0.103317731374309,0,0,0.103988467262181,0.149907312179545,0,0.0239034939874785,0,-0.0213669555036648,-0.0209624803441154,0.0752023373334733,0,0,0,0,0.00000000000000000693889390390723
LTC,0.644836202305253,-0.0550880322876721,0.0027072016841858,0.157966530683347,0,0,0.220513459402323,0.0130389979015196,0.143025472170829,-0.0407835591152321,0.10873132692064,0,0.202865555382223,0,0,0,0,0
DASH,0.339588815068987,0.0592381424756299,-0.121864277971465,0.0746072639888694,0.0905370662973185,0.242915046609728,0,0.065550797463513,0.15543261885603,0.487921986328809,-0.165215451045272,0.0112032601746465,0,0,0,0,0,0
XMR,0,0.424309328276207,0,0.149446892350443,-0.160618163798048,-0.0267819018476319,0.0926358600554197,0,0.151959011666299,0.160722387859627,-0.0623051228057616,-0.0572557238179632,-0.10444589409534,0,0,0,0,0
XLM,-0.659632977804814,0,0.312297014515321,0,0,0,0.509282846354091,0.370474205678286,0,-0.265478655183538,0.411483021361685,0.0500027883015168,0.234231527932665,0,0,0,0,0
ZEC,0.264017524610382,0.140517242466654,0,0.00683245905796299,0,-0.139048407245594,0.385595915284817,0,-0.0411453626014767,0,0.254642864138577,0,0.0149380972550274,0,0,0,0,0
DOGE,0,0.172849250708775,0,0.0786379275668997,0.00417019882637718,0.320911540913584,0,-0.0143590011831654,0.243098855104253,0.365701438389552,0,0.0358735054293512,-0.0000000000000000138777878078145,0,0,0,0,0.356725892110991
DGB,0,0,0.0663517870390228,-0.0490533770894403,-0.885392041696532,-0.201312673970688,0,0.514094743557189,-0.0692036882511517,-0.271693157740368,0.227543090809007,0,0.721828423454189,0,0,0,0,0.0143305031071829
NEO,0.362532758126498,0,0.237612777068949,0.0687699454891869,0.548737152889536,0.472090855088676,0.393300720998997,0,-0.0820905428655459,0.293181467395575,0,0.106774839229289,0,0,0,0,0,0
BV010082.INDEX,0,0.0269219361990971,-0.0037471313694771,-0.0401845719076857,0.038051489747523,0,-0.081750094101508,0.0307467395831258,0.0557083331434608,0.0766127671662913,-0.0561415909712384,0.00500544805860981,0,0,0.126091832858142,0,0,0
CVIX.INDEX,0,-0.0612528855536854,0,-0.450697678141663,-0.314001209827561,0,0.0803096958642982,0.0878950779935714,0.0272031068571246,0,0,0.0237189600917346,0.292105776194041,0,0,0,0,0
DXY.INDEX,0.0188038196451961,0.0168274071998965,0.00311386970233555,-0.0170334331502652,0.00484570482408736,0,-0.0042382102037803,0,0.00959876912942684,0.0103463310502411,-0.0149641542555307,-0.00308975185869287,-0.00313619918790662,0.0282633968890752,-0.0126917476561022,0,0,0.0121200311909477
SPX.INDEX,0,0.0114259549154526,0.000231058899976798,-0.00637603427759848,0,0,0,0.00379109901143867,0.00512306338720492,-0.0144169127394833,-0.00124265287532642,0.00502556648701078,-0.00000000000000000010842021724855,0,0,0,0,-0.0316624070504161
VIX.INDEX,-0.487605694927323,0.00866296532644301,0,-0.255397251346239,0.353699784745319,0,0.139310564246465,-0.102372238370948,0.229467525572849,0,-0.0118952541178253,-0.0600007095166615,-0.0325226390306716,-3.23715200364942,-0.711293785271196,0,0,0
