,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0796942012359292,-0.0749636298233233,0.00981456173933482,0.368633722960404,-0.0679687220608151,-0.120283936561155,-0.00596796013795192,0,0.17860702775029,0.0874673433027259,-0.385602049126108,-0.0604304748777433,0.129897290270182,0,0,0,0,-0.050380602670578
ETH,0,0,-0.0633552342160331,0.0871266694092114,0.0452069255021827,0.00000000000000000346944695195361,-0.0796070245607355,0,0,0.138458779333638,-0.0172259850441149,0.0984721980938302,0.0636939972329967,-0.047280392462935,0.000895993071779717,0,0,0,0,-0.00000000000000000346944695195361
BCH,0,0,0,-0.0118701278529501,0.177156569718581,-1.50845883046653,0,0,0.493664786905812,0,-0.0374951624858557,0.63729046518441,0,0,0.121601376181254,0,0,0,0,0
XRP,0,0.453508863386729,-0.00117251140979914,0,-0.00658582814756506,0,0,0,0,0.305623421341326,0,0,0,0,0.168997499183927,0,0,0,0,0
BTG,2.4510927651817,0,0,0,0,-1.55025497975366,-0.0525283252018635,0,1.22435348467517,-0.159208589322304,-0.137302480995024,0.000000000000000000867361737988404,-1.73365148714619,0.0663687595777608,-1.01843324620787,0,0,0,0,-1.02493328025723
LTC,0.136935466532011,0,-0.103321652577853,0.24935073342416,0,0,0,0,0.163751042822886,0.0980286281954968,-0.0461694909991128,0,0.127943649511942,-0.0204316987319726,0.00520033449219408,0,0,0,0,0
DASH,-0.421402198830915,0,0.0515094159442911,0,0.0937711451962078,0.161331215825536,0,0.222811314854281,-0.305464605366225,0.0869934720220565,0.0494099645028692,0.0954553703072492,-0.157630181866563,-0.00417271310919398,0,0,0,0,0,0
MIOTA,0,-0.00383992338110236,-0.13909810418509,0.348730086134946,0,-0.34033325919848,0.213565627363233,0,0,0.247963267261881,0.174976982497,0.155903312176089,0.493282322806817,0.0855972507448968,0.125095168035719,0,0,0,0,0.128821500328056
ETC,0,0,0.149318837517432,0.264662612725196,0.0329421778657832,0.097694314729507,-0.327850477043154,0.0740791158141798,0,0.0297457549780609,0.100227829778862,0.0385271206348372,0,0.0574592301034665,0.0861867377863259,0,0,0,0,0.068093508194741
XMR,0,0,-0.079408567530395,0,-0.00944701924739882,0,0.211639977956967,0.0917358720509237,0.0687480021389657,0,0.103012146641531,0.0683208497037258,0.247212691997435,0,0,0,0,0,0,-0.0368561717347707
ADA,0,0.626932002603268,0.0548069420594941,-0.259597309738443,0,0.451058593307756,0.0193412484771722,0.20838819806562,0,0,0,0.316871653252764,0.663991837481435,-0.206262146168101,0.048902586695502,0,2.67091106834384,0,0,0
NEO,-0.189501345604066,0.531174174781431,0,-0.16199044883557,-0.0845984662805426,0,0,-0.224599690139586,0.0472694255840063,0.261822858955711,0.038853265998409,0,0,0.165889307071492,0.0878825440652248,0,0,0,0,0
XEM,-0.0563317017020432,0.393714583480989,-0.00849280762324794,-0.0662650862621292,-0.0392480531621303,0.146159404283854,0,0.141435293618382,0.0207218531342774,0.08608782741052,0.0642170646687039,0.0278543891587943,0,0.0687892132791337,-0.0254446965675822,0,0,0,0,0
XLM,0.378561240381042,0,0.30615122538626,0.414447657332993,-0.0980036030070702,0,0.11530086265915,0.516815851766784,0,0,0.235315305008,0.0547282111451654,0,0,0.21490638268821,0,0,0,0,-0.244053617074326
EOS,0.796285784155632,0.223126827329919,0.221255903704597,0.613549924880067,-0.0717166019903013,0.216953476500686,0.319450429491275,0,0,-0.493541756361298,-0.0675900737035609,0.158026247164382,0.405765959957124,0.0767685490947774,0,0,0,0,0,0
BV010082.INDEX,0.038621313291432,-0.0444956031541627,-0.0147350598728947,0.0375755472084377,0.00372788437218413,-0.098359672826388,0.0216575990304692,0.0392794049606462,0.010915751694814,0,-0.0208140441723495,0.0426090244048845,0,0.000741984304849698,0.0123604601439816,0,0,0,0,0
CVIX.INDEX,0,0,0.00578071265022564,-0.125811912423563,-0.00222147962855211,0,0,0,0.0335453724026002,0,0.0220981841157682,0,0.0338138087027974,0.0168481245642852,0,0,0,0,0,0.0817294527163798
DXY.INDEX,-0.0142390200823349,-0.018794223790438,-0.00871599682855218,-0.00402929083025979,-0.00469964615723683,-0.0107819994169327,0,-0.00544726399159221,0.0186801862635071,0.00175837320310404,0,0.00287039049891086,0,0.00430382268011693,0,0.079095667109652,-0.0947067801089181,0,0,0
SPX.INDEX,0,-0.0039609239056457,0,0,0,0,0,0.00253190132239878,0.000549283465695832,-0.00117665518491107,-0.000643924760385065,0,0,0.00174416420666497,-0.0078353253520406,0,-0.0688282331165589,0,0,-0.0243361019735553
VIX.INDEX,-0.26546467211402,0,-0.410667895746557,0.367722419748783,-0.025517204022193,0,0.0061424882508749,0.251368909999936,0,-0.120992825056989,-0.110221491606853,0.183555247692983,0,0.0725711128658392,0,0,0,0,0,0
