,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.169972211584141,0,0.0428401496999182,0,0,0.151481948959956,0.0818505099014117,0,0,0.01772133190619,0.0980091278495975,0,0,0,0,0,0.0134066140634632
ETH,0.00000000000000000693889390390723,0,0.175833844625373,0.159754251375418,0.00263185175586313,0.299902642291745,0.0768319345745517,-0.0476603907144314,0,0,0.035096414298764,0.0117979546370539,0.119806550171569,0.0866596741360446,-0.104348753503464,0,0,0,0,0
XRP,0,0.167229777041996,0,0,0.177444854277149,0,0,0.192211159396279,0,0.142879349867001,0.067280388592901,0,0.141113624688031,-0.104148560888169,0.024266902365649,0,0,0,0,-0.105764727619157
BCH,0,0.364537703939038,0.0565262939700081,0,0,0.290919779270363,0,0.249077738731606,0,0,0.0235059757636225,0,0,0.115369642384809,0,0,0,0,0,0
EOS,0.377311318607574,0,0,0.2508676079542,0,0,-0.198685816353086,-0.163321708307585,-0.0610611035586265,0.223669829158107,0.186101766619119,0.0419782554751096,0.0233305601574023,0,0.209978094099193,0,0,0,0,-0.193811775671415
LTC,0,0.204021481636474,0,0.199426242629215,0,0,0,0,0.213663957961432,0.0608145003320547,0,0.105605133836753,0.0614132655171174,0.00493763190267712,0,0,0,0,0,0.00786793997781271
ADA,0,0.536815600798723,-0.0000000000000000277555756156289,-0.226753005946761,0.142287486302908,0,0,-0.0000000000000000138777878078145,0.265366705386518,0.105015406071051,0.131410674267138,0.00776492507914202,0.176038642724126,-0.0540352133591517,0.0498534927872479,0,0,0,0,-0.0232293138346223
XLM,0,0,0,0.141609754133893,0,0,0.192002048235724,0,0.248268496627881,0,0,0.177465249984149,0.179047070813482,0.0444796820597245,0,0,0,0,0,-0.0374443929520841
MIOTA,0.0625247796377936,0,0,0.169711297173866,0.0383629685128523,0,0.122950226406691,0,0,0.313667238879847,0.0353433590385055,0,0.0993210523317057,0.109273844500375,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0936468232963013,0,0.106645631096281,0,0.191886138512963,0,-0.0148794796557484,0,0.388924534449784,0,-0.293128111558086,0,0,0
XMR,0.880913664834262,0.0597377617439332,0,0,0,0.315629886715526,0,0.27412470981378,0.077171808640026,0.0901960307062237,0,0,-0.320727709207678,0.0848570066076241,-0.148520542801232,0,0,0,0,0
DASH,0.380392066676567,0.154331749257909,0,0.0452480758034629,0,0,0.0857418192825766,0,0.096780440438749,0,0.0361566405416572,0,0.0392193844755512,0.0643249622477276,0,0,0,0,0,0.0690744328130219
XEM,0,0.465340417128355,-0.0968540322744157,-0.440803295793617,-0.0919536539267053,0,0.307762299212909,0.338928377163218,-0.0329391342146727,0.111169094070806,0,0,0,0.244638590586977,0.113842509886181,0,0,0,0,0.0223490838611307
TRX,0.323632397088769,0,-0.0712500606828029,0,0.139419514812385,0,-0.916432152362649,-0.65584579880862,0.360076210219099,0,0.375893269259132,1.13300859147181,0.289439669735995,0,0,0,-0.238649197536476,0,0,-0.245036760869003
ETC,0,0,0.516893093844839,0,0.100509355250565,0,0,0.103308296481487,0,0.182618246728787,-0.17628028602419,-0.0000000000000000138777878078145,0.105763586345493,0.161534330527475,0,0,0,0,0,-0.0741329046453526
BV010082.INDEX,0,0,0.012445575129564,-0.0230511184921844,0.032273573329185,0,0,0.0386363023357567,-0.0000000000000000000135525271560688,0,0,0.133798979563242,-0.0451638363504755,-0.0361043360045932,-0.029393298288986,0,0,0,0,-0.0704005959251046
CVIX.INDEX,0,-0.0954779600700951,0.0270318710389149,-0.100561723179034,-0.0831014459875969,0,0.104274162190374,0.144129799584936,0,-0.05266365866807,-0.0975480421732467,0.28802745187014,-0.251164343932511,0.0544261948152858,-0.00159173708268042,0,0,0,0,-0.0104241677141089
DXY.INDEX,-0.00335921399153099,0,0.0210170635511604,-0.0140961409924707,-0.00568606512446826,0.0103955627244349,0,-0.038062225412806,0,0,0,0.0437796893658877,0,-0.00584302994517147,0,0.0727303516554568,0,0,0,0
SPX.INDEX,0,-0.0513109934233569,0.00741503620574789,0.0116269651388974,0.0269730382959509,0.0452273709271147,-0.0182166788098066,-0.0235374539564857,0,0,0,0,0,-0.0206342894325891,0.00880077194609349,0,0,0,0,-0.105393166237138
VIX.INDEX,0,-0.282613263760962,0.203436716948603,0.0883882099478097,0,0,0.188795786330363,-0.501329663580828,-0.0435656118572773,-0.0000000000000000138777878078145,0,0.222245685280726,0.0288056457215042,0.172099248676801,0,-0.218003481662284,0,0,-3.93502580404066,0
