,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.126681822183867,0.0320548619115782,0.0433989854297068,0,0,0.108768385698893,0,0.0822258283458183,0.0809140490556496,0,0.094821243248917,0,0,0,0,0,0.0235945352575818
ETH,0.132329507623712,0,0.160814620517386,0.156127894919425,0,0.415940273506489,0,0,0.00735338316601304,0,0,0,0,0.0297598651752638,0,0,0,0,0,-0.00518304371549392
XRP,0,0.122491030174316,0,0,0.149899851394483,0,0,0.208616013334798,0,0,0,0.120927330071244,0,0.10725442130435,0.0946648714110233,0,0,0,0,-0.130805167776345
BCH,0,0.428216514795194,0,0,-0.163665842401575,0.277394990329077,0,0,0.0834900386763655,0,0,0.284296914835957,0,0.0614891370592083,0,0,0,0,0,0
EOS,0.294024649259284,0,0,0.15640763465644,0,0.0115390550660523,-0.14319179714219,-0.0546751062264341,0,0,0,0.266275233017382,0,0.0146139733557615,0.275382841019352,0,0,0,0,-0.175746766301168
LTC,0.0312597535612704,0.38842866118152,0,0.184256450328158,0.0233605032667794,0,0.0271873903931018,0.177710424671373,0.0680015904044601,0.00564306488339722,0,0,0,0,0,0,0,0,0,0.0178778810671527
ADA,-0.104329612847491,0.587926695675064,0,-0.180714851953293,0.134588480323042,0,0,0,0.286631358174443,0.123734609281675,-0.0514108464787831,0.127420645195456,0,0.192977205164884,0.017296350298187,0,0,0,0,-0.0182846215394017
XLM,0,0,0,0.094347449044069,0,0.0472835344937305,0.25472716103264,0,0.17623265232115,0.168129840040079,0.0599606670931633,0,0.00486123245057309,0.125329716964061,0,0,0,0,0,0
MIOTA,0.166593024710026,0,0.292686493371074,0.398436191073812,0,0,0,0,0,0,-0.024269007330894,0.115324411262372,0,0,0.148596462632941,0,0,0,0,0
NEO,0,0.333858922382645,-0.00144008913226939,0,0.00407337073231744,0,0.100308599261936,0,0.156952268005935,0,0.0516148014881124,-0.000000000000000000867361737988404,0,-0.0662394969247375,0.310415424528148,0,-0.448579238699991,0,0,0.0899294309571805
TRX,0.602411208706217,0,-0.301364919768692,0,0.263112822908096,0.85418288124084,-0.856077656813879,-0.449602779851298,0.0957977856942849,0,0,-0.00000000000000000173472347597681,0.735288127104634,0.096883016807023,-0.195368680630453,0,0,0,0,-0.163692617221879
XMR,0.702608823393178,0,0,0,0,0.533607368142442,0.155422898892863,0,0.138656071952362,-0.00000000000000000693889390390723,0.00141593964001214,0,0,-0.248913212811955,-0.0875893182025838,0,0,0,0,0.0457291342857007
DASH,0.0426182883551749,0.0805697359981677,0,0.260814339868473,0,0,0.0786338798757558,-0.00000000000000000693889390390723,0.11218800923951,0.054160638448741,0.0831788694077188,0.126156595914168,0,0.0583974587263646,0,0,0,0,0,0.0701057259167814
XEM,0,0.448136909248397,-0.116489424059253,-0.25586776315755,-0.134191468636737,0,0.289064365188696,0.245092141495015,-0.138717912574722,0.2377991941868,0.222360569810886,0,0,0,0.187597007716591,0,0,0,0,0
ETC,0,0,0.516422585982276,0,0.103076202523852,0,0,0.0980875900030897,0.00000000000000000346944695195361,0.166242288165776,0.146074193263335,-0.16658537115151,0,0.124223211332821,0,0,0,0,0,-0.0705101258225016
BV010082.INDEX,0,0,0,0,0.00701520450545769,0.0338486223739795,-0.0125984649458075,0.0872081862942386,0,0,-0.0157219097301294,-0.0270271104070612,0.0826158236109834,-0.0560986837064524,-0.00737985575992307,0,0.173919626327312,0,0,-0.0563819609635997
CVIX.INDEX,-0.0977778192831502,0,0.0062699242424646,-0.115915294053757,-0.104224177792097,0,0.109950844086215,0.0784654992671719,0,-0.0341083862087674,0.0454871170443831,-0.0550686343195523,0.313618680229236,-0.230522783773043,0,0,0,0,0,-0.0155722147935089
DXY.INDEX,0,0,0.0196779554387179,0,-0.00332304594975261,0.00638225239156018,0,-0.0457699129357659,0,0,-0.00392523377718941,-0.0025962914658756,0.0513945630248177,0,-0.0105067553156779,0.0692433628961893,0,0,0,-0.00224430825027317
SPX.INDEX,-0.0599164717061071,-0.018467848736761,0,0.0158581209951335,0.0449093763362404,0.0711422428044432,-0.0629576875169434,0,-0.00813375981029589,0,-0.0141213796194341,0.0198200398040346,0,0.0065649571598731,-0.0114046826440216,0,0.000687407078750788,0,0,-0.103676820595244
VIX.INDEX,0,-0.396579797347628,0.133605069240037,0.216856433463957,0.0595006373517399,0,0.139233967443937,-0.443536531491934,-0.0293469598790317,0,0.139798321746018,0,0.200184466523166,0.0524317522806735,0,-0.615506555915126,0,0,-4.09854329386727,0
