,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.00000000000000000173472347597681,0,0,0.0414636800181266,0.0152202384082354,0.110507431171377,0.0359246950782769,0,0,0.201079083574361,0,0.133801507061189,0,0,0,0,0.0334155457654407
ETH,0,0,0.29765639732606,0.0784848139333535,0.0274149730721478,0.2597944236448,0.0345278209451192,-0.0281515429629654,0.13983638647368,0.108010495059659,0.0399052570592322,0,-0.195278652984916,0.133951450299801,0.00902672348050985,0,0,0,0,0
XRP,0,0.287306827604497,0,0,0.0697462358334324,0.0111140925851857,0.144697104659289,0.104950745900268,0.0109594057411402,0,0.0830101094390857,0.255243534896407,0.0135986117760642,0,-0.0143970606589887,0,0,0,0,0
BCH,-0.092184989171814,0.18051589085831,0.371077384321775,0,0,0,0.0530922337884414,0,0.241358072281305,-0.113920563747026,0,-0.158880395518895,0,0.207934970121456,0.106837882558038,0,-0.116365817786364,0,0,0.0654147880954756
EOS,0,-0.539213549662724,0,0.34629052824615,0,0,0.0500004302687379,-0.0928864178466045,0,-0.128739013642517,0.781668973747475,0.0485472740736198,0,0,0.530464783062488,0,0,0,0,0
LTC,0,0.0916229832254139,0.147991068357777,0,0,0,0.0850446231478051,0.151749387699292,0.0276297218102102,0.0796107848952063,0.0699350815568815,0,0.0846197998708099,0,0.0827553423942834,0,0,0,0,0.043434311964175
ADA,0,0,0.381332641562184,0.128374533852224,0.0825897154670886,0,0,0,0,-0.0181460012260805,0.216808323592875,0.0446218051279,0,0,0.104349830773035,0,0,0,0,0.21794913737454
XLM,0.469216272332964,-0.124911828480144,0,0.0507864206490346,0.062359496895067,0,0.213737200144633,0,0.0583365222075432,0.00687459287754985,0.219716417179802,0,0.0657961666568277,0,0.149275863600828,0,0,0,0,-0.027493452488005
MIOTA,0,0,0.47617813833839,0.0991129507474404,0,-0.285796989110846,0.145826478321763,0.194792975766696,0,-0.0123607755296962,0.0675316668050496,0,0.0288776422742114,0.527841880561019,-0.343159274015776,0,0,0,0,0
TRX,0,0,0,0.774095315919448,0.18291366996962,0,-0.957735497053483,0,0.162707828588071,0,0,-0.14189400854799,0,0.790948488454412,-0.417249286530237,0,-0.451207003133449,0,0,0
NEO,0,0,0,0,0.0708944713979369,0.171058247989053,0.0237949663875623,0.243866477189067,0.182431831411981,0.0784968590301877,0,0,0.181400700624404,0,0,0,0,0,0,0.0756359772240845
XMR,0,0,-0.0000000000000000138777878078145,0.23276183120544,0.0130312291394814,0,0.144560661982654,0,0.0239601114958168,0.00915081120265661,0,0,0.0338752717983876,0.343938932518916,0,0,0,0,0,0
DASH,0.671852640148871,0,0,0.132592244264101,0,0,0,0,0.0322419043314627,0,0.1410743815667,0.0854905798911733,0,0.0672984254008498,-0.0207785995886546,0,0,0,0,-0.0231305979345776
XEM,0,0.250098761046771,0.23726013383604,0,0,0,0,0.274505312104176,-0.119301166498999,0.0981589549239244,0.105249362780728,0,0,0,0.137174045169473,0,0.266951942489579,0,0,-0.0732225465864935
BNB,0,0.300056361734975,0.102706327647526,0,0.0763705987596448,0.170484123822654,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0864268659861052
BV010082.INDEX,0.39084594183426,0.0298856410955484,-0.311169177420574,0,-0.077135153420614,0,0,-0.00634323572665392,0,-0.0036664166807767,0,0.162534014246036,0,0,-0.0860566914300379,0,0,0,0,-0.251068879774038
CVIX.INDEX,0,0,-0.137049525618409,0.105877194335907,0.0298912141508008,0.0477867239945087,-0.0674013402915758,-0.0257408807796067,0.0365458734400144,0,0.133136698874844,0.183899680039476,-0.444417449731825,0.083203669246859,0,0.615850313840253,0,0,0,0.090154841314536
DXY.INDEX,0,-0.0181509678260748,0.0278930687240923,0.00694875854603619,-0.00287680142901819,0,0.000972619266110213,-0.0354254538874579,-0.00158143006034912,0.00618539012939475,0,0.00892759156051076,0,0.0274184930234219,-0.015383046307764,-0.0643026736130877,0.0616686060669386,0,0,-0.0101005199440628
SPX.INDEX,-0.0172849371344145,0,0.0795585028378753,0,-0.00819814212429637,0,-0.00144927861693619,0,0,0.0223771235490913,0,-0.079084548751011,0,-0.0386672925086525,0.0219278924048251,0,0,0,0,-0.110654240329533
VIX.INDEX,0.444647884045384,0,0,0,-0.0556571436292815,-0.0257348683225805,0,0,-0.0671825575958563,0.175019282992473,0,-0.242922559270891,0.316197998520435,-0.217439600259109,-0.137593123151018,-0.22546757321541,0,0,-2.78216346649287,0
