,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.329371635937364,0,0,0,0,0,0.0493419804847119,0.0460218953735756,0.0582512584243939,0,0,0,0.0878436252702398,0.061851007900802,0,0,0,0,0
ETH,0,0,0.285969767936383,0.100140119602469,0.00870832474945447,0.18870788848903,0,0.0872792452975838,0.0311827152843902,0.0784363348147531,0.0483375178910979,0,0,0.169717028935803,-0.00000000000000000346944695195361,0,0,0,0,0
XRP,0,0.183016470739631,0,0,0,0.188401677097375,0.132221534435446,0.17813792974194,0.0220296331737969,0,0.0915503416323121,0,0,0,0.0980321758264118,0,0,0,0,0
BCH,0,0.129224972793567,0.476684381052065,0,0,0,0,0.128134860188144,0.228167290274294,-0.139622187868011,0,0,0,0,0.100769131621902,0,0,0,0,0
EOS,0,0,0,0,0,-0.734182052701754,-0.106087056970995,0.242084010294852,-0.143147189818937,-0.171056290677492,1.33077010752267,0,0.99346950150642,0.127951569459062,0,0,0,0,0,0
LTC,0,0.0586660104454135,0.28688958683923,0.0665084949726742,0,0,0.0662126222332692,0,-0.000000000000000000867361737988404,0,0.10215369695646,0.0939547279446651,0,0.0755994443469219,0.0384496270679047,0,0,0,0,0
XLM,0,0.160018130927501,0.109826221346674,0,0.0270562121544575,0,0,0.394046200502997,0,0,0.122201247326485,0,0.0689854562511095,0.0873077173967625,0,0,0,0,0,-0.0194926523131536
ADA,0,0,0.179882290686037,0,0.177539194846931,0,0.125315305424282,0,0.0900638284408272,0.0980281144140906,0.0381340807586886,0,0.155130341842761,0.0154120741676414,0.0619523031879305,0,0,0,0,0.0584897890202055
MIOTA,0,0,0,0.0246041238075963,0,0,0.473128750975079,0.408306088496049,0,0,0,0,-0.0275809793139054,0,0.0159625330525784,0,0,0,0,0.135835567059079
TRX,0,0,0.057796426463347,0.209516288337674,0.182911897824142,0,0.089091224561224,0,-0.0900425226435306,0,0.204552250530386,0,0.208978183696785,0,0.10688996404867,0,0,0,0,0.0203065413140905
NEO,0,0,0,0.124464793148234,0.0214453302991432,0.107417815816548,0.177902439543451,0.102579921093962,0.104935613882627,0.0232001387694727,0,0.176700933788238,0.00000000000000000693889390390723,0,0.0376662702027209,0,0,0,0,0
DASH,0,0.10715786177772,0,0.0797580943064084,0,0.136733137470287,0,0,0.132720618260272,0,0.187966625336201,0,0.0444474286520377,0.0602761734132741,0.0166344086185702,0,0,0,0,-0.0144750765791703
XMR,0,0.144571239328336,0.145727205572264,0.169991802770792,0,0,0,0.162363385062924,0,0.13705153366041,-0.013012658597468,0,0,0.0258031795815008,0.0579410569937431,0,0,0,0,0
BNB,0,0.213552468227799,0,0,-0.0780796237809214,0,0.0617713226298046,0.379993779876704,0,0,0,0,0.00957749444627177,0,0.0721206207323929,0,0,0,0,0
ETC,0,0,0.192624700836801,0.300554291412339,0.0323571423179681,0,0.165413104751511,0,0.139459281617095,0,0,0,0,0.149778624744239,0,0,0,0,0,0
BV010082.INDEX,0.10505452124063,0,-0.0871501970966064,0.0465010999375902,-0.138449166039903,0,-0.077314784170653,0,0.0282777035834947,0,0,0,0.294944067900149,0,-0.105608927169833,0,-0.000000000000000000433680868994202,0,0,-0.269085357533165
CVIX.INDEX,0,0.275033744959719,-0.0062187544793276,0.12990360491124,0,0,-0.00325408603525574,-0.109465067968283,0.0881212252168962,0.0819911576007078,0.0484531147751348,-0.373280085132647,-0.182647710430028,0,0.0716745217285689,0.389502952493813,0,0,0,0.174650567419062
DXY.INDEX,0,0,0.0101807233339447,0.00946286842757846,0.00952225346365512,0,-0.00525264364126208,0,-0.0201082000849358,0.00914410640465083,0,-0.0109287748502994,0,0,0.0149699294497206,-0.0661646661189827,0.00430213851911986,0,0,0
SPX.INDEX,0,-0.000901859867099447,0.0111025520029449,0.00376998086042956,-0.0191209597319027,-0.0103485458434557,-0.0016116429047694,-0.0131486400662175,-0.0289950787297191,0.0114228328981956,0.0285469455505614,0,0.0148226710740246,0.00429568118399508,0.0147058496927917,0,0,0,0,-0.0826830900700233
VIX.INDEX,0,0,0,-0.0848117705181606,-0.310842607953755,-0.121628801337547,-0.406892512927659,0,0.170147961396567,0,0.592882272613725,0.337385142475231,0.183853130120971,-0.204983812975956,0,-1.35972158947908,-0.321426291869473,0,-0.459950975956554,0
