,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0525834870431934,-0.0528752006663281,0.0802490787615699,0.110737688496704,0,0.279653827217219,0,0,0,0,-0.0439906508793658,0,0,0,0,0,0,0,-0.0239018187247448
ETH,0,0,0.0151245264648779,0.133279504741377,0.130198042315997,0,0.177354140379157,0.440731910491563,0,0.0673041089327703,0,0,0,0,0.0736699642462276,0,0,0,0,0
XRP,0,0.137402385361484,0,0,0.464972715569147,0.00000000000000000693889390390723,0.402735536504597,0.465933558154927,0,0,0.0419822600487844,0.164410784097067,-0.571859311045439,0,0,0,0,0,0,0
BCH,0,0.235913056248134,0.0776045464834674,0,-0.00000000000000000173472347597681,0.0345245720950952,0,0.135906981891288,0,0.290547269571453,0.023950456363677,0.0100339873453142,0,0,0,0,0,0,0,0.00944172452081917
EOS,0.599416944492166,0.433592287026568,-0.0246592626098435,0,0,0.0419946200143397,-0.085230726730542,0.231491069532979,0.0452750556259047,0,0.101243161527483,0.039972984597758,-0.0364087010120782,0,0,0,0,0,0,-0.00955438950371159
XLM,-0.068036779896073,0,0.171002697613946,0,0,0,0,0.117459774474586,0,0.214017031653067,0,0.0517085310011047,0,0.195587863142835,0,0,0,0,0,-0.01170788080629
LTC,0.109779214228109,0.197741599418728,-0.00663954704774352,0.132435049515298,0,0.0741576881708079,0,0.00000000000000000173472347597681,0.119293014838683,0.11467155323178,0,0.0322313023859147,0,0.115675612161815,0,0,0,0,0,0
ADA,0,0,0.18781800593553,0.148581683460377,0,0.134700451976529,0,0,0.123821493954326,0.101886788186732,0,0,0,0,0.309191070682355,0,0,0,0,0.0543073909906023
XMR,0,0.229043998272273,0,0.119862032107503,0.201581385796214,0,0,0,0,0,0.0958924135853517,0.0611319391356956,0,0.0745338709217414,0,0,0,0,0,0.0717019686068309
TRX,0,0.0810891951344924,0,0,0,0.113962027242514,0,0.286097780209957,0,0,0,-0.00772199335987374,0.461290267551337,0.167161509903481,0.0144912527109517,0,0,0,0,-0.0268168862385994
MIOTA,0,-0.076673197710393,0.0615992638146639,-0.00000000000000000346944695195361,0.198993055922087,0.0932670446756237,0.0629495792086797,-0.177185273537573,-0.054482471656813,0.280460967657391,0,-0.122003602488451,0.317886907390664,0.499476761994735,0.0896133264399503,0,-0.269845681524765,0,0,-0.0175475395820184
DASH,0,0.0597306938116128,-0.0289993549145343,0,0.146115723789839,-0.136452330115009,0,0.476517215530453,0.108636528346615,0,0.011812897855208,0,0.112688906124256,0.223087764539166,0,0,0,0,0,0.0577266928699986
BNB,0,0,-0.0108345285087759,0,0.0688447237641094,0,0.421967184975475,0,0,0.124547210950341,0,0.0300661295018301,0,0,0,0,0.109597714503719,0,0,0
NEO,0,0,0,0.137747195650472,-0.0591220638917805,0.0928801884702318,0,0.102959007246481,0.3622851222009,0,0.184375423616571,0.162218711208324,0.0608397662036835,0,0,-0.0564233482139806,0,0,0,-0.000916402470728617
ETC,0,0.304629987989151,-0.128764849559285,0.116723146054571,-0.157545130237537,-0.194412408547441,-0.0525874665307585,0.844498503693805,0.172954363497907,-0.166419237172537,0.0530538442820324,-0.189936086837565,0.0765449220545582,0.0259406276618971,0,0,0,0,0,-0.0688823714397667
BV010082.INDEX,-0.130074019226432,0.038815603275926,-0.0474492719266238,0,0,0.0532894726512378,-0.062862114217324,0.0175967743393007,-0.0319956898270814,-0.00000000000000000173472347597681,0.0824729616319173,0.0273012251728725,0.159862147100519,-0.185076833009396,0,0,-0.0376166895089502,0,0,-0.0258979365060498
CVIX.INDEX,0,-0.0726249619597931,0.0258058528913941,0.0593468593091994,-0.219009991248031,0,-0.303228262005115,0.232043241739594,0.0887102587080363,0.0825906051108153,0,0.152085698342318,0.287499062470294,-0.350030603584562,0.131350799262602,0.0976539769061098,0,0,-0.101591478782063,0.00503108962584749
DXY.INDEX,0.0386422047136747,0.0044597827630677,-0.0295744599092697,0,0.0040872876843835,0.0176305995657224,-0.0432076546505768,0,0.0095405148968108,-0.0113826828651577,-0.00101802816549247,0,0,0.0290307425325237,0,0,0.167902729944878,0,0,0
SPX.INDEX,0,0,-0.042296047514013,0,0.0479525063591562,-0.0258232098500538,0,0,0.036257281926789,-0.0404709782153015,0.0316774412977458,-0.00317594627852648,0,-0.0103477804602768,0,0,0,0,0,-0.117242295242024
VIX.INDEX,0,-0.279951109564771,-0.268333954862967,0,0,-0.231966330521699,0.0372943196967475,0.428338365049019,0,-0.282820576769661,0.47207399909601,0,0.176181933067034,-0.295968106414359,-0.00000000000000000346944695195361,0,0.425302359231246,0,-7.3368489252055,0
