,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0398279673977555,0,0.358040069020249,-0.00569078040781337,0.135904578669435,0,0,0.0158453598012106,-0.0975095363339711,0,0,0,0,0,0,0,0,-0.00858008196649234
ETH,0,0,0,0.0789870497773046,0.144925550047327,0,0.226299793720284,0.236727888062027,0,0.0728674165645254,0,0,0,0.290192672145211,0,0,0,0,0,0
XRP,0,0.383732332373677,0,0.0373434190395319,0.587530926353429,0,0,0.320306185545552,-0.344989982355816,0,0,0.566754111805457,-0.678844327480768,0,0,0,0.783960375959507,0,0,0
BCH,0,0.264378600119538,0.07964940392076,0,0,0.0352961075612242,0,0.122866700196926,0,0.295760137526616,0,0,0,0,0.0194594707078065,0,0,0,0,0.0131864066634812
EOS,0.638051337414926,0.414270900907855,-0.0439841762000508,0.041299651773307,0,0.0795734552166208,-0.101583041166622,0,0.0863172058833532,0.0152686389233332,0.0972964902454822,0,-0.110780256794273,0.194537028337918,0.0575335342957273,0,0.0431464160705825,0,0,0
XLM,0,0.136656111838988,0.16951769357686,0.015870039983251,0,0,0,0.140306299249947,0,0.0889036858460895,0.108498474174466,0.0470110873686175,0,0.0779213874590602,0,0,0,0,0,-0.00000000000000000346944695195361
LTC,0.139018183611296,0.215980238792288,-0.0200900405673917,0.147150524310739,0,0.108509018286867,0,0,0,0.0836306863331598,0.0983913421036217,0.0476344820610305,0,0.111759410253157,0.0233366406714213,0,0,0,0,0
ADA,0,0.202657462823352,0.118974188311572,0.127743194045868,-0.0250724770484401,0.18885285904481,0,0,0,0.0859291022890597,-0.0251911671170381,0,0,0,0.355004090446521,0,0,0,0,0.0675952639035801
XMR,0,0.126643866883446,0,0.109940495474439,0.0922574042942544,0,0.119974027960994,-0.256693047270718,0,0.0328055016022613,-0.0247652124533374,0.312302869438099,0.161429383487648,0.210470185216258,0.0268620581014748,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.547822061051749,0,0,0,0,0.514888788936999,0,0,0,0,0,0,-0.0540718628237902
DASH,0,0.160129632648444,-0.0531543168125039,0,0.124519388774952,-0.165300195183195,0,0.530442891254493,0.144302500703324,0,0,0.0134121985923299,0,0.164669017470614,0,0,0,0,0,0
MIOTA,0,0,0.0389632706317992,0,0,0.0409852070042806,0.549111119702164,-0.0466016858376805,0.0267407370690923,0,0,0,0,0.425845819635596,0,0,0,0,0,-0.0777853871391824
BNB,0,0.0952768271115064,0.0437780644546828,0.020434182814855,0.116921043834072,0,0.227268109574124,0,0.0763375034141401,0,0,0,0,0,0,0,0,0,0,-0.0176822297909836
NEO,0,0,-0.113782488634567,0.0110311054003462,0.129088728120495,0,0,0.533331494302217,0,-0.0367776261998767,0.00873628442351883,0.373218854334153,0,0,0.076981517648017,0,0,0,0,0
ETC,0,0.139034419045087,-0.102588740307495,0.0286343013354052,0,0,0,0.446205346877087,0.227501381330415,-0.0150102430195188,0,0,0.179918088274057,0,0,0,0,0,0,-0.0365251707407577
BV010082.INDEX,0,0,0.0559495340643184,-0.0484289631053044,0.0514591133857433,0.00713641129686449,0.0622741431368506,0,0,0,0,-0.103714113172994,0.120567077331639,-0.200432596331328,0,0,-0.0116479608230823,0,0.830243149937726,0.00738426349770855
CVIX.INDEX,0,0,0.121246537437784,-0.0659270398463268,0.0808162314063236,-0.2907790987522,-0.213560413589526,-0.0409140409247636,-0.175346775002068,0,0.0382890085723819,0.35929986535891,0.217736667048617,0,0,-0.42501725305698,0,0,0.0996268505087304,0.0147960348274589
DXY.INDEX,0.0140294172359882,0.0283578198667108,0.00722143465438384,-0.0595870561834256,0.0259002836878901,-0.0152746903503258,-0.0145929543984372,0,-0.045361857284695,0,0.0122960167819868,0,0,0,0,0.0649162706412435,0.00776926682546699,0,0,-0.0138517119113234
SPX.INDEX,0,-0.127787710573108,-0.0298059917927309,-0.0295294169255369,0,0,0,0.0580926637275751,0,0,0.00495963376076261,0.152099107944578,0,0,-0.0117416501159723,0.140239108506093,0,0,0,-0.109871234748034
VIX.INDEX,0,-0.104388350292342,-0.0760366842134799,0.525735950572086,0,0,0,0,0,0,0,1.65075224161524,0.247239239293803,-2.18595675796396,0,0.428622406389258,0.407065747439151,0,-4.93374767742189,0
