,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,ADA,XMR,TRX,DASH,MIOTA,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00640290097557986,0,-0.0721094845434727,0.183406271975741,0.0671484456094917,0,0.00193858827960795,0,0.297744557449336,0,-0.0104079955715379,0.0838002448860289,0.0740357220416239,0.20699931752007,0,0,0,0,0
XRP,0,0,-0.000000000000000000867361737988404,0,0.89942782081566,0.13824646566479,0,-0.0121284763886728,0,0,0,0,0,0.463329799692163,-0.378011259411821,0,0.184025646431174,0,0,0.105049003143732
ETH,0,0.185256507103123,0,0.00264943867945797,0.0686797872597585,0.142599801142457,0.312238080560467,0,0,0.098086498453078,0.0561085386422358,0.040575839727841,0.0379440607918536,0.0631891488851355,0.151825250057799,0,0,0,0,-0.0000882619861829774
BCH,0,0.00460636424552329,0,0,0,0,0,0.0479742110165339,0,0,0,-0.364444957606402,0.528996162660976,0,1.02232442236912,0,0,0,0,0
XLM,0.336913678432381,0.0952774947274678,0,0.020328868261243,0,0.25775426901535,0,-0.0415020906500755,0.384826663637025,0.111979258467565,0,0,0.0175888220246988,0,0,0,0,0,0,0
EOS,0.0176534595722301,0,0.362283120961426,0.125127480416469,0.49813475992051,0,0,0.000000000000000000433680868994202,0,0,0,0.0295857566234217,0.0665830299919783,-0.282232011939473,0,0,0,0,0,0.0368860176588105
LTC,0,0,0.131807852385088,0.210515300689011,0.0859930847982651,0,0,0,0.0933335216729207,0.0349371508368698,0.0631622618113231,0.227831810757857,0.0421578209639279,0.0258643124502218,0,0,0,0,0,0
BSV,2.72315318929175,0,0,1.5437627029973,-4.25626981106947,-1.76415963147552,-3.30821097119729,0,0,0,1.54793840786398,2.84682843154561,0.756035934286324,0,0,0,0,0,0,-0.0934109784117284
ADA,0,0.0601217427388837,0,0.120986407378028,0.0232372586878493,0,0,-0.019386358525069,0,0.0724722543687977,0.274118293624611,0.142135274853883,0.259369162020528,0.0293759413796921,0,0,0,0,0,0
XMR,0.601893303318383,0,0.0450948717296209,0,0,0.0579054021683012,0,-0.0133162031997353,0.097534156572899,0,-0.00000000000000000693889390390723,0.193385995065442,0,0,0.214865849038437,0,0,0,0,-0.0562763010262157
TRX,0,0,0.334094049591361,0,0,0,0,0,0.152995134752742,-0.00000000000000000693889390390723,0,0.0589879642257162,0.0517924084241372,0.067586267594437,0.231337689989682,0,0,0,0,-0.0868166960454395
DASH,0.261492974719508,0,0.0666974211036788,0.115125109816002,0,0,0,0,0.468511885502466,0.0254915020725172,-0.0430898319802733,0,0.00279737319861826,0,0.171569638005899,0,0.172013011062488,0,0,0.00273685905008077
MIOTA,0,0,0.0645710383167549,0,0,0.239161435076524,0,0.044443201186688,0.371446793221063,0,0.129410552342255,0,0,0.159002428768774,0,0,0,0,0,-0.0371649286544742
XEM,0,0,0,0,0.275047921813224,0,0,-0.00229304060326758,0.192499305604711,0,0.0130024005418163,0.185172172891848,0.189153089302885,0,0,0,0,0,0,0.0109092933659369
BNB,0,-0.0524824924227651,0.665700130032427,0,0,0,0.0181058313028358,0.0274483062065088,0,0.0633525704132847,0.0866412262068193,0.0234827646073666,0,0.0833744799882177,0,0,0,0,0,0.0138113706527564
BV010082.INDEX,0,-0.170574117583503,0,-0.0618122930696998,0,0,0.127700235073104,0.00638342685293758,0,-0.128128007332142,0.0369696259113259,0,0,0.0888695825268416,0.0945574092794131,0,-0.0938213676354563,0,0.636629319304112,0.0178666203953877
CVIX.INDEX,0,0.0606556627112308,0,-0.154691370434719,-0.268089218171536,0,-0.0448384686362536,0.0280061139524459,0,-0.147033832582856,0.0764966714157527,0,0.247402703325459,0.00273845091949601,0.272134349583223,0,0,0,0,0
DXY.INDEX,0.0559963002148892,0.0153758587249185,0,-0.0252949045732851,-0.0560376137519144,0,-0.0567374147935294,0.01268009277011,0.0404809458199763,0,0,0,0.0165576248156969,0,0.0271507507517306,0.0670029026711191,0,0,0,0.00364792852495859
SPX.INDEX,0,-0.00606450592841145,-0.213113890184258,0,0.0827461550049944,0.0464261237805755,0,0.0117876505201901,0,-0.00286778376048236,0,0.0273732315921283,0,0.0506131243081449,0,0.104426091658666,0.0367031299333107,0,0,-0.115899138264192
VIX.INDEX,0,0,-0.387019527358639,0,0.0956580688577756,0,0,0,0,0,-0.0203979680964141,0,0.269822517858166,0.240968868633923,0,0.62681824833866,1.32728407247898,0,-5.99288273280737,0
