,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.148982444239025,0,0,0,0,0.0925601714836179,0.215980806162317,0.168997129010393,0.0222037655250577,0.110594599391616,0,0,0,0,0
XRP,0,0,0.222931046279301,0.0629838987612343,0,0,-0.0320753343153012,0.361663412252,0,0,0,0,0,0.0507055127381702,0,0,0,0,0,0.162273462922772
ETH,0,0.196038670779529,0,0.0736921976816472,0.0134665715193828,0.0264455888236678,0.00527526058746346,0.0545693040640297,0,0.0497883259138279,0,0.368274203002841,0.115957093968923,0.0684750136782608,0,0,0,0,0,0
BCH,0,0.778053029427203,0.994292510972914,0,0.098599376261554,0,0.180033958920057,0,0,0.533704950227218,0,-1.03221404858403,0.359813996920946,-0.384603788665894,0,0,0,0,0,-0.17031036610355
EOS,0,0.295427270180244,0.42620119793707,-0.0526221796846096,0,0.592558352781067,0,0.0346240728469313,-0.47534420721202,0,0,0,0.0243101114239461,0.235213415240053,-0.145607760610005,0,0,0,0,0.0513481823277222
XLM,0.608549614464166,0.155243778857897,0,0,0.0426897711269334,0,-0.00211584730063587,0,0,0.119153000880851,0.0765905054323732,0.111090946177033,0.0247129084394353,0,0.0417336502045672,0,0,0,0,0
BSV,0.0526177516238472,-0.663549031702478,0,1.1043131762447,0.392901621905846,-3.90703818806391,0,0,0.28432548405024,0.386133406730202,0.373317766436506,0,1.11857298966969,0.527217546004359,0,0,0,0,0,-0.000000000000000000867361737988404
LTC,0.105898194794929,0,0,0,0.12126175749208,0,0.0242604916037288,0,0,0.0948002044758208,0,0.263054152626295,0.221696030617235,0,0,0,0,0,0,0
TRX,0.0230221402688036,0,0,0,0,0,0.0176009271436007,0,0,0.523485583165001,0.050536254589873,0,0.249937403860852,0,0.0575290334534865,0,0,0,0,0
ADA,0,0,0,0.0857163599676962,0.350728524593253,0,-0.0117307854513772,0,0.398952635305846,0,0.11624012589178,0.0212845052820192,0.00763951413624382,0,0,0,0,0,0,-0.00346826280454301
MIOTA,0,0,0,0,0.122215900514667,0.346799148127775,0.0487509983705802,0,0,0,0,0,0.160385830814821,0,0.379465682106791,0,0.210769469948415,0,0,0
XMR,0.270402477740005,0,0.226211757925141,0,0,0.113254257329447,0,0.108070542560355,0.0600722046851016,0,-0.00000000000000000693889390390723,0,0,0.362064727953878,0,0,0,0,0,-0.0778678514512049
BNB,0,-0.242745953733415,0,0.00546737611509171,0.275371636758035,0.640292690841475,-0.0000000000000000000008470329472543,0,0.0997853957196151,0,-0.28773592465024,0.214444702138619,0,0.00673219982727879,0.358431059574942,0,-0.607916206757208,0,0,0.126045068297531
DASH,0,0,0,-0.080276591711246,0.0282082124962083,0.261117485790456,-0.0076072437280043,0.214510813677525,-0.220405649884096,0,0.196930254649572,0.482315629224417,0.193683054009753,0,0,0,0,0,0,0
XEM,0,0,0,0.151721368137509,-0.0277251787903643,0.367084559110893,0,0,0,0.195139759259206,0,0,0,0,0,0.216672229533102,0,0,0,0
BV010082.INDEX,0,-0.210680029884284,0,-0.0151289053116403,0.0362204868838999,-0.0482789046699992,0,0.0125841764478481,-0.0322088590026922,0,0,0,0.111813625725604,0,0.104935844949293,0,0,0,0.158001382389108,-0.0513275782864683
CVIX.INDEX,0,-0.308154941388608,0,-0.00302170488957018,-0.0461962976423653,0.0603052413679683,0.0366263390506505,0,0,0.15460981614099,0.13767030304244,-0.159018046533451,0,0.0265185702455104,0.129717860334307,-0.552646965755049,0,0,0,0.0438031499690741
DXY.INDEX,0.0323431688309014,0.0365722780584606,0,0,-0.013060205991932,-0.0295262690336448,0.00900216562564009,0,-0.0229394082858007,0,-0.000266414409773268,0.000000000000000000433680868994202,0.000000000000000000216840434497101,0.0096554487169276,-0.0165693424094542,0.0829005124039275,0,0,0,0.0104315306896138
SPX.INDEX,-0.048293383378836,0,-0.0298370730700541,-0.0130124738206397,-0.00878656935418066,0,0.0172311938980007,0,0,0,0,0,-0.00465130878837347,0,0.0542201981304595,0,0,0,0,-0.125013910150054
VIX.INDEX,-0.596596620931142,0.249108780701764,-0.270608104849518,0,0,0,0,0,0.385996882769833,0,0.212963207786622,-0.288200759860044,0,0,0.281724798894102,0,1.0120459237593,0,-4.08205928811275,0
