,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.134050928442529,-0.0464078491835925,0,0,0.104576890433143,0.0034806652935421,0.0359716088748453,0,0,0.0721371650093453,0.123066387448155,0.193866362008505,0.0873366337533681,0.144670094221438,0,0,0,0,0
XRP,0,0,0.129012368032739,0.0363724551194716,0.0907183355230678,0,0.0781221480685425,0,-0.0157689723881834,0,0,0.107214596982824,0,0.0356465059605396,0.316746991495183,0,0,0,0,0
ETH,0,0.101349863665487,0,0.0577817687831531,0.14324668935192,0,0,0.1778624266662,0,0,0.12212051750956,0.0296609872118574,0.0668742239740235,0.221431805923478,0,0,0,0,0,0.0210759130926602
BCH,0,0,0,0,0.26725715470705,0,0,-0.195595636911164,0.227079564769422,1.19171386406084,0.170936089952301,0.607731619215659,-0.33514096816659,-0.546993206854668,0,0,0,0,0,-0.0335054579583656
EOS,0,0.395374452156897,0.0890906277811182,0.0902952508604908,0,0,0.516354901074977,-0.412994602876716,-0.0331962615695227,0.447619553599843,0,0.156310434951714,-0.242903230422913,0.258921164702325,-0.456275395847618,0,-0.394448692221606,0,0,0.056027452761274
XLM,0.23816228147121,0,0,0,0.169204938257982,0,0,0.0521569449568336,-0.0269199176894725,0.235223943266687,0.0832590405035382,0.0851864268588327,0.163682958244555,0,0.114898098776602,0,0,0,0,0
LTC,0,0,0.269934749473648,0.0504286221537306,0.306565006646146,0.0996940057884404,0,8.67361737988404e-19,0.0382878770347405,0,-3.46944695195361e-18,0.112654270147629,0,-0.0293569599976627,-0.107599866468186,0,0,0,0,-0.0874318188059292
TRX,0,0,0.00210280349835979,0,0,0,0,0,5.42101086242752e-20,0.495502455552113,0,0.279674834743917,0,0,0.0737556232107533,0,0,0,0,0
BSV,0.708087524098813,-1.8702748656064,0,0.991757428657143,0.303863768349553,-2.97940698020344,0,0,0,0.717580242251954,0.426961090929053,1.15329164934344,-0.337867751293999,0.479624466294591,0,0,0,0,0,-0.0116015663028342
ADA,0,0,-3.46944695195361e-18,0.11600753195206,0.2644172372019,0,0,0.248873319879069,-0.0132371035151781,0,0.140802048141282,0,0.164352045059792,0,0,0,0,0,0,-0.00103202732103629
MIOTA,0,0,0,0.0249392881840957,0.240910656991606,0.186531277630766,0.0863371961176934,-0.0346631949782911,0.0125720325345873,0,0,0.237595021411062,0,0,0.378276009780473,0,0.78262782540533,0,0,0
BNB,0,0,0.203634176789197,0,0.362623320554854,0,0,0.298861630770732,-0.053746471291672,0.0859299516654374,-0.0473469845051797,0,0.046027509531094,0.0678554397372106,0,0,-0.533763692192572,0,0,0.040323008966542
XMR,0.278719684920652,0,0.0611509939018231,0,0.0727366134763817,0,0.209854726241617,0.242004806552562,0.016390677220621,0,-6.93889390390723e-18,1.38777878078145e-17,0,0.181980703421821,0,0,0,0,0,0
DASH,0,0,0.0528010916781536,-0.113222415593468,0.0476788740505993,0.250236351468006,0.197135682430614,-0.205524865304145,-0.00617745504640208,0,0.189033822024506,0.190474209571585,0.487828265807283,0,0,0,0,0,0,0
XEM,0,0.0717764988874642,0.0840121950435438,0.103376718222894,-0.158263724710602,0.163576881672764,0,0.0720126143202946,0.0197916421804275,0.244556278245299,0,0,0.260448919069515,-0.0825145703928198,0,0.272116687027063,0,0,0,0.00751951745520102
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0,0,0.203715094410029,-0.119784611701486,-0.31830067535363,0.349796469271832,0,-0.338103357665778,0.0484718544864182,0.222712450626876,0.0875766532197492,-0.188526152343122,-0.449622076294495,0.382625447491625,0.0478180496761284,-0.186879167388067,0,0,0,0.0157673462225603
DXY.Curncy,0,0,0,-2.16840434497101e-19,0,0,0,-0.042355808266208,0.00394137481975473,0.0134610208365026,0,0,0,0,0.0350881855664822,0.0584459165759554,-0.00626131425975064,0,0,0.00645446982231961
SPX.Index,0,0,0,0,0,-0.00527650376027097,0,0,0.0131130855476358,0,-0.0270654507121993,-0.0234437743104516,0,-0.012794020426397,0.0237779633810937,0.0516979791811199,-0.0138612889688321,0,0,-0.121271042975578
VIX.Index,0,-0.0976270303456362,-0.177668083633347,0,0.145123230775245,0,0,0,-0.0931841437523228,0.550608042654964,0,0.298826277850186,-0.437806946382821,0.0977047781732556,0.0425375990222308,0,0,0,-3.74817160777181,0
