,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0551990957748956,0.0208415123304006,0.0635658490012559,0,0.103885664426011,0.0240679711744575,0.0952998075099925,0,0,0.0496562643924894,0.0801671494570297,0,0.107631990076535,0.0297077986197896,0,0,0,0,0
ETH,0,0,0.198092190012697,0,0,0.431633799105519,0,0,0.0564487368946616,0.0365815121080797,0,-0.0600297468316434,0.213319227544461,0,0.16604035641252,0,0,0,0,0
XRP,0,0,0,0.0869436587739027,0.0857036160846827,0,0.000441674527150543,0.199565595635441,0.080345781881798,0.0161191155173318,0.0835615895529928,0,0,0.158585307153752,0,0,0.108922940094447,0,0,-0.0147171850429293
LTC,0,0.158696857585252,0,0,0.0849733088606141,0.468980301979426,0.122238547408745,0.00914639277612161,0.038585589462502,-0.144804837117524,0.383639080102811,0.142331824922015,0,-0.286400093853463,-0.174204057487356,0,0.567641795063096,0,0,0.0781648196244516
EOS,0,0,-0.163504942716774,0.185683760424939,0,0.4315112392181,0.0983619540693585,0,0,-0.0540316033851857,0.281883745709242,0,0,0.151954156294472,0.184311588966567,-0.130659196470838,0,0,0,0
BCH,0.300269811173493,0,0.199349972603378,0.0801667269517066,0.262038914923318,0,-0.0145198500917063,0.141097603261864,0,0.271563971302132,-0.030415919017784,0,0.236254945474713,-0.18208157288897,-0.0696920610207577,0,0,0,0,0
BNB,0,0,-0.30499471547704,0.248770675607494,0.0889250710779399,0,0,0.489818907779441,0.536438035039782,-0.00000000000000000173472347597681,0,0,-0.00146497205835135,0,0,0,-0.220490280098839,0,0,0
XLM,0,0,0.317595577174054,0,0,0.108441874625184,0.0820779953450789,0,0,0,0.35069913560924,0,0,0,0.0856059137078788,0,0,0,0,-0.052691583199151
TRX,0,0,0.194592243197893,-0.123058411427087,0.218486807884089,0,0.0985293176144089,0,0,-0.0876965197536643,0.51753164940818,0,0,0,0,0,0,0,0,0.133080229415858
BSV,0,0,0.302533227980063,0,0,0.461502338008438,0.0351484786262517,0,0.0078677157350932,0,0,0,0,0,0.165404741678573,0,0,0,0,0
ADA,0,0.0899190928771578,0.20542881544549,0.196827978961495,0.067863877947926,0,0.0498477009186234,0,0.0728691501745093,0.1591684591571,0,0,0.219716198442516,0,0,0,0,0,0,0
XMR,0,0,0,0,0.132307170529004,0.192532192137148,0,0,0.107869513827106,0.136849144812931,0,0,0,0.166731148082267,0.0788527787900488,0,0,0,0,0
MIOTA,0,0.279861513130669,0.155354184907563,-0.0283399101291314,0.0804133027184099,0.0437470916390667,-0.045723003956288,0,-0.0102929078461581,0,0.247899566714737,0.123411796246741,0,0.0799927810012228,0,0,-0.129702395667396,0,0,0
DASH,0,0.0349165263090835,0,0,-0.0522186164345541,0,0,0,-0.0476989691655963,0.0294589365117717,0.45175330812758,0.197339611037224,0.249758834749487,0,-0.0300546952451238,0.110162695878049,0.0380134245821183,0,0,0
MKR,0,0.825915352136363,-0.443384878804759,0,0,0,-0.199973585994212,0,-0.0992064588864162,0.26786590103181,0,0.660051210452567,-0.167255538706556,0,0,0.324223861759717,0,0,0,-0.117264968189113
BV010082.INDEX,-0.405817364244613,0,0.217677133316746,0.0308575546868971,-0.0216090268239349,-0.233733307843275,-0.0810746031236092,0,0.0951630316180702,0,0,0.141444976954225,-0.0491266639657736,0.0994873182604446,0.157212434603819,0,-0.250052069456094,0,0,0.0821933625001819
CVIX.INDEX,0,0,0,0.109885037457031,0,0,-0.0338961460705499,0.161888313495431,-0.538797768017545,-0.0849881368551232,0.184358112433207,-0.250905131719566,0,0.303049338054842,0,0,0,0,0,-0.0343449224165798
DXY.INDEX,0,0,0.0191697909294002,0,0,-0.0125271085978261,0,0.0197979997032588,-0.05562706201189,0.0104033906753067,0,0.0134297119831358,0,0.0247957881513412,0.000428718895941639,0.0704748403923142,0.0369908159536802,0,0,0.0270486874746639
SPX.INDEX,0,0,0,0,0,0,0.0112539584159766,0,0.0206644420049243,-0.00438833909316221,0,0.0090813607813191,-0.0262390613652,-0.00770912036289385,-0.0110533373459712,0.027653674770639,-0.0519054692812237,0,0,-0.0737214110698124
VIX.INDEX,0,0,0,-0.307669551356173,-0.185738159533192,0,0,0,0,-0.231491558486416,1.0381161995584,0.178918751666898,0,-0.717732894751307,-0.00314229694616023,-0.186097730903012,0,0,-4.16198399650371,0
