,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0522658776983758,0.00399991941935146,0.208392670209,0,-0.074221719568708,0.0487067753565189,-0.035100099111382,0.347429309830705,-0.0810257251587275,0,0,0,0,0,0,0,0.0338725678382167
ETH,0.106043677249633,0,0.174258377762581,-0.00242333888243475,0.13584682681375,0.0784414730605178,0.122387951531072,0.171788739670488,0.0613069519081933,0,0.139434340898587,-0.0946086596882441,0,0.0165530171257922,0.0619352742439164,0.182990118831042,0,0,0,-0.0738694525593506
XRP,0,0.215797911359955,0,-0.0370419397195006,0,0.108581226299051,0.0249921587873619,0.29306026310941,0.0506314508984513,0.0146350797515103,0.00698087517138976,0,0,0.0639246642015806,0.0267032616846576,0,0,0,0,0.0611815647967197
BCH,0.773506173518961,0,-0.145297735788255,0,0.327565191772805,0.112722264929112,0,0,0.314169367161074,0.00000000000000000346944695195361,0,0,0,-0.129813044866913,0,0,-0.0560098879287813,0,0,0
LTC,-0.00358356535142355,0,0.197784124542569,0.316495501649864,0,0.164065535956925,0.0637049614744902,-0.0867696248069403,0.143001862043703,0,0,0.022867288964117,0.246931271671629,-0.14844755019919,0.0717025963424827,0,0.0543840060629333,0,0,-0.0277564484246565
EOS,0.0248467067760152,0.466972781656276,0.0715806159577993,0.312259237980097,0,0,-0.0138469922855803,-0.00000000000000000173472347597681,-0.0238152728237491,0,0,0,0.0605829078303054,0,0.0882944956865802,0,0.137847144202991,0,0,0.0893384797862372
BNB,-0.13382256670947,0,-0.0421583019524418,0,0,0,0,0,0.142246636969888,0.0303254732130347,0.498363138664331,0.0000000000000000138777878078145,0.319175490310254,0.102483120716825,0.0416519613263695,0,0,0,0,-0.0614510600680387
XLM,0,0,0.392335480357272,0.053641089159268,0,0.191004402672073,-0.131484183261548,0,0,0.0808576104226794,0,0.371493790808833,0,0,0,0,0,0,0,-0.00139294449248333
ADA,0,0,0,0.152089000699123,0.39407951518043,0,0,0.344667360900054,0,0.0019293799622869,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.202774476418023,0,0,0,0,0.344743032240931,0.0454221978765188,0,0.166337876890018,0,0.157966482414425,0.0312887196312677,0.0657524158187057,0,0,0,0,0.0864510464284358
XMR,0.185220874950384,0.506634050845517,0,-0.0388899640725398,0,0,0.136279858176008,0,0,0,0,0.178319753400392,0,0.131866506115078,0.0273366272200048,0,-0.0908297848090379,0,0,-0.0322318725666717
DASH,0,0.364901321806384,0.06456858649282,0,0,0,0.145142982761311,0,0.0129440915300808,0.116869643077144,0.0294713154263346,0,-0.066568046555406,0.106989152078436,0,0,0.0825405296485671,0,0,0
BSV,0.748512427612924,0,-0.306000851357536,-0.744734936744759,1.15800389714216,0,0,0,0.111180851485666,0,-0.739389915591715,1.02761215492881,0,0.0498994274671913,-0.0417190580066299,0,0,0,0,0
MIOTA,0,-0.243133650635576,0,0,-0.104454978911172,0,0.21706199959818,0.0555377392395215,0.0563077104441835,0.190641926969933,0.313148517952382,0,0.102037956946853,0,0.0153062901008007,0,0,0,0,0
XTZ,0,0,0.465709352387567,-0.266567254906906,0,0.63103926982908,0,0.88247726946413,0,-0.0188348011892099,-0.64441017240979,0,0.0312470462116299,0,0,0,-0.3611944880558,0,0,-0.234062466636075
BV010082.INDEX,0,0,0.0584162582459113,0,0.229275450673681,0,0.0238049002689988,0,-0.291216520225469,0.154067424525027,0,-0.023763127970843,0,0.0708810520200773,-0.0826109491831487,0,-0.126195759477284,0,0,-0.0639236677201855
CVIX.INDEX,0.262538195159576,0,-0.045239794783094,-0.252469315813013,0,0,-0.292089085394589,0.321533207308227,0,-0.223794582420251,-0.502227972212542,1.02789143237824,0,0.00790104180736924,-0.336483348245737,0,0,0,0,0.148568224252616
DXY.INDEX,0,0.0498986920524201,0,-0.00972810785489815,0,0,0.00604527437966368,0.0195977977440909,0,0,-0.0207035723856651,0,0.00336513433130707,-0.0199716229121925,-0.0048442489823161,0,0,0,0,-0.0025592446756371
SPX.INDEX,-0.0000215700551156697,0,-0.00806078369624152,0,-0.0405147957276664,0,-0.0000000000000000000271050543121376,0,-0.00984257995212241,0.0188044745669033,-0.00616808182983816,0,0.0159578319985123,0,0.010023473043476,0.08312245377666,0.0161275356479203,0,0,-0.0697605436834142
VIX.INDEX,-0.220093456478418,0,0,0,0,-0.18833359892966,0,-0.52949365231857,-0.0283583815261918,0.943527397244314,-0.584025242751826,0,0.08012040182256,0,0.059711999248024,0,0,0,-6.62663009796516,0
