,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.150809818415723,0,0.172816605989217,0,0,0,0,0.0111668399307491,0.246783079810848,0.135961892550136,0,-0.069124982833712,0,0.0443720441878833,0,0,0.0301270522466477
ETH,0.272328383707123,0,0.157552059432126,0,0,0.0197034477520045,-0.0194514816133792,0.117724205172395,0.129687011187214,0.151426272835992,0.0627073746494705,0.0436972497798968,0.0408702099607561,0,0.0756468274994453,0,0,0,0,-0.0794377889733372
XRP,0.309199661821279,0,0,0.000000000000000000433680868994202,0.0944456010008441,0,0.00715009157784188,0,-0.00000000000000000173472347597681,0.295660386104777,0.0303949958683093,0.0907771227311154,0.0408831679303109,0.0439874420296376,0.0640064276534188,0,0,0,0,0.0104511382520892
BCH,0.823485015614738,-0.0916061695661209,-0.121545191373353,0,0.327112080131414,0.137836924537816,0,0,0.321997379297581,0,0,-0.0457207518333994,0.0885208878181944,-0.130910070967916,0,0.0755721405563885,-0.103582603957727,0,0,-0.00920676074732131
LTC,0,0,-0.0241436954677185,0.100639116464577,0,0.228856284698047,0.0919340452184237,0,0.136858043786357,0.0617251787657023,0.0218748087407234,0.217316124699529,0,0,0.135106026753668,0,0,0,0,0
EOS,0,0.465689264423579,0,0.292414618974266,0.0444801801624898,0,-0.0241045931514789,0.0565077519813437,-0.0357035637187205,0,0.0435825949626538,0,0,0,0.093873506252304,0,0.142060328188821,0,0,0.10011846288875
BNB,-0.39944953879741,-0.24930786928736,0,-0.0424622941127053,0,0,0,0,0.114766076447215,0.0652386358888209,0.248071314684183,0.286370838051864,0.331136216974301,0,0.0909926968868305,0,0.0260897205797173,0,0,-0.0554382993403766
XLM,-0.0020620721093345,0,0.267579441846362,0.135423034606149,0,0,-0.122828909819498,0,0.0714278120903685,0.1313808921536,0,0.0724847236435729,0.146263297300773,0,0.117394197175379,0,0,0,0,-0.0165815528927301
ADA,0,0.0688463756731397,0.178633628406594,0.219018940150852,0.292091045206892,0,0,0.13570346517566,0,0.0632703018912542,0,0,0,0.0255989423919313,0,0,0,0,0,-0.0139275298112112
TRX,0,0.0798772555393044,0.312432209236117,0,0.0598171666691802,0.0556890460158458,0,0,0.0532279682411926,0,0.0653316814009342,0.0863901812613332,0.0633593903754578,0.0930853176405181,0.109599923598196,0,0,0,0,0.0519671936949633
BSV,0,0,0,-0.746500904419244,1.39209155309656,0,0,0,0.0531875188276426,0,0,0,0.267453725973674,0,-0.0423590795895251,0,0,0,0,-0.120110336941831
XMR,0.358973440736089,0.122855136851159,0.00000000000000000346944695195361,-0.0774929390715056,0,0,0.0365404237084012,0,0,0.217393773493427,0.0619548405218562,0,0.378509946604529,0.0660906003189707,0.0477206040895572,0,-0.266038280773366,0,0,-0.00526919243945888
DASH,0.0479170367369195,0.37553137637076,0,0.0669066289716788,0,0,0.0614313912321889,0,0,0.244719763612949,-0.0447296429196266,0,0,0.175618561962726,-0.0468753747913129,0,0.0455098591026512,0,0,0.0316983366099652
MIOTA,0.194713888773112,-0.145315530123757,0,-0.117888427897459,-0.0189310702051173,0,0.211828134580472,0,0.209187417384629,0,0.0672304313292531,0.508647512412988,0,0,0,0,-0.0485584097104763,0,0,-0.0408956468379854
XTZ,0,0,0.365432856277698,-0.207025010187612,-0.174977551979252,0.827249712404926,-0.00600266606161909,0.630171939252341,0.0000000000000000138777878078145,0,0.121639079187281,-0.547175733347642,0,0,0,0,-0.290735945172886,0,0,-0.0792797460076722
BV010082.INDEX,0,0.0334647095849397,0.0550843568586114,0.103837933477548,0,0,0.0882870406873456,0,-0.205741282032405,0,0.0379102705936733,0,0,0.0948152038094559,-0.0722563789588548,0,-0.085462305502817,0,0,-0.0333694234999056
CVIX.INDEX,0,0,0,-0.124564921358283,0,-0.00000000000000000693889390390723,-0.052104587386569,0.393139489384548,-0.0870645191090228,0,0,-0.275799856054766,0.42972274995923,0,-0.317435036548002,0,0,0,0,0.0989714954654758
DXY.INDEX,0.020158590581328,0.0305857646437437,0,0.0027382451163838,0,-0.0176709817903466,-0.010403805369738,0,0.00725078841270659,0,0.00641467349471909,-0.0339765255846567,-0.00075145362817789,0,0.00556386385198789,0,0.0111473479894261,0,0,-0.0000923218705458466
SPX.INDEX,0,0,0,0,-0.0183009004529214,0,-0.00532355056392737,-0.0267234668815218,-0.0121570051594615,0.0292428268713619,-0.00594309281843529,0,0,0,0.0100766419201747,0.0626788280138277,0.0243173208301438,0,0,-0.0748629928566668
VIX.INDEX,0,-0.27460553460642,0,0,-0.230006980722675,-0.0580249938172881,0,-0.125107183601186,0,0.860257453916077,0,-0.527667844197166,0,0,0.049177485475081,-0.355416668236307,0.368611525241031,0,-6.50723364935858,0
