,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0406667740487403,0.0531419081394209,0.165038574632318,0.054184552724715,0.0234405175666329,0,0,0,-0.0608669099974565,0.437686401299299,0.0426258296621729,0,-0.0643373243814332,0,0,0,0,0.097740814508597
ETH,0.283214112624104,0,0.216940489261794,0.0220272639987092,0.0598034511388182,-0.0116734837757596,0,0.0254206940454189,0,0.134555101383074,0,0.0960099310336598,0.0921159502273892,0,0,0,-0.125972121603003,0,0,0
XRP,0,0,0,0.12670440436863,0,0.148406418131859,0,0.0190740971199732,0,0,0.218134580895832,0.292371205782445,0,0.139439428098151,0.00486283589236884,0,0,0,0,0.0198186601660764
LTC,0,0.0934589493809387,0,0,0.0378996732540613,0.187894844315778,0.0843794786505629,0.00702666477699245,0.030322799430496,0,0.217552346472965,0.400870101696438,0,0,-0.0134709266563455,0,0,0,0,-0.0405704922857954
BCH,0.66065324726117,0,0,0.202017404852138,0,0.159925901042708,0,0.0840065385341019,0,0.148987614083368,0,0,0,-0.129282348828307,0.021187695997475,0,-0.090911682760735,0,0,0
EOS,0.175924093773841,0.569802276079379,0,0.130204653351812,0.137426794924568,0,0,-0.14134543154953,0,0.0627923487841717,0,0,0,0.131828561802779,0.0365448884103312,0.644399105665143,0,0,0,0.0748605820469574
BNB,-0.546737009652991,0,0,0,0.370380115698924,-0.0207259395596821,0,0,0,0.0167419642746119,0,0,0.254775589217508,0.200128289442439,0.0817503891720564,0,-0.215619761862479,0,0,0
BSV,0.475597784000841,0,-0.286014093712261,0.132751078274934,-0.63595518681923,0.31817580358682,0,0,0,0,0,0,0.792642557299015,0.329797447953237,0.124099476865825,-0.425883305317841,-0.682811177404347,0,0,0
XLM,-0.04470914176135,0.152829577956165,0.490490635690684,0,0.147412631528154,0.0469300812503135,-0.0891816949686068,0.0113581078529041,0,0,0,0,0.106627294671177,0,0.066822707160879,0,0,0,0,0.00000000000000000346944695195361
ADA,0,0.113607649200657,0.182125562610776,0.234559791086786,0.202075967947447,0,0,0,0.099536082094252,0,0.0956363494102217,0,0,0.0333259908003506,0.0181159903241563,0,0,0,0,-0.0144561172402948
TRX,0,0,0.0974126799230897,0.0278629528152214,0,0.299429268168319,0.0573836376741404,-0.0197899746745473,0,0.21280079248316,0,0,0.212717210618617,0.118715326238149,0.0792376949822816,0,0,0,0,0.143118102563989
XMR,0.419123476385758,0,0.121671945920019,0.135366149666622,0,0,0.110137030746678,0.0162254569781422,0,0.161222733136285,0,0,0.101696327238784,0,0.0229027320716393,0,-0.0302921274147284,0,0,0
DASH,0.165353452138957,0.0580575762922887,0,0,0,0.0967492270981825,0.0360314346372006,0,0.211764411545598,0,0,-0.00000000000000000173472347597681,0,0.194373692608126,0.0494709099720135,0.101094469768223,0.115235335001804,0,0,0
MIOTA,0.0119926364926262,-0.0653992869999759,0,-0.00000000000000000693889390390723,-0.0510746625757195,0.149583310195777,0.200125862642353,0.0392365672976339,0.111575654203103,0,0,0.525583307079886,0,0,-0.0250879154583002,0,0,0,0,-0.0674814323698291
ATOM,-1.17645883119839,0,0,0.0479959084534775,0.701082636832787,0,0,0.274278779179719,1.13242894396349,-1.27075426595418,0.218838859225307,1.4970776757421,0,-0.56935464898678,0,0,2.24369705840789,0,0,0
BV010082.INDEX,0,0,0,-0.120534676336515,0,0.0888965183431356,0.0518841976484642,-0.000390522453085061,0,0,-0.188943187678436,0,0.106376727217013,0.221875652916012,0.108763108371664,0,0,0,0,-0.0884932365150602
CVIX.INDEX,0,0,0.144320625534998,0.566528060846378,-0.62626735551083,-0.160861092561479,-0.202272466162304,0.092007721357768,0.081315301111417,-0.462526655657373,0.157723108236804,0,0.675494326601333,-0.137861482436148,-0.0347414244175514,-0.357109732653012,0,0,0,0.11154207495671
DXY.INDEX,0.020112423459031,0.0423017156930264,0,-0.0221434952180481,0.00616584382600573,0,0,0.000976977053315925,0,0,-0.00269081317992039,-0.0120887279776009,-0.0183427793247775,0,0.0055936248255742,0.0424439992059725,0,0,0,0.00957859323867123
SPX.INDEX,-0.00343523930640837,0,-0.022560428380703,0,0,0.0299529411758151,0,-0.00595254874586348,-0.0164628084047925,-0.00763729167323614,-0.0000202126527048627,-0.0151105029936211,0,0.0126612365183357,-0.00901426386346342,0.0337284707490476,0,0,0,-0.057926336367133
VIX.INDEX,0,0,0.321374157413309,0,-0.147588336925695,0,0.0758182334586921,0.0554052715836257,-0.491711235489158,0,0.321777996542783,-0.822421104217617,0.362827804643246,0.271156611875749,0.0542765678617886,0,0.360559566557637,0,-6.02797158014814,0
