,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,XTZ,ADA,LEO,ATOM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.36949369474382,0,0.158469846631289,0,0,0.0731034850667864,0,-0.0389623980365777,0,0,0.190455897978655,0.0108839263018886,0.209029046981456,-0.123797593637545,0,0,0,0
ETH,0,0,0,0.175117740332978,0.374543302205922,0.0672512280798885,0,0,0.0266525844294529,0.0807923202967281,0,0.115900803292854,0,0.0237063197521774,0.0662786480605282,0,0,0,0,0
XRP,0,0,0,0.290415230246435,0.165250414633827,0,0,0.285527511772361,0,0,0.0904414876643048,0.202293254342444,0,-0.124326716968231,0.0559756852872057,0,0,0,0,0.189107069151617
BCH,0,0,0.0786661633388137,0,0,0,0.283499124642357,0.188186994211689,-0.0627548417059961,0.230942573315335,-0.0495134097809232,0,0,0.133098775823941,0.121108110088114,0,0,0,0,0
LTC,0.122793765822442,0.389886229880121,0.052984819442029,0.00000000000000000693889390390723,0,0.476603512873337,-0.213064796306888,0.0743496725607961,-0.0584392583204162,0.0534234211211391,0.0222447422462889,0.0825606855288441,0,0.0409499267835798,0.0190170254601869,0,0,0,0,0.0140993488166938
EOS,0,0.120077134457787,0,0,0.641004558600567,0,0.000000000000000000433680868994202,0.147880385322481,0.0558606539487794,0.0187836604155931,0.00995416729305243,0,0,0.0157764798006026,0.0200268797272642,0,0,0,0,0
BNB,0,0,0.171205644965131,0.28249171286507,0,0.273648198311824,0,0,0,0.145373774478117,0.00744033909795135,0,0,0.0021726409934396,0,0,0,0,0,-0.029316302007675
BSV,0,0,0,0.49339705288528,0,0.0334002173732355,0,0,0,0,0.0472379638317757,0.487007281758412,-0.129192330649352,0,-0.139174057330251,0.0596125835329852,0.448192578886191,0,0,-0.06257482900264
XLM,-0.524663820506957,0.311717721668832,0.0335085050086069,0,-0.231093577333808,0,0.408729746466019,0.0618573319788969,0,0.0863440887018138,-0.154077824374026,0,0.151040516350491,0.32240709532493,0,-0.156027162771738,0.486065172487606,0,0,-0.0694123571804381
TRX,0.464970869998656,0.439699625666454,0,0,0,0,0,0,0.11766560563933,0,-0.242951041437791,0.305633678670004,0,0,0.0831526012200025,0.0943360934453195,-0.152428665051474,0,0,-0.205811426223224
XTZ,0,0,0.136944332589081,0,-0.628628496364841,0,1.11017490784554,0,0,-0.64343658249932,0,0.584136309796612,0.115971866376755,0,0,0,0,0,0,-0.177616314765978
ADA,0,0.495585127617803,0.158846002492287,-0.236869783466119,0,0,0,0.0438859363221193,0.108417313056169,0.141306091779752,0,0,0,0.141112110786701,0,0,0,0,0,0.0307169977111966
LEO,0.61252789236003,0,0,-0.0982983815909668,0.361795843547918,-0.528723968873431,0,0,0.231641696544322,0,0,0.156200207298681,0,-0.129800200057037,-0.197385721460951,0,0,0,0,0
ATOM,0,-0.281382358822509,0,0.165008847239078,0,0.66402154786211,0,0.00000000000000000346944695195361,0.0672591263904798,0,0.254567186703671,0.162740932380825,0,0,0,0,0,0,0,0.0855157240761109
XMR,0,0.219465896431016,0.0712907781811647,0.0271268794511955,0.171990330652126,0,0.374638384183403,0,-0.0822504446909549,0,0.0900030985351754,-0.0760419610809492,0,0,0,0,0.0824171883193082,0,0,0
BV010082.INDEX,0,0.203093268898505,0.0937626001497049,0.36502375010135,0,0,-0.223498177565806,-0.15083659263629,-0.236918330962302,0.163572008954108,0.0915709762809534,0,-0.0282101005016183,-0.222464103766191,-0.16184675652982,0,0.17645417302033,0.848056816014938,0,-0.200633152190664
CVIX.INDEX,1.02412977453089,0,-0.123341683879084,0,0,-0.14159113455419,0,0.0789987249252769,0.184734346674394,-0.36238704180826,0.104415419101889,-0.308458808511344,0,-0.140193089330737,0.0702446181147451,0.22327439103246,0,0,0,0.134091449636852
DXY.INDEX,0,0.0215967053641364,0,0,-0.0314153808570385,0,-0.0184366799582339,0,0.0432389471382159,0,0,0,-0.0411290502537183,-0.0113869012510265,0,0.062280045644508,-0.0275552360455739,0,0,-0.00582867402674692
SPX.INDEX,0.0361736341130819,0,-0.0286456848269582,0.0056030046777757,0,0.0497123166255977,-0.0118217990503086,-0.0186821418741073,0.00867025200303444,0,0.00689071916048515,0,-0.009166798529983,-0.0300746058823182,0,0.0547034791280203,-0.00651445078805304,0,0,-0.0515009570842761
VIX.INDEX,0,0.0963970433204627,-0.545728636468466,0,0,0,0.181286645353456,-0.106924875070564,0.294819009384059,-0.0917566488938953,0,0.257507329821175,0,-0.481803128106169,0.205080272231752,0,0.471472520778776,0,-8.37263295639873,0
