,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00356441496888867,0.212867945273287,0,0,-0.00000000000000000346944695195361,0.121239021355937,0,0.00259792192705606,0,0,0,0.346357707163568,0,-0.00211101973607239,0,0,0,0
ETH,0,0,0,0.175117740332978,0.374543302205923,0.0672512280798878,0,0,0.0266525844294533,0,0.0807923202967285,0.115900803292854,0,0.0662786480605264,0.023706319752178,0,0,0,0,0
XRP,0,0,0,0.406250076634227,0.192161232448008,0,0,0.0230665866772088,0,0.0913054833288769,0,0.377888899565101,-0.14737650636823,0,-0.118127586629243,0,0.189299884566184,0,0,0.20281538291127
BCH,0,0.130474470009235,0.268562253952424,0,0,0,0,0,-0.0627961700838063,-0.0288665388366696,0.261858073149206,0,0,0.18442276400069,0.178264441687734,0,0,0,0,0
LTC,0,0.274916484873349,0.0859270505168759,0,0,0.537856763593753,-0.0641843478577628,0,0,0.0105811129417778,0.0756875611783384,0,-0.0287272691880423,0,0.0446230731107824,0,0,0,0,0
EOS,0,0.16247522744646,0,0,0.570458578391795,0,0,0.150342363152036,0.0506891297189975,0,0,0.124067997121541,0,0.00623615332839327,0.0104478917080574,0,0,0,0,0
BNB,0,0,0.171210571735714,0.282486680885007,0,0.2736438886236,0,0,0,0.00744008759201895,0.145384637373008,0,0,0,0.00217133890248518,0,0,0,0,-0.0293155201583843
BSV,0,0,0.0229062863472365,0.286605903019503,0,0,0.0243704973533128,0,0.365200109580838,0,0,0.25874450639795,0,0,0,0,0.416533062716544,0,0,-0.0966944750829944
XLM,-0.484136169882821,0.491858180066116,0.0421968530949106,0,-0.314646453313342,0,0.318023609783355,0.111288135431825,0,-0.151581758938055,0.0359087244384654,0,0.201597699885063,-0.0380783425449212,0.315127082063818,-0.193521024104725,0.47557427530335,0,0,-0.0422584152511867
XTZ,0,0,0.485490825060027,0,0,0,1.19616548755183,0,0,0,-0.74801930971167,0,0,0,0.0170242186976311,0,0,0,0,-0.190149071114308
TRX,0,0,0.0591015582015274,0.455558908539082,0,0,0,0,0.0601462718587457,-0.031127855642946,0,0.43800059555982,0.302045490577043,0.0822353884277491,0.00041394638964784,0.0181385651020638,-0.316135678858655,0,0,-0.0993442338868317
ADA,0,0.494039263984084,0.117900103990785,-0.300600352174234,0,0.00712932925644294,0,0,0.14214139390851,-0.0163688540584333,0.154777286640787,0,0,0.0414667183596644,0.14594287624736,0,0,0,0,0.0223991819686937
LEO,0.41611614631118,0.0275075029489913,0,0,0,-0.283543404526267,0,-0.0409157708638257,0.0976366644153573,0.0631324842556177,0.342541636460652,0.0776788807827146,0,-0.296759909062545,-0.0991050968031919,0,0,0,0,0.0465683239896901
XMR,0,0.259497419570683,0,0.167863574937884,0.193643038762827,0.00000000000000000173472347597681,0.22703793659765,0.00000000000000000173472347597681,-0.0467855352865364,0.0666068599473833,0,-0.0367414108490516,0,0,0,0,0.0376771713829507,0,0,-0.0436222823520117
ATOM,0,-0.327624836452282,0,0.0432821904108524,0,0.918955476586991,0,0.0692365237171643,0.0446088946032078,0.253663228829398,0,0,0,-0.0222913208273683,0,0,0,0,0,0.0879374572417961
BV010082.INDEX,0,0.159001188236957,0.0312365010638891,0.475102135015665,0,-0.189606835927021,-0.152328628657746,-0.208057002234039,-0.193274046282673,0.0725114185548067,0.239501358468771,0.109917259450992,0,-0.204756494482335,-0.19637905866562,0,0.228289928908039,0.718415175615775,0,-0.210559986983874
CVIX.INDEX,0.387846312204334,-0.100047444914121,0,0.280381073220636,0,0,0,0,0.0783140304851011,0.137939070783191,-0.544358493166861,0,0.230563219910944,0.190202918860403,-0.182668938663221,0.0706386461900278,0,0,0,0.121103959074412
DXY.INDEX,0,0.0444811711753626,0,0,-0.0669760511960284,0,-0.0057777754231615,0.0144282212160338,0.0339860909569231,-0.0000000000000000000033881317890172,0,-0.0072946719300792,-0.0428280674688482,-0.0019731524501748,-0.0111742239937115,0.0620293035517581,-0.0239987115838895,0,0,-0.00419868079677885
SPX.INDEX,0.0285082085382638,0,-0.0162051817745478,0,0,0.0419159987606091,-0.0130709082306653,-0.00922712005352064,0.00473330113046498,0,0,0,0,0,-0.0206849416952919,0.0678841483964513,-0.00645179306973875,0,0,-0.044270656744414
VIX.INDEX,0,-0.137528152808286,-0.629686620516408,0.153467809768171,0,0.853320422281388,0.220173369660191,-0.264983679580864,0.433182269663899,0.123519633002938,0,0,-0.405543149350999,-0.163977478061182,-0.727696076895724,0,0.161744725014471,0,-11.3140271785435,0
