,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.199084893736299,0.188990117742025,0,0,0.127891380872149,0.00304730141804338,0,0.0850460891072055,0,0.20485176645748,0,0,0,0,0,0,0
ETH,0,0,0,0.254097665224721,0.0412934206752023,0.22874606211959,0,6.93889390390723e-18,0.00668779524047099,0,0.216206904615992,0,0.119382124485312,0,0.142366180284456,0,0,0,0,-0.000453151314097688
XRP,0,0.179285911512402,0,0,0,0,0,0.129792406851906,-0.00410048134730611,0,0,0,0,0.0471999262985132,0.425900129932332,0,-0.00655291986072796,0,0,0.00383635896400061
BCH,0.286770460082325,0.163962327983568,0.245445570603539,0,0.226205749294958,0.0439897033530366,0.0509183032302336,0.0720970854338617,0,0.0314474608395899,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.740670350461872,0,0,0.111787891242616,0,0,0,0,0.385142323738302,0.232742163658397,0,0,0.00815876269738302,0.027982190573764,0,0,0
LTC,0,0,0.115569086572355,0,0.189187361089735,0,0.384961195010972,0,-0.00147115245994629,0,-0.0738331207236848,0,0,0,0.275833905259193,0,0.0757501141297581,0,0,-0.0375431047487703
EOS,0,0,0.171600624739483,0.35194172044082,0.158785764282589,0.148221696550097,0,0,0.00643747558675593,0,0,0,0,0,0.112003209421348,0,0,0,0,0
BNB,0.194224452869424,0.182200300863966,0,0.257513231301317,0.0190530254625198,0,0,0,0,0.00926907191298229,0.0885535831644052,0,0.233573773625596,0,0,0,0,0,0,0
INNBCL,0,9.24750487499874,12.7081941859077,-3.88473194246637,0,21.074131723322,-12.0857336411294,0,0,0,-4.84147043781267,0,-20.0462061626022,0,0,3.11350057701645,0.625482796550844,36.6643464408966,17.8923210805576,2.57445121455327
TAGZ5,0,0.342897599554013,0,0.452678107203516,-0.165899564293995,0,0,0.276256462797768,-0.000729622576162912,0,0,0,-0.155869978225412,0.105444458531056,6.93889390390723e-18,0,0,0,0,0.146962621382355
XTZ,0,0.321331689061016,0,1.38777878078145e-17,0.0420007178453326,0,0,0.555416003228981,-0.0037861075711647,0,0,0.166056204923214,0.00469660750042146,0.152514195545538,0,-0.0475972173137141,0,0,0,0
LEO,0,0,0,-0.00425639957180261,0.11306488524264,-0.459370082207944,0.0619594788213229,0.110208786306077,0.00373409466289823,-0.0263046837644353,0.172320792916816,0,0,0,0,-0.00928443587449085,-0.00199861704785767,0,0,-0.048453855504806
XMR,0.0351550402156887,0,0,0,-0.070034900759,0.0497963501748258,0.424435969607858,0,-0.00807957201727314,0,0.155104093924075,0,0,0.341265896278174,0.0428432791874117,0,-0.0448082172335775,0,0,0.000424151649422956
XLM,0,0,0.553960390944194,0.175875180916028,0.0026898830988009,-0.100147872085601,0.0425799757096707,0.154434988652897,-0.00387412504072517,0.038134787215077,0,0,0,0,0,0,0.0334360652922534,0,-0.0511358917697007,-0.0315115343644206
ADA,0,1.73472347597681e-18,0,0.152609026932752,-8.67361737988404e-19,0.378551166634358,0.133334045571749,0.132212183445633,-0.000785926517678456,0,0.110193535709762,0,0.0776048172747899,0,0,0,0,0,0,0.0105786769384311
BV010082.Index,0,1.07996540293731,0.541785747387771,0,0.548753847398194,0,-1.76246530411122,0,-0.0275532455315518,0.38838375038,-0.720576064199157,0,0,0,0,0,0.0362298098237098,0,0.111930101347002,-0.109521379444122
CVIX.Index,0,0,-0.103112485246614,0,0.329195001772387,0,0,-0.00762156653681145,0,-0.369725246759292,0.293622160727293,0,-0.644384466025011,0,0,0.301059403643188,0,0,-0.336596734259139,0.333860581030386
DXY.Curncy,0,0,-0.0611357349924162,0,0.0236520215624708,0,0,0,0.000657488057863447,0.0244491446600594,0.0592943456582408,0,0,0,-0.0182095874736116,0.00432391763828098,-0.0142633306337593,0,-0.0513961201696454,-0.0208963688910564
SPX.Index,0,0,0,-0.0331763410179515,-0.189086645731563,0,0.181850852319595,0.177889772940674,0.00637239643287099,-0.0691036250742013,0.261246359447794,0,-0.256560023353051,-0.198366128619843,0,0.194984875857639,0.0757159164395528,0,0,-0.261057234653934
VIX.Index,0,0.108067809360292,0,0,-0.177975478660086,0,-0.629306758880734,0,0.0214455818962017,0.193201400532719,0.394899350657213,0,0,0,0,0.408611717004452,0.167405658256863,0,-2.11671883666845,0
