,BTC,ETH,ADA,XRP,DOT,BNB,LTC,LINK,XLM,BCH,DOGE,UNI,AAVE,WBTC,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,-0.00757843128104698,0.00098695252365873,0,0,0.92496113794258,0,0,0,0,0,-0.00184210035417193
ETH,0,0,0.0375086100060341,0,0.0509679884469549,0,0.327773597665578,0.0633464933953559,0.0625697234382028,0.145821016666757,0,0.0361011281483766,0.130395821468021,0.0652783155489924,-2.16840434497101e-19,0,0,0,0,-1.73472347597681e-18
ADA,0,0.119318124023467,0,-0.094745992136913,-6.93889390390723e-18,0,0,0.113388027068738,0.334940302605927,0,0.0380862700801335,0.0559879951560424,0.100129338066633,0.137046110151816,0,0,0,0,0,0
XRP,0,-0.22846058699286,-0.768630246320514,0,0.133064838580505,0,0.641395712377792,6.93889390390723e-18,0.866306250856826,0.641084746552568,3.46944695195361e-18,-0.199355522120797,0.854009402764671,0,-0.436301650834565,0,2.56014008542775,0,0,0.315449576081448
DOT,0.262207392392721,0.269601903625633,0.269223264172165,0.0810205824680351,0,0,0.0493731070113056,-0.107682622898294,-0.134896555906906,0,0.0115660955286266,0.178607630466997,-0.235758820055125,0,0.184529854640063,0,0,0,0,0
BNB,0,-0.17125540931053,0.139893541854283,1.73472347597681e-18,0.0651664749509566,0,0.21564083963325,0.0884925797001727,0,0.145389453261194,-0.0229472546986429,0.112076095694169,0.146269781337935,0,-0.193134018991511,0,0,0,0,0.0434125552742296
LTC,0,0.350598898060015,0.0281588318731124,0.0395964328458485,0.0559494145387618,0.133070163931157,0,0,0,0.160784993089424,0,0.0533991820303087,0,0.430853866775639,0,0,0,0,0,0
LINK,0,0.141518217909604,0,0.077596204771776,0.0689514529050638,0,0,0,0.201494356958607,0,0.0332082476004487,0.152394695666589,0.0130575016760011,0,0,0,0,0,0,0
XLM,0,0.124987153609826,0.393649142385638,0.145657079774542,0.023181931895963,-0.149104265094019,-1.73472347597681e-18,0.0469165498180581,0,0.112289518295644,0.0249101128244429,0.110968301770484,0,0,0.0264366129561873,0,0,0,0,0.0851142877070935
BCH,0,0.522194190922743,0,-8.67361737988404e-19,0.0420365742531977,0.100247747174124,0.355765246770433,0.132587404591704,0.0281691767054941,0,0.0105176392887265,0.0554896477288651,-0.0979248367142325,0,0.0274220201424176,0,0,0,0,0
DOGE,0,-1.50150011028561,-0.158250989688799,-0.211095179494816,0.665554582698873,-0.508406580119616,1.08019833016688,0.78021394994114,0.307908949679746,0.343579394637432,0,-1.70817032772079,0.720417711864189,0.0724658993042567,0.335326617839288,0,0,0,0,0.635508728716526
UNI,0,0,0,-0.0593435349833121,0.165630218896896,0.0796285382223336,0,0.289929042236376,0,4.33680868994202e-19,-0.0228194140884372,0,0.19919926575381,0,0.197838146589929,0,0,0,0,0.153477797906998
AAVE,0,0.170022983581314,0.2313698660755,0.113462872344665,-0.0823217962899528,-0.0410510412797825,0,0.413963326108427,-0.288098176876026,0.0482178249642689,-0.0135518934217111,0.136194557608324,0,0,0.153591859778193,0,0,0,0,0
WBTC,0.972184896513888,0,0,0,0.0109079921494839,0,0.0277602193138735,0,0,0,0.0020511968461357,0.00502055136179587,0,0,0,0,0,0,0,0
ATOM,0,6.93889390390723e-18,0.0356386870756864,0,0.259440508631509,0.126998853091437,0,0,0.234243373051987,0.0941996463183923,-0.0476167981095005,0.012641918544665,0.216396034653725,0,0,0,0,0,0,0.02712557467599
BV010082.Index,0,-0.0140164643102946,0,0,0.00343242919630257,0.0029950999046318,0.00210360644162015,0.00370026376000545,0.00135575669014594,0.0110632978621721,-0.00220950301033879,0,-0.00363914841973472,0.0148107171599535,-0.00345991764806961,0,0.0553357068591503,0,0,0.0034890296814925
CVIX.Index,-0.0456413411409179,0.0889811160859742,0.145820518201536,0,0,0,-0.191060736383479,0.133468628702586,-0.0710024761566248,0.0150458376948907,0.0302474777921031,-0.0206972866516969,-0.00944117997408511,0,0,0,0,0,0,0.0760745431595724
DXY.Curncy,0,0.0136758716587309,-0.00414283348807811,0.0034353842858447,0.00220291857410036,0,-0.0372482472879219,0.00400794698739325,0,0.0121992091292527,0.00287632799800084,-0.00241576533423548,0,0,0,0,0,0,0,0.00847527949949349
SPX.Index,0,0,0,0.00372047209849892,0,0,0,0,0,0.016068358521096,-0.0174083288114933,-0.0329030412957847,-0.00168415457097695,0,0.0100468441240376,0,0,0,0,-0.0719750493785649
VIX.Index,0,-0.385726853641868,0,0.021250054836391,0,-0.0128874127022032,-0.181779894867775,0,-0.132308834814552,0.106424158874471,-0.0611014958047052,0.115182549026563,0,0,0.222158331331085,0,0,0,-3.26222419194329,0
