,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0665067282942209,0,0.606840990876616,-0.0145554641192208,0.090120609398205,-0.0146130734187982,-0.0594873831174212,0,0.0489674958208749,0.0950599970906081,0,0,0,0.10760304764452
ETH,-6.56889915613747,0,2.66727173624486,0,-0.452015969440945,1.98609208346316,0.457459060782679,-0.991008256878157,0.0435579938587818,0.0848193586266702,0.692159923386806,-1.48776618441231,9.64912634337544,0,1.00065329464992
XRP,0.445955342993081,-2.16840434497101e-19,0,0,-0.00320275260536777,0.0783323881045919,0.0475849307551965,0.0712443564500068,0,-0.0172813750316322,0.0574360186727482,0.541635504099845,-2.7897403476295,0,-0.342351631302708
LTC,0.523169046772779,0,0.0218037450668512,0,0,0,-0.0193782787968296,0.0252825571716415,0.0107390029303703,0.0135078774685883,0.00419166111476841,0,0,0,0.0422266909999826
DASH,-0.189346137493723,-0.212817410230618,1.4820231887325,-2.14556895318508,0,0.488930817845946,0.693110441853979,-2.77555756156289e-17,-0.0134516109218322,-0.0135233343586111,1.34399734095617,0,0,0,0.225562219264446
DOGE,0,0.0406285917787334,0.396235339818008,0,0.0481035018858433,0,-0.0820334106964284,0.336054536969699,-0.0325087626782349,0,-0.269732531858185,0.995785294315665,0,0,-0.216146026641497
XMR,0,0.253942694047835,0,0,0.677957907708916,-1.83992684437913,0,0,0.227305152388706,0.0797402409703641,-0.52881793061828,0,0,0,0
XLM,-2.87275367750735,-0.184786933388055,0.414094849620074,3.47403133858271,0,0.406727497484927,-0.344737600972543,0,0.262535788443886,0.116048338195274,0,-0.243189887071649,0,0,0.282353014035908
XEM,0,0,0,0,0,-1.76892387101863,0.0354840568557306,0.668375670799795,0,0.121100674631763,0,0,0,0,-0.544077668717067
DGB,2.550886655308,0.0780387109430754,1.48492175467175,-0.739164679842639,-0.131081655130587,0,0.301047645874579,0.303549737801442,-0.0377463578388983,0,0,6.93889390390723e-18,8.17360943974851,0,-0.387347580052201
BV010082.Index,0,0.086780359211697,0,-0.0292877912136253,0.189918535436576,-0.090739229036074,-0.119888691206343,0,0.0542131815029889,-0.065058630112478,0,0,1.61422269263994,0,0.00722375844516453
CVIX.Index,0,-0.00937429297286063,-0.333383413082215,0,0,0.219264475567727,-0.0438241070778978,-0.0594302063366653,0.0109360778063368,0,0.0336095459505399,0,0,0,0.212486772685832
DXY.Curncy,0.183348484537921,0.0173405726506974,-0.120816550169124,0,-0.0192250421046222,0,-0.00187061377707476,0.0123788505055461,-0.0127699169126983,0.0118933777226868,0.0944979809592635,0.116835534319846,0,0,-0.034175553785193
SPX.Index,0,-0.00559676108213554,-0.0539558310096513,0,0.00442810438905107,0,0.00655171784373338,-0.00794733926923081,0.00524141318358387,-0.00517513175012488,0.120320287501738,-0.0728110549474422,0,0,-0.131796848518029
VIX.Index,0.393864384449355,0.104283014347641,-0.0670891130187028,0,-0.0101155926737625,0.120637127636091,0,0.0577983296824037,0,-0.0820812501493606,0.126659658530658,0.102345608247177,0,-5.36168581485982,0
