,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0538046015159498,0.142284716227419,0,0.00753721189542664,-0.0769401054794446,0.0391406529849813,0.215563010689957,0.229110638595253,0,0.16676665724519,0,-0.543439207133978,0,0,0.30743150122834
ETH,0.318970255144445,0,0,0,-0.130626958748899,0,0.296366214996131,0.118468675026511,0.424413855641966,0.122099126241166,0,0,0,0,0,0.136744192123953
XRP,0,0,0,0,-0.00814034659998111,0,0.0582571556921312,0,0.0624532959183725,0,0,0,0,0,0,0
LTC,0,0,0,0,0.00110367695295878,-0.0409635240372917,0.0777062998279843,0.168713194083285,0.103721703193027,0.0708992400412117,0.12313727627864,0,-0.376815126248238,0,0,0.135307081029953
ETC,0,-3.14672436525117,0,0,0,1.19806635744366,0,0,0,0.916815813689037,0.925922904119415,0,0,0,0,0
DASH,0,0.189125668519967,0,0,0.0224522837689182,0,0.0877723968486515,0,-0.0471258687288512,0.435444393066901,0,0.569091359975788,-0.710761208648092,0,0,0
XEM,0,0.425758660829191,0.158238218943941,0,2.16840434497101e-19,0.439187749564037,0,-0.123152713810666,0,-0.100269417363688,0.245711064459217,-0.574742617292128,0,0,0,-0.393986900381519
DOGE,0,0,0,0,0,0,0.185323690283105,0,0,0,0,0,0,0,0,0
XMR,0.142203704069671,0.661328526465317,-0.127453119963107,0.555400222618066,0.0125619634882847,0,0,1.38777878078145e-17,0,0.240399241214182,-0.479387826076078,0,0.303201935745086,0,0,-0.288290192697746
XLM,0,-0.19701716949664,0.573383668644519,1.36785792082942,-0.0428203753928425,0.208115477340882,-0.0686917850539968,-0.155310706129126,0.26734144719125,0,-0.158647023172244,0,0.493487433891461,0,0,6.93889390390723e-18
DGB,0,0.500308584037454,-0.0781979274061856,1.7104959726258,0.102436410773996,0,-6.93889390390723e-18,0.097570350065288,-0.307761734093495,-0.0993867428910903,0,-0.459912078381878,1.07852616204513,0,0,-0.953294414025233
BV010082.Index,-0.200957825472029,0.152426334972916,0.0741795299954677,0.0864087693383467,0.019922592934018,0.0205976398101332,-0.0327853323213924,0,0,-0.158279382042626,-0.0943902908827723,0,0.157893841416398,0.667767663051318,0,0.0665131829747318
CVIX.Index,-1.18288715471257,-0.161383393050452,0.117273054432902,-0.190522018241339,-0.0131960127808967,-0.14637551961892,0.18682297229215,0.280898541511592,0.353052973347076,0,0.299722061246707,0.379357604500645,0,0,0,0.314822038490167
DXY.Curncy,0,0,0.0451493790643081,0,0.003722868633272,0.0366647040822386,-0.00665517121112932,0,0,0.0467857251453982,-0.0438827996667188,0.140293917575971,0,0,0,0.00988109577500783
SPX.Index,-1.73472347597681e-18,-0.0128947519328181,-0.00735388161228982,0,-0.00125963671684581,0.00193918572410025,0.00636062047641582,-0.00942394036737974,0.0138132872272582,0.00561909634023277,-0.00238411469500225,0.078351433011544,-0.0221348822005561,0,0,-0.0504897420870664
VIX.Index,-0.355292291611982,1.04884021539015,-0.278803178759279,0.461804924526074,0.148988916189401,0,-0.172291521180076,0.22441046611567,-0.372340551989651,0,-0.652452045804147,-0.528653651475369,0.493075177757777,0,0,0
