,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.154168549104648,0.109311543275543,0,-0.0954793564750952,0.0287931143904004,0,0,0.101283074751984,0.166831481613203,0.0390135321249556,0,-0.377393301215531,0,0,0
ETH,0,0,0.260606782736239,0,0,0,0.361406559740423,0.469856833236921,0.170631599296967,0.158211038364999,0,-0.0986351432839764,0,0,0,0
XRP,0.448839136914703,-0.138608629580655,0,-0.478921551869599,0.102671438365725,-0.201094289342834,0.239911333875461,0.331158863335154,0.0897200815295708,0,-0.0899915355976694,-0.261462845280645,0,0,0,0.123548280556066
LTC,0,0.245746600623551,0,0,-0.0152118405176593,-8.67361737988404e-19,0.00248249057464559,-0.00303949306289301,0.0991125523824252,0,-0.0182059851824609,0,-0.412060453867566,0,0,0
ETC,-2.24331966963042,-0.141084639133969,0,0,0,0.715133391781622,-0.227658880666317,0,-0.909951409501323,0,0.22166897648816,0,0,0,0,-0.774923643217324
DASH,0.170072965885297,0,-0.876916975438219,0,0,0,0.60672193362054,-0.638667015761289,-0.00371185147319546,0.550030462784068,-0.0336693166260804,0.591795510726174,0,0,0,-0.168474846382462
XEM,1.0910072588552,-0.0379921456892088,0.435234440633265,0,-0.0906851843974399,0.561808453195851,0,3.46944695195361e-18,-0.330043386737133,-0.109284651724967,0.142774845666788,-0.323551560100783,0.905598293732866,-2.19052660061263,0,-0.402533020887734
XMR,0.165128595514661,0.176109101524456,-0.0476161644782853,0,-0.0918367976121733,0,-0.186597744174276,0,1.38777878078145e-17,0.269326032497631,0.260745726999752,0.500029404727506,0.997179554866901,0,0,-0.498467106136015
DOGE,0,-0.926783306006902,0.580210126897618,0,-0.233317328666543,0.632541794875807,0,0.243181567167141,0,0.221899905254691,0.173352562818086,0,0,0,0,-0.591302114098859
XLM,0,0.189879093677409,0.233439455742591,0,0.123062098554934,0,-0.0274766286692687,0.290460253916515,0.0715686718785403,0,0.0102700204091012,0,0,0,0,0.200532965240781
DGB,0,0.532648334231321,0,0,0,0.449782644264486,0.0784028593775354,0,-0.454056232367409,0.365991455617773,0,0,0,0,0,0
BV010082.Index,-0.124490879873993,0.0762580207771404,0,0,0.010901824854415,0,-0.0603790012374663,0.00997811966879714,0.00463709157409696,-0.139984177144356,0,0,0.277300816940275,1.03358763843734,0,0.0383070569049319
CVIX.Index,0,0,0,-0.288243374866291,-0.061137150500618,0,0.0568370074987011,0.133071424962431,0,-0.0025674972164539,-0.0226300501331472,0.375007268677882,0,0,0,0.438417480994293
DXY.Curncy,0,-0.00792598110003433,0,0,0.00654364676283204,0.0365255250530364,-0.00911302438226052,0,0,0.0496486957174061,-0.0264644608767827,0.147749149447301,0,0,0,0.00482033533723671
SPX.Index,0,-0.0144850351458495,-0.0106473463384602,0.0567438713093737,0,-0.00183598769855562,0.0076952271405629,0.0137472733211421,-0.00208204868909208,-0.00132154798275911,-0.0135917640820494,0.0698905176967639,-0.0133579097369698,0.0497007923591219,0,-0.0533613931509744
VIX.Index,0,0.135059219943031,0.0987957474868366,0,-0.153167690801018,0.157100962552523,-0.364364729111172,-0.795499105342188,-0.154979863945181,0.159017766651899,0.244655101567999,0,1.89612002356039,0,0,0
