,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.140027106244297,1.07470334659757,-0.121760817137602,0,0,0.0677922318595659,0,0.0532154493363445,-0.0229827800262029,-0.00605047464050473,0,0,0.125625597820316,0,0,-0.0663544627425887
ETH,0.170196963313285,0,0.197684628358006,0,0.203223110534539,-0.0975909327705583,0.189695145433791,0.0371166387282372,-0.478862931755596,0.109100952278545,-0.0198099640636458,0.0143989814462423,0,0.057299834671292,0,0,0,0.172885280176414
XRP,0.186378282397657,0,0,0,0,0.16608555389746,-0.0549492394104244,0,0,0.0775451669800714,-0.124925479718121,-0.0502530962896241,0,0,0,0,0,-0.151589547174865
LTC,0.73489478346753,0,0.00216316811877002,0,-0.0139086040549954,0,0.0874574430448696,0,0.0366104891348013,-0.0257474373232912,-0.00465510278558541,0.00320196319174821,0.0313285257706567,0,0,0,0,-0.011240820374051
XMR,-1.14074055097696,0.432344565398081,0,0,0,0.521030557483396,0.0296757034997346,-0.193325881540901,0,-0.224259826872234,-0.0594706248815458,-0.0421677467094178,0,0,0,0,0,-0.337556182058176
ETC,0,1.23700008591885,0,0,-0.00207458823324653,0,-0.560284605865903,0.182385930332385,-0.0350913149163854,-0.097669811607885,-0.0677700064280273,0.0133327844273557,0.437793247346896,0,0,0,0,0
DASH,0,0,-0.135410114119626,0,0.390649002010889,0,0,0,0,0,-0.0673910483359929,-0.0979783137714924,0,0,0,0,0,0
XEM,0,0,0.456613555354538,0,0.396744728095636,0.329714231083918,-1.73472347597681e-18,0,0.699259644593764,0.0410618055214704,0.142561268460508,0.00764815637424653,0.138218339227004,0,-0.000679524595485662,0,0,-0.0117674890990342
DOGE,0,-0.732420208749234,0.104843940959863,0.180517722270464,0.034550347938288,0.104955437828491,0.392134449230665,0.0816230735481639,0,0.187612911390695,0.0193711541094309,0,-0.207613506722867,0,0.0256446898272746,0,0,0.127664310984621
XLM,0,0,1.08158382886676,-0.762941464697797,0.00221197204973902,-0.0619571917575468,0,0,0.818725211738815,0,0.0199466697672594,0,0.501883111082797,0,0.0549925503566181,0,0,0.215196921433075
NEO,0.964925108948692,0,-1.33348751561788,0,1.06448617040858,-0.219223055330847,-2.99341267733383,-0.527146149354251,1.26792021458475,0,0,-0.368087631179531,0,0,-0.938082411388709,0,0,0
ZEC,0,0,-0.891583700384866,0,1.31155394618633,0.0607788113090268,-7.960448373974,0,0,0,-0.867547226456903,0,-1.17833294902686,0,0,0,0,-1.29635102706569
DGB,0,0,-0.0570503043363152,0,-0.168267464564163,0.169696701869272,0.0504277963584748,0.0596190753095176,-0.108853783548476,0.136023001485148,0.0338718005418865,-0.0359310626241328,0,-0.630161652969506,0,0,0,-0.381265622393613
BV010082.Index,0,0.122151927649655,0,0,0.0342800313803124,0.00684260946079267,0.0201239446119257,0.00795715576876902,-0.0924238016963851,-0.0455899853269976,0.0018257028863929,0,-0.116405536667968,0,0,0,0,-0.0938856091623825
CVIX.Index,0,0,0,0,-0.104108566862005,-0.308555475726686,0.294302627287442,0.000492307194135478,0,0.100955447592908,0,0,0,0,0,0,0,0.151027905426036
DXY.Curncy,0,0.0185043718382871,0,0,-0.00955609323756497,0.02251619730494,0.0148263125290903,0.00809283504455955,-0.0171985326475822,0,0.00440515090572158,-0.00236610726362561,-0.0746868182648996,0,0,0,0,-0.0565526718530372
SPX.Index,0.00959313079436811,0,0,0,0,0,0,0.00853069725187239,0,0,0.0137106737275969,-0.00110874475617124,-0.00633551591344073,0,0,0,0,-0.0469532474276742
VIX.Index,0,0.418328473837018,-0.221905219133612,-0.0929669640615439,-0.167942532099469,0.602006837920237,0,0,0,0,0.0704068541417276,-0.0743111861552891,-1.44936862630039,-2.99521967325057,0.656431193041995,0,0,0
