,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0299933651514971,0.0229233643443683,0.275460960574751,0.027681623818496,0.0466436684151279,-0.150279579204572,-0.0253117014834257,0,0.0313240286369525,0.000682055924967319,-0.0370864020658174,-0.0797983846255832,0,0.290822604664669,0,0,0
ETH,0,0,0.359783487769949,0.738730732717812,0.35336967532027,0.026010035323307,-0.0532874043346985,0,0,0.193596230588134,0.0121147750432486,-0.309382964019206,0.219397599742489,0,0,0,0,-0.483518316440424
XRP,0,0.130085323835821,0,0,-0.164438481385265,-0.107375874628881,-0.108887407675032,-0.278555649424835,0.425242092075881,0.113968051555082,0,-0.139205803104298,0.486893113775741,0,0.368686137322805,0,0,0.0479214405617814
LTC,1.09936098018472,0.335516407236021,0,0,-0.162902444979331,-0.175506296985271,0.198539562295564,0.233853467495034,0,-0.107484237405305,0.0478798443140721,-0.128954216334983,0.0449120325747381,0,0,0,0,0.0424461803981825
XMR,3.0464251302061,1.05421087229553,-0.0946937285820386,-2.22988071781279,0,-0.108800523412933,0.618043853072906,-0.0143095031320669,0,-0.373481883977085,0.255687976351831,-0.573484431049598,0.29117105802195,-1.0218864798434,0,0,0,-1.73472347597681e-18
ETC,1.01038314111935,0.276048538127438,-1.01932499922068,0,-0.182293726065858,0,-0.0704461046421966,0,0,-0.10347886994914,-0.101003860086345,-0.16881687296557,0.341912817766684,0.602163745319634,0,0,0,0
DASH,0,0,0,0.131197145792488,0,0,0,0.0254931864622913,0,0,-2.16840434497101e-19,-0.239555812877922,0,0,0,0,0,-0.286540867833068
XEM,-1.3320690170714,-0.219166575798945,-0.168429316266284,1.30283559588995,-0.162550354031925,-0.111997109973067,-0.293118073109429,0,0,-0.077489300826302,-0.0376568518862368,-0.254489324941121,0.495896410389648,-0.238863128911345,0,0,-2.05295567348836,-0.530526270590894
DOGE,0.0286692505565086,-0.0492717254083909,0.231133569535252,0,-0.0413753813797015,0.182318205680689,0.142105572598309,0.222397574272214,0,-0.00745914684053081,0.00591483497659991,0,-0.116638252350772,0,0.0468150963218655,0,0,-0.0110346210481858
XLM,0,0.94892590747419,0,-1.06132868486614,-0.253348233480024,0,0.735527237373273,-0.159067330153415,0,0,0.0566584885570278,-0.29353630363468,0.587208122449177,0,-1.13150278063117,0,-7.03746781578792,0.292729243044
ZEC,0,1.08198778424548,-0.755735699260965,0,0,0.232110943343731,0,0,0,-0.154380255919159,0,-0.622773539087371,0,0,0,0,0,0
NEO,0,0,0,0,-0.285882244452079,-0.230426295996555,0.847366840638021,-0.537948039700933,0.114837349444731,-0.175898148168504,-0.00139473887609293,0,0.9711679675989,0,0,-2.93410099724714,-0.208558282905747,-0.35463605266866
DGB,0,0,0,0,0.202168563798098,0.102290280407303,0,0,0,0,-0.0106979711192338,0.260776310198631,0,0,0,0,0,0
BV010082.Index,0.120802401510506,-0.0650481033148457,0,0.0458809905948468,-0.0452602686783012,0.0346782237805956,0,-0.0642762218473276,0,-0.0100301794501095,0.0185252310969741,0.0235438388891337,-0.0673469009471422,0,0,1.7901588787062,0,-0.22636047668278
CVIX.Index,0,0.0876804881349817,0,0,0.107446360391938,0.111432086846151,0,0,0,-0.0582603524053697,-0.0686751651289584,0,0,0,0,0,0,0
DXY.Curncy,-0.136741517918343,0.00420004276585097,0,0,-0.0141060631372635,0.0108899098595043,-0.0293343571974522,0.0295414374587982,0,0.0064905572132774,0.0124866554751114,-0.00779266352233149,0,0.0964744582543365,0.124706999518515,0,0,0.0212285471274432
SPX.Index,0,0,0,0,0.00608063992291042,0,0,0,0,0,0,0.0068819202989505,0.0109793778544952,0,0,0,0,-0.0488567791774943
VIX.Index,-0.492738744822515,-0.360107952173455,0.568807128241985,0.561742102519607,-0.0117224673487293,0.124302031903548,0,-0.459568406763192,0.626868098061116,-0.168139330685409,0.113495264736556,0,-0.0708106629102565,-1.5231921656559,-0.351059896728556,0,-3.82932246831847,0
