,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.148655904471047,0.19293713031728,0.0705267523553935,0.0311610330093137,0,0.388236959103435,0.184536269949912,-0.328148333830784,0.672005864822451,0,0,0,0,-0.0531077799080293,0,0,0
ETH,-0.653955112615513,0,0,0.711463177643277,0,0,1.43037011446494,0.163073803309531,-0.227761167048411,-0.605902889719,0.0807025368114554,-0.52080155701593,0.348813858087786,0.355370769380497,0.413089657305659,0,0,0.539878412692237
DASH,-0.0244551787872453,0.194600093517014,0,-0.0723169497206877,0,0,0,0,0.0764973763337916,0,0,1.47798628210901,0,1.57405052039094,0,0,0,0
XMR,0.476820031275331,0.740297463774574,0.121578468909682,0,-0.107603513852247,0,-0.381758548659502,-0.171883955246186,0.168520298999134,0,0,0,-0.444733567117995,-0.0442709243918492,0,0,0,-0.780099483209698
XRP,0.215119253454758,-0.0589662541940114,-0.0118616053815087,0,0,0,0,0,0.210174999006395,0.0364490101514635,0,-0.185440357700975,0,0,0,0,0,-0.065116709010532
LTC,0.176582516987499,0.0430340467181169,-0.0096995626359062,0,0,0,0.0828979174470407,-0.118155441088422,0.12464654252236,0,0.047986408936107,0,0,-0.0234061147942985,0,0,0,0.0488291296445303
ETC,0.553485742976067,0.547072381791555,-0.00026959524444576,-0.390331810800893,0,0,0,-0.0660532036775602,0.16913981373508,0.367619816499772,0,0,-0.23227205676941,-1.42983139419262,0,0,0,-0.0974103037105431
XEM,0,0.50428784900141,0.263303111611131,0.343790880617636,0.913565704500639,-1.84918986404096,-0.644630777065592,0,0.135449898937797,0,0.275995122800587,-0.026320229503847,0,0,0,0,0,0
ZEC,0,-1.38777878078145e-17,-0.00118687888912599,0,0.0145224428522168,0,0.552091753848857,-0.113693249778444,0,0.345850338670403,0,0.294777865292142,0,0,0,0,0,-0.0608305039149679
DOGE,0.188283602825384,-0.0966409587530338,-0.0150373655205907,0.243590071630648,-0.0431922436549073,0,0.0304717492728552,0.0481667611247395,0.148513147349859,0,0,-0.171628135762547,0.223256090406529,0,0.367794251830426,0,0,0.190007126404803
XLM,0,0,0,0.248703945447762,0,0,0,0,0,0,0,0,0.227570164659911,0,0,0,0,-0.334142439705435
NEO,0,-0.0850979162928747,0.108946675724186,0.0666441202221871,-0.468912642056022,-0.762136635766393,0,0,0.521833176915214,0,0,0,0,0,0.0733103316959484,0,0,0
DGB,0,0.587321735214227,0.243220565040743,-0.870025785037587,0,0,-0.465385074287286,0.218440640874554,-0.196031556138286,1.06333053694771,0,0.206264031136295,0,-0.959199561684501,0,0,0,-0.801013659321755
BV010082.Index,0.0596875109095392,0.0196052885991014,0.110618820374738,-0.268578097692907,0.125829574594033,0,0,0.0738093568602843,-0.176660066142797,0.547654577771567,-0.02140589430342,0,-0.176508869461234,0,-0.224185616944327,0,0,0.0927729055762227
CVIX.Index,0,0,-0.0899732675158396,0.0555925111528953,0.247530349126157,0,-0.115282021149755,-0.0851889804086041,0.10210673362538,0.304154438808629,0,0.119812093216761,0,0,0,0,0,0.472815039964761
DXY.Curncy,0.00690040065055644,-0.000576906582466364,-0.00673696376792594,0.0121802823006808,0.0455850789625353,0.0204489804123544,-0.00997890075673769,-0.00226365330887922,0,0.0151121860647871,-0.0137618998146596,0,0,0.0871760149676377,0,0,0,0.0413792369241102
SPX.Index,0.0122469709845254,-0.0112554483037,0,-0.000448975836471654,-0.0243666216464611,0,0,0.00730436144128888,0,0,0,0,0.0151669534391722,-0.082012638248942,-0.00336931029703206,0,0,0
VIX.Index,0.392085368975254,0.523787028661368,-0.0187704989081079,-0.599217996805318,-0.493872243076016,0,-0.540516763817822,-0.00133740604851109,0.19654586493347,0,-0.266006965934425,0.0581553018474692,-0.19435953771887,-1.20886317031549,0.593825981209429,6.92612445121064,0,0
