,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.179315869873773,0,0.00592492777645825,0.246857604498135,-0.180802234746514,0.444893337233001,-0.0981810906010371,0,-0.0120313202360234,0.517043313525446,0,1.38777878078145e-17,-0.179385632191004,0.0472257695509778,0,0.251959485158678,0,0,0
ETH,0,0,0,0,0.216007528903414,0.137737101667731,0,0.0880436235542751,0.0575329037183321,0.0319313383813338,0.434020952714557,-0.0145686271989871,0,0,0.0348019396845321,0,0,0,0,0.157066808429064
XRP,0,0.13508712050131,0,-0.123268740712331,0.178720957462726,0.356149422059457,0.228712868762077,0,0,0.00371611067218856,0,-0.0986228432111739,0,0,0,0,0,0,0,-0.0383815309615648
LTC,0.0965284389947013,0,-0.06886842646323,0,0.374469660996505,-0.133169587902488,0.31640214346038,0,0,0.0839117038282687,0,0.122708932015579,0.369840500404679,0,-0.118636227885645,0,0,0,0,0.109231227831727
ETC,0,0.182899829982845,0,0.260804818520409,0,0,0,0.106865619250756,0,0,0,0,0,0,0,0,0,0,0,0
DASH,-0.951347713845695,0.373445474548353,0.266161327560912,0.238043328058051,0.21029013603672,0,0.246775482945928,0,0,-0.0344513321986691,0,0,-0.460690264273407,-8.67361737988404e-19,0.354425693602366,0,0,0,0,-0.0712723102335711
XEM,0,0,0,0.462792843011983,0,0.315565729208125,0,0.186169740067134,0,0.0692080965364046,-0.037794595431989,-0.0288646806573277,-0.426298650990581,-0.301973613030416,0.292634602515299,0,0,0,0,0.0678565904666777
MIOTA,0,0,0.44819096059491,0,0,0,0.338080080828333,0,-0.122521413984893,0.00200729457821659,0.331917483076885,0.0344305712025822,0.347586205040553,0,0,0,0,0,0,-0.373684599909013
XMR,0,0,0,0.141329193665615,0.0173829042149609,0.187532024595432,0,-0.076509301309036,0,0,0.0939551807485906,-0.0553343471940349,0,0.436157413704694,0,0,0,0,0,0
EOS,0,0.468728003999058,-0.441932654917657,-0.61005963513197,0,-0.927546310336625,0,-0.353855841018435,0,0,0,0.0753994088312515,0,0.875256715763009,0.430818949498023,0,0,0,0,-0.937971101575426
ZEC,0.210034112381376,0.336371062706527,0.0772322573635264,0,-0.127532025216042,0.0593971271456091,-0.222221683176648,0,0.195360166177896,-0.013979112082548,0,0,0,0.298863833571736,0,0,0,0,0,-0.136419697703722
NEO,0,0,-1.00917489667198,0.0845988205258661,0,2.03008610943157,0,-0.171389973976387,0,0.155734689524698,0,0,0,-1.14624725142461,0,0,-4.97627024790878,0,0,-1.07131155759427
DOGE,0,0,0,0.0274892696996595,0.116766376777268,0,0,0.099995755281455,0,-0.0520606855219479,0,-0.0327972594352506,0,0.240683995902424,0,0,0,0,0,0
XLM,0,0,0.342222779197758,0.0796468139536583,-0.062600863916295,0,0,0.164266470626337,0.595034745088791,0.0703962701287473,0.104909479679495,0.0598911831540163,0.400082810399537,0,0.0295903979317946,0,0,0,0,0.103578891573625
DGB,0,0,0.257947870504203,-0.18322276778373,-0.116203989648252,-0.00133415617546421,0.175486743874227,0.0326564685420044,0,0.0305531702975495,0,0.0229070280221126,0,0.665428313819241,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0116834455049951,0,0,0,0,0,0,0,-0.0140096709330777,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.0295570349183215,0,0,-0.0269541471810986,0,0,0.00852049335639947,0,0.00705289657799285,0,0,0,0,0,0,0,-0.0309085268139182
DXY.Curncy,0,-0.0750252479847366,0.042069572815866,0,0.00568701570914299,0.0162460885338877,0,-0.0120609838370392,0,0.00351035644400679,0.0331365457115627,-0.00480758812164407,0,0,0.00580241097190255,0,-0.0223450399324617,0,0,-0.0147291596566576
SPX.Index,0,0,0.0126795581810739,-0.00653058813225684,0,0,0,-0.0133545003928669,0,0.00161790900694344,0,-0.000755010937371004,0,0,0,0,0,0,0,-0.0827610543362432
VIX.Index,0,0.225606084244384,0.18817693934141,0,0,0.071146854504322,0,-0.3676491424925,-0.15217276467444,0,0,-0.0645711961312301,0,0,0,0,0,0,0,0
