,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0693451329151578,0.229149043014982,0.164129567433311,-0.0457759005390162,0,0.102227959898945,0.0158031497584852,0.165970910650295,0.0179198024231872,0,0.0422319096624316,-0.208743699452925,0,0.04494157146428,0,0,0,0,-0.0753499189096775
ETH,0,0,0.110799528128293,-0.0392382711805518,0.412149920317434,0,0.104888564296461,-0.0327526335681333,0.172035148170874,0.0274312730863003,0.158033729609471,0,0,0,0,0,0,0,0,0.0303369368262154
XRP,0.0589045706896563,0,0,-0.283457197241468,0.20163435905611,0.364455100499836,0.154446835613584,-0.00709871854934268,0,0,0,0,0,0.316204425037559,0,0,0,0,0,0
LTC,0.209175284214866,0,-0.501735822335892,0,0.33619478113624,0,0.13550918218863,0.154453829985382,-0.10820957812995,0.109217734043288,0,0.0821106160386764,0,0.18086093060369,-0.12545994492553,0,-1.7138982057521,0,0,-0.0497192020220822
ETC,0,0.15488567962444,0,0.153730447681258,0,0,0,0.0229877250145115,0.551161821450238,0.0213285021490666,0,0,-0.250656532193821,0.148928467555174,0,0,0,0,0,0
XEM,0,0.764035545847031,0.622062089479458,0.224868921302806,0,0,0,0.135919150436087,0.040457432593536,0.0563791437662186,-0.485097753562375,0,-0.0432548084725022,-0.248378507851633,0.0533664493122349,0,0,0,0,0
DASH,0.633745099822835,0,0,0.142449746531805,0.0791334981108092,0.181065496543261,0,-0.0835905616307614,0.15305493639369,-0.00208870384074602,0,0.168129352790956,0,-0.157442177646506,0.0899381878189332,0,0,0,0,0
MIOTA,0.165745468422152,-0.789328097545276,0,0.615564388644228,0,0,0,0,0,-0.00620595753372201,1.39440894726311,0,-3.46944695195361e-18,0.285331462499401,0,0,0,0,0,0
XMR,0.319208293814391,0.120741341119694,0,0.10054057647677,-0.0168126641299408,0.114038629639449,0.173852120215073,0.0142075851579826,0,-3.46944695195361e-18,0,0,0.17861320509762,0.136792764228665,-0.0734580611014834,0,0,0,0,-0.0950635632642024
EOS,0,0.622118378046381,0,-0.279322618261372,0,0,-0.129363043614207,0,0,0,0,0.110627734405405,0,0,0.399778498731552,0,0,0,0,0
ZEC,-0.420655868069453,0.454162346716934,0,0,0.143384339233477,-0.235044494042449,0,0.206273976854918,0,0.0794653480328713,0,0.0507420368999437,0.20829580893592,0.108131681611711,-0.000934273501348697,0,0,0,0,0
NEO,0,0,0,0.0278549302398581,0,0,0,0.157402315239604,0,0.0175854789528057,0.546407606437915,0,0.176128017239283,0,0.132570293531615,0,0,0,0,-0.156543596094271
XLM,0,0.0935914312494179,0,0.145464660282239,0.355207387858394,0,0,0.029590674079955,0.307784261420648,0.0426383470706312,0.0903613074475282,0,0,0.29114940668706,0.159641065560096,0,0,0,0,-0.172694304737182
DOGE,0,0,0.648411195661012,0,0.112258160948626,0,0,0.0764608292242334,0,-0.047232128979627,0,-0.0467401606443542,0.030873689277337,0,0.089994327249389,0,0,0,0,0
DGB,0,0,0,0,-0.162704945568017,0,0,0.131334438534025,0,0.045583869531781,0.673739211495113,0,0.466946471807616,0.12365346727891,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.0518753327097554,0.0424951670162541,0.0227466077703078,-0.0501955445252693,0,0,0.00613044510668551,0.106346667979112,0.0124802341640586,-0.000784814504281159,0,-0.0584875037013305,0,0,0,0,0
DXY.Curncy,0.0271830615569014,0.00214257207587162,0,0.0170641018119337,0.00277454227829094,0,0.00860513603679101,0,0,9.20020947930828e-05,0.0104284574599534,-0.029383686973456,-0.0103875650927504,0,0,0,0,0,0,-0.0374099486293325
SPX.Index,0,-0.0286380730190266,0,-0.0115988140298729,-0.00102226054227791,0.00437935497227175,5.42101086242752e-20,0.00473348360022225,0.0182339725116263,0.0012824314558556,0,0.00694132804940607,0.000776324874753744,-0.00217541260610955,-0.00162589442659306,0.0391737815713886,0,0,0,-0.0631054372118272
VIX.Index,0.0361435371351387,-0.133029737088422,1.38777878078145e-17,-0.18345910906919,0.0949983707038401,0.0471285586984015,0.165588979112389,0.0645225504558265,0,0.0310144277220086,0,-0.0594053780463028,-0.285217368324737,0,0.146210217153869,0,0,0,-11.1492562602,0
