,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.108271948460909,-0.133220464624995,0.136023082928091,0.0992868151936029,0.836052568415759,0.0239414097563256,-0.915819269342644,0.207856795712151,0,0,0.0783732746157989,-0.337324935079977,0.602107482285796,-1.93084298995266,-0.203899362596491,2.2370948359217,0,0
ETH,0,0,0.938522434517784,0.0536235840634996,0.343086133620337,-0.0241213025698843,-0.205359412989009,0.141701126764038,0,0.0525588058261686,0,0,0,0,0,0,0,0,0,0
XRP,0,0.434803255683549,0,0,0,0,0,0,0.160420095039053,-3.46944695195361e-18,-0.0259050672264949,0.0259251703217025,0,0.122381103780157,1.73472347597681e-18,0,0,0,0,0
BCH,0,0,0,0,-1.2020628221133,1.07586915478788,0,-0.589487171375915,0,0.0243952015265473,0,0.514393203690268,1.65246114540133,-1.32457573697657,0,0,0,0,0,0
LTC,0.16133040829474,0.334761651731762,-0.387552330920697,-0.0633057644359922,0,0,0.143419917179733,0,0.354656718914148,-0.0434269092688528,0,0.055089842099902,0,-0.00567206883643627,0.150434762342579,0,0,0,0,-0.0958629021002465
XEM,0.265748597914215,0,0,0.112264759727399,0.243253791001929,0,0.176586548989155,0.288203317895902,0,0.0685202904007456,0.18840772623743,0,-0.433506575077878,0,0,0,0,0,0,0
DASH,0.0858291271327129,-0.154325258508988,0.479536589848588,0.0333499400245985,0.60522559578928,0.111583220200074,0,0.00594080321950594,0,0.0686406061222719,0.250498986585199,0.0528977134136444,0,0.0446051187992831,-0.304615225603997,0,0.666737920651866,0,0,0
MIOTA,0.0466694927041215,0.689517137196582,0,0,0,0.271642514152235,0.0569117980976407,0,0,0,0,-0.170556410116074,0,0,0,0,0,0,0,0.559399957203155
ETC,0,0.364262710949194,0,0.00864712858689049,0.230312238335029,0.0394329188189964,0.0704466177467235,-0.0467846907477174,0,-0.0904045177685301,0.060450869397798,0,-4.33680868994202e-19,-0.0267943179263363,0.180141790065179,0,0,0,0,0
NEO,0,0.452785502935504,0,-0.108511861497914,0,0.449969729007808,0.0950841574124119,-0.21027224249105,0,0,0,0,0,-0.10861835015023,0.816855885156172,0,0,0,0,0
XMR,-0.185056887053372,0.118467416191966,-0.240731196799674,0.0389831601781753,0,-0.0530136186401981,0.870235097110565,-0.0132262876540772,-0.211140582444172,0,0,0,0,0.407405526344435,0.195550012517817,0,0,0,0,0
EOS,0,-0.819007707563188,0.609849732779198,0.104657749858752,0.308293715029458,-0.0845332732219883,0,0.182225633786297,0,0.0978471847808822,0,0,0,0.158218492138438,0.523090499641438,0,-0.53013854865111,0,0,0.0211998412287807
ZEC,0,0.875111532302285,0,0.0180729317663571,0,0.104228700667009,0,0.00597646802910431,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0
XLM,-0.26480012209086,-0.220694106056209,0.611930345048586,-0.0118194694089348,0,0.354598884370636,0,-0.619728715970339,0,0,0.687043152230454,0,0.864277036277943,0,0,-0.340146729307837,0,0,0,0
DOGE,0.381589169307281,0,0,-0.0305810353305241,0,-0.0133187814183298,-0.150948863974224,-0.137155210995283,0.434377225497283,0,0.280831213024709,0.350823547567131,-0.0266888410760707,0.159217766652849,0,0.273450640126443,0,0,0,0
BV010082.Index,0,-0.0213436846686344,0,0.0102788245261789,0,-0.0192671302314782,0,0.0242257415927376,0.0990123887529784,0,0.0326144118419904,-0.1345018466434,0,-0.0365522694248597,0.0912673330338683,0,0,0,0,-0.164252103755893
CVIX.Index,0.0114596266123191,-0.0848695441468965,-0.407187513658716,-0.0304928501960557,0,-0.0117271726187484,0.119675598794689,0,0,0.0540057552608316,-0.0477781433770325,0,0.124039978930073,0,0.0311341756469892,-0.228060271510266,0,0,0,0.300540197507842
DXY.Curncy,0.057017426778134,-8.67361737988404e-19,-0.033009682303191,0.00502671138648827,0,-0.00770572736832473,-0.0402879520320172,0.0321142210769276,0.0631284918683147,-0.0183106972962476,0.0228770526170893,-0.0234448053082615,-0.0369441779562658,-0.00802140667807883,-0.00385844928505235,0,-0.0487921849685076,0,0,-0.0843301097036488
SPX.Index,0.00958682181511816,-4.33680868994202e-19,0.00660126298317745,0,0,-0.00375964973134297,0.0062765188962483,-0.00458385820013201,0,0.00175677183576147,0,0.00479651575381579,0,-0.00624405142284433,0,0,0,0,0,-0.0146139123841358
VIX.Index,0,-0.0737746451143863,0,-0.00489295344940128,0,-0.0259658922481673,0,0.153723689128661,0,-0.0129534921598819,0,0,-0.0780354994270073,0,-0.0881144532036213,0,0,0,0,0
