,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.342625603709479,0.110801284568001,0,0,0.117725708213553,0.0929924509832269,0.134508872809114,0,0.243035708898471,-0.136590941565485,-0.0195366871798696,0.0313011900807492,0.0710175136696998,0,0.0823442300601794,0,0,-0.150793520816395
ETH,0,0,0,0,0.633342091397725,0.215750004911998,0,-0.1239485832015,0.105302523934376,0,0.0919806443649625,0,-0.0115381029322963,0.0882002428917204,-0.0231406370731093,0,0,0,0,-0.0753944287041523
XRP,0,0,0,-0.151578653026258,0.377804791674481,-0.162997515417181,0.16697372263139,-4.33680868994202e-19,-0.0328532205874733,0.266518275528438,0,-0.0451490611221838,0,0,0,0,0,0,0,0.257827692417178
BCH,0,0.00369354204108369,-0.396272047415911,0,1.15460938647164,-1.09313159113394,0,-0.209925664092087,0,0,0.141090188442906,-2.16840434497101e-19,0.121630478615642,0.306000797905545,0.0764504436132384,0,0.348606340996298,0,0,0
LTC,0,0.0293300593696898,0.0903216687487886,0.00923954866104884,0,0.0721774795936882,0,0.256983135865965,0.00504599780771291,0.0434157485537175,0.339060834189008,-0.0121437800053942,0,0.0184554035137236,0,0,0,0,0,0
DASH,0,0,0,0,0.164423863884782,0,0,0,0.196813613422819,0,0,0.004921957494533,0,0.139668722719688,0,0,0,0,0,0
XEM,-0.563872894960911,0.625192788243918,-0.0707859251107673,0.0447835584498329,0,0,0,-0.194319319526074,0.268816106100142,0,0.900970570926193,0.040133925600057,0.123392355628232,0.056237699001574,-0.123884092347065,0,0,0,0,0
NEO,0,0,-0.826527756166081,-0.0573681883875571,1.30079431421258,-0.166961781985679,-0.67165596074145,0,-0.215721266037524,0.849602111114776,0,0.244423525271421,0.44466431885423,0.313430149148287,-0.0848139894458434,0,0,0,0,0
MIOTA,0.952778172091299,0,-0.5253072221226,-0.034659086474553,0,0.215575776934899,0.662030970102579,-0.31379541363428,0,1.06717847190626,-0.721896675832682,0,0.348795574262584,-0.00524238202822156,0.386694051491265,0.481745208168844,0,0,0,0
XMR,0,0.344873469009186,0.126340597641941,0.134989573852782,0,0.0348863665874085,-0.131128898296853,0.111666478670281,0.0332684663756085,0,0.0549668064956426,0.1233765628327,0,0,-0.0240251363471376,0,0,0,0,0.213024054771316
ETC,0,0.0820084956995028,-0.0353236239494242,0.18711769598495,0.557453176814997,0,0.135837597027411,-0.144367480945261,0.106365861557092,0,0,0,-0.0763537335271058,0.0384139103787313,0.0756321760934486,0,0,0,0,0
ZEC,0,0,-0.377038805443034,0.0250670223481528,0,0.360143845788244,0.115825677489232,-0.182154696718618,-0.121630106665017,0.573449689470871,0.117559236729636,0,0,0.0651314465397752,0.437806842329298,0,0.882348032821386,0,0,0
ADA,2.03176461296865,2.15359038599184,0.570196965204892,0.552513460420272,-2.66233955317608,0.39960730826826,-0.542892489077062,0.528277343106704,0.576806844368574,-4.04878037488263,0,1.21239212233134,0,-0.431453257146222,-0.655731820521504,0,-3.45092705267664,0,0,2.617521482861
XLM,0,0.831190214012779,-0.399847526495802,-0.44709932531446,0,0,0.133627638842805,0.156637851244558,0,0,0.825845612715387,0,-0.0283763921727335,0,0,0,0,0,0,0
EOS,0,0,0,0.0221689790568634,0,0,0,0,0,0,0,0.857987181855997,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0076874915637981,0,0,0,-0.0900974242608561,0.0431892096453698,0.0876440973642867,-0.110291203056958,0,-0.0770355013179829,-0.0507563317733494,0.0347828469281092,0.0509454530265966,0,0,0,0,0
CVIX.Index,0.227438389150213,0,0,0.176444222623372,0,-0.258503815285864,0.0758227293062724,-0.0570924081750625,0.0452758311086271,0,-0.336296955485327,0.0547066441131591,0.0222110457152704,0.0336245461483069,-0.0531157618989214,0,0,0,0,0.0571681867575916
DXY.Curncy,0,0,-0.0128989642422951,0.0135810994790581,0,-0.025543627780767,0.000930861369785494,-0.00187151386258515,0,0,0,-0.0147802463241712,-0.0251172164453092,0,0.0238937535458801,0,2.71050543121376e-20,0,0,0.0484268134465761
SPX.Index,0.0281045637873237,0,-0.0110715289216281,0,0,-0.0264046416476478,-0.0159703736388959,0,0.00778339962768269,0,0,-0.0129017142849376,-0.0162377131345476,0.0116711246815894,0,0.0317712474065971,0.00360451681524641,0,0,-0.0226358992141837
VIX.Index,0,0,0.188776395782088,0,0,0.16095803924438,0,0,0,0,-0.0216940011476973,0,0.140359999909514,0,0.0172391366762118,0,0,0,0,0
