,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.160499760985911,0.240096318321928,0.0732517173522757,0,0,-0.367460374678342,0.269328657256498,-0.378929569516312,0,0.177337026729163,0.0484445034807189,0.255989376472746,0,0,0,0,0,-0.119912670286804
ETH,0,0,0.104125141144231,-0.0853476634552879,0.192328391265528,0,0.0536561134739857,0.059675336128303,0.0630866729213265,0.0799828529194446,0,0.040060313495936,0,0,0,0,0,0,0,0
XRP,0,0.763257484115944,0,-0.375178601189888,0,-0.167758019320007,-0.707931263944254,0,0.12993359579312,0.360302589568635,0.288161502690076,0,0.0826325124159455,0,0.477432622102985,0,0,0,0,0
BCH,0,0,-0.116003243380591,0,-0.0912174609626148,-1.38777878078145e-17,-0.211223849452989,0.186072310979834,0,0.164881806712147,1.29362239173143,-0.117709249564065,0.011623577789998,-0.0149467577899074,-0.174002143150063,0,1.48583857239891,0,0,0
LTC,0.133576964831407,0,0.0611463284720368,-0.316800986694492,0,0,0.043633817004278,0,0.367670401386873,0,0.647007333939909,-0.179111978238276,-0.0323088380562039,0,0.0909139071001703,0,0,0,0,0.212712828223187
DASH,0,0,0,0,0.0630739407333798,0,0.00661458504111481,0.136364289306241,0.246605657698795,0.0319214201926664,0,0,-0.0251829472916327,0.0584632895560669,0.272103206639164,0,0,0,0,0
XEM,0,0.749301761563063,-0.397275016939725,-0.218388376943067,0,-0.681912680495028,0,0.159046271770919,0,0.310162650209454,0,0,0,0.0302505499141863,0.40328822407741,0,0,0,0,0
NEO,-1.07969610001891,0.393141309197434,-0.188779378354861,0.518813719524817,0,0.0627185947174369,0,0,0,-0.288316335221459,0,0.155638221589154,0.0954165489831585,0.345648305610654,0.214992131215795,0,0,0,0,0
XMR,0.413935594069941,0.310940725948591,0.00391740422342709,-0.0348808290011487,0.0232056938218834,0.237483735989003,0.027943349979129,-0.159708805564844,0,0.304488818658021,0.165260367662647,0,0,0.305195764118464,0.0194699089956069,0,0,0,0,0
MIOTA,-0.41303151385295,0,0,0,-0.321569574804166,0.141136430417665,0,0.0683383213479442,0,0,0,0.1627970508618,0.109646034164728,0,0.303486803709109,0,0,0,0,0.707412504637798
ETC,0.0912069005911178,0,0,0.250643848033265,0.246813173657281,-0.0179981899823535,0.0647664038794771,0,0,0,0,0.0633306213208339,0.0100618303419763,0.14478370612514,0.0747510561537413,0,0,0,0,0
ADA,0.780694695076273,0,0,-0.0977738665687326,0,-0.626080378234931,0,0,0,0.646943665683075,6.7762635780344e-21,0,-0.118176790378817,0,0,0,0.957388744138016,0,0,0.366058453012543
XLM,0,1.36917708105772,0.635979424107351,2.34978663207885,0.278636703692345,0,3.46154861044848,-0.781270746766389,0,1.24676004672309,0,0,0,-5.31435354151166,0,6.08439985597736,0,0,0,-1.13809175890418
ZEC,0,0,0,0.0219186203507671,0.0116802751943073,0,0.220334440547789,0.204051768001533,0.255463604312676,0.0508185688637807,0.369787557547452,-0.12733766475957,-0.0583775775864477,0,0.0873635241020654,0,0,0,0,0
EOS,0,0,0.208973775576553,0.120329793238133,0.15223758798809,-0.0995295340341601,0.0183264904861266,0,0,0.146138902800161,0.137345777051758,-0.073886217385115,0,0.11299087695185,0,0,0,0,0,-0.0412096415636985
BV010082.Index,0.118133989652901,0.117500943322544,-0.058025417702411,0.0123088606535066,-0.0591756491285779,0.0707105740193903,-0.0583471400252307,0.0216757138781884,-0.166962530694866,-0.052322921119853,0,0,0.0143906581110547,0.0278219426907328,0.117232740589955,0,-0.222645426539686,0,0,0.116707885511528
CVIX.Index,0.0542138395483319,-0.0160130695703714,0.0312527775573219,0.0175161151231675,-0.0351586788735847,-0.356448863500267,0,0.11942279165983,0,-0.0278955062659459,0,0.0782256288391708,0,0.0211182490829712,0.150929683526,-0.263943234451587,0,0,0,0
DXY.Curncy,-0.00516137963750757,0,1.35525271560688e-20,0.00932943106867577,-0.00589605407189563,-0.0122550556514411,-0.00215619065746838,0,0,0.000288635308759365,0,-0.00661846884736635,0.000118084720971193,0,-0.0159748398315993,0,-0.0609889655050026,0,0,0
SPX.Index,0.00347897093518979,0,-0.00149931532661032,0,0,0,0,0,0,-0.00608277193817525,0,-0.00325697630166028,0.000213421104431914,0,0,0,0,0,0,-0.0199548314838118
VIX.Index,0,-0.295123852876007,0.150482202247582,0,0,0,0,0.150946869055171,-0.190706112569009,0.15955038878771,0,0.152315543433991,0.0104077255016345,0,-0.243084946538418,0,0,0,0,0
