,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.040485468190026,-0.314123529929143,0,0,-0.272160622032383,-0.191877942298702,0,0.28260601493844,-0.385632773957169,0.0969218118998097,0.216431883306519,0.261072111496471,0.0897483020946173,0,0,0,0,0.136364300505288
ETH,0,0,-0.125811894958747,0.0482813275908915,0.353510385032945,0,0.118449521519912,-0.068825045219553,0.125385415287765,0.181545687810338,0.10389252620412,0,0,0.0524906278269167,0.000483128427808129,0,0,0,0,0
BCH,0.165087977032407,-3.04873879208427,0,-0.451431498263277,1.8380204678028,-2.20623130383686,0.271837565296528,-1.58241113453501,0.0806768904595711,0.436187448243607,2.22738422117519,0,0.281591734308197,0.335143191421038,-0.000256996595817474,0,0,0,0,-1.73239729546999
XRP,0,1.59325699673758,0.00940347083002103,0,0.210545613515768,-0.278073230297001,0,-0.553821534328877,0,-0.228498789796293,-1.38777878078145e-17,0.0378517426408097,0,0,0.068517136824991,0,0.132780210790635,0,0,-0.233399193402181
LTC,0,0.132271503216432,0,0.471786732350381,0,0,0,0,0,0,0,0,0.0545830320705611,0,-0.0564078646940866,0,0,0,0,0
DASH,0,0,-0.101794495037785,0,0,0,0.068854896274428,0.114519663741535,0.24182247920552,0.095816298834613,0.182881109721456,0,-0.0117950111429466,0.10339705112474,-0.0467198373406578,0,0,0,0,-0.104819021960413
NEO,-0.75682775928133,0,0,-0.264020944413953,-0.470686989274949,0,0,-0.0434778385275729,0,0.462219948796039,0,0.118645178562689,0.319037962146739,0.291165217611064,0.0969118385094314,0,0,0,0,0.222495214063027
XEM,0,-0.400840296076875,0,0,0.797390582053421,-0.527764124893808,0.275299535266126,0,0.26507556265744,-0.14798738705149,0.580600937751993,0,0.143219255329799,-0.040467962625314,0.0798809625683851,0,0.0285876240001588,0,0,-0.515302656352071
XMR,0.334214416305657,0.838229678125972,-0.0407546916876536,-0.0805952571157119,-0.386142688145725,0.257834977319066,-0.141916878992183,0,0,0,0.133329012926173,0.0601372954303152,0,0.0128978157929809,-0.0223821904776193,0,0,0,0,-0.145499569560562
ETC,0,0,0.149154459654846,0,0,0,0,0.157416007085302,0,0,0.0813052512517004,0,0.10770104590519,0.10920906796928,0.0113862993527738,0,0.572767556892203,0,0,0.0876323861354504
MIOTA,-0.0695374706262801,0,0.15714962182802,0,0,0.0771664370226045,0.37523565583183,0.619066971373204,0,0.167125915794383,0,0,-0.000754724554492697,0.0625899179547867,0,0,-0.5868407110233,0,0,0.368607765473219
ZEC,0.216623753467991,0,0,0,0.00574694800330704,0.320624842167522,0.168632639932833,0.344496153646969,0,0,0.127158266326676,0,-0.100083716707358,0,-0.0429452430636954,0,0,0,0,0.159978609057135
ADA,0,0,0,0,0,0,0,0.618729929957096,0.438635963438952,0.451213438032291,0,0.0150155924783958,0,-0.527791216128427,-0.0906156877685426,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.419129488650858,0.210747492219111,0,0,0,-1.73472347597681e-18,0,0,0,0,0
XLM,0,0,0.217290679655561,1.88906779995362,0,0,0.328406197352951,0,0,0,0,0,0,0.276698748022032,0,0,0,0,0,0
BV010082.Index,0.0237508941037522,0,0.0200275603960299,0,0,0,-0.0301454584782409,0,-0.043560034565211,0.00577163485470681,0.0105774836738007,0.0811152587808437,-0.0342562041724674,-0.00540635103375885,0.000268818491388982,0,-0.154508550292188,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0687255650408772,0.0109402804555439,0,0.0270303188361157,0,0.0260981951791527,0,0,0,0,0.0821399321880993
DXY.Curncy,-0.0270334161861078,0,0.0145601937154455,0,0,0,0,0.00984869019585877,0,-0.00669653453871711,0,0,-0.00136477208417624,-0.00276310493261967,0,0,0,0,0,-0.00790295998520115
SPX.Index,0,0,0.00254958247494277,0,0,0,0,0.00663930047769762,0,0,0.0154532510293624,-0.0405098247696905,0.00262960787586974,0,-0.000610610515503618,0,0,0,0,-0.047302739964666
VIX.Index,0.130424754796483,-0.70254633998116,-0.375394749412478,-0.522798329597291,0.793894075887766,-1.13507876627135,0,-0.795687660050412,-0.240952702610231,0,1.48463393275339,0,0.10434880044871,0.133322569026181,-0.0081578089999291,0,0,0,0,0
