,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.310146952732103,-0.106208369304605,-0.1821713739469,0.0598052831683375,0,0,0.0305596354860633,0.306040625376346,-0.14093256980343,0,0.461819597065552,-0.0213175336302545,-0.12345168096173,0,0,0.0581436574555751,0,0,0.127610401098525
ETH,0,0,0.279633445227988,0,0.0233190421618486,0,-0.0869878146230344,0,0.230367064568421,0.0815071747331425,0.0693842296310532,0,0.0265963990004558,0,0,0,0,0,0,0.163399283886667
XRP,0,0.28164710329681,0,0,0.169139384320135,0.146511292564014,0.167951803405772,0.206744817648306,0,0.125842122746175,0.0725309027008219,0,0,0,0,0,0,0,0,0.03672704509326
BCH,0,0.216589003546441,0.234229733513959,0,0.0160013079772959,-0.237655583655951,-0.210229904721691,-0.0262669350258708,0.183322996659457,0,0,0.570054997028574,0,0,0,0,0,0,0,0.154834002996293
EOS,0,0,0.277340029849989,0.266094991179192,0,0.315953966317708,0,-0.304746780640096,-0.298310860175443,0,0.143616132223875,0,0.417362354351429,0,0,0,0,0,0,0
LTC,0,0,0.250435218631587,-0.0872193673812387,0.0274430062424711,0,0.0679048199039262,0.191687940869608,-0.0933579765177867,0,0,0.0479113089665938,0.118262470373284,0,0.261882632235302,0,0,0,0,0.167781099466217
ADA,0,0,0.368977856663131,0,0,0,0,0.0642965004223732,0.355687735142406,0.310424343091234,0,0,-0.00262646818576971,0,0,0,0,0,0,0.120041067310549
XLM,0,0,0,0.726620922709548,0,0,0.188439469016643,0,0,0,-0.546622770613717,0.645575854460842,0.0354185370474286,0.443784085033233,-0.256288060815011,0,0,0,0,-0.323943142803138
MIOTA,0,0.388250616201138,0,0.216553960191145,0.0618589356560312,-0.230576821481884,0.150364212385732,0,0,0.0854544692892059,0,0,0.0498835150055335,0.363625570415331,0,0,0,0,0,0
NEO,0,0,-0.245600882496335,0,0.066286064620606,0,0.0526913488797075,0,0.298760534721041,0,0,0.0799454097117879,0,0,0.916136543554597,0,0,0,0,0.102653439597025
XMR,-0.107891391342526,0,0,0.287930189122826,-0.0404072470578303,0.767586368803489,0.0358484026021494,0,0.315938654018464,0,0,0,0,-0.202209956937025,0,-0.137154425100884,-0.0126844903673639,0,0,-0.151399466076376
DASH,0.333849427068502,-1.38777878078145e-17,8.67361737988404e-19,0.0180520932324314,0.00381322580487314,0,0,0.186058100383413,0,0.103496005230117,0.0363959596796363,0,0.0926769572345831,0.051497801665711,0.247147900464779,0,0,0,0,0.0517049549637149
TRX,0,1.13171999021391,-1.07557772791085,0.470220030854129,0.0733551002349218,0,0,0.650633677741778,0,-0.0954140429052349,0.0657193316942136,0,0,0,0,0,0.739916529326311,0,0,-0.150477332949038
XEM,0,0,0,0,0,0,0,0.36332513441295,0.199683829519219,0.274246107383735,0,0,0.0444341416039008,0,0,0,0,0,0,0
ETC,0,0,0,0,0.114409978288811,0.200210905474041,0.0863462349790711,0,0.0551889829474838,0.0949713019940584,0,0.361541624278869,0.0365497869840621,0,0,0,0,0,0,0.00452183731707251
BV010082.Index,0,0,0.0257363209451589,0,0.0235302498232997,0,0,0.00882534711328024,0,0,0,0,-0.0293587906946368,0,0,0,0,0,0,-0.0975613046997915
CVIX.Index,0,0,0,0,0,0,0.0607916258364368,0,0,0,0,0,-0.00746569004575695,0,0,0,0,0,0,-0.0326517471601218
DXY.Curncy,0.0124042709928715,-0.0732619197120623,0.0714982419233743,0.0230286085826137,-0.0127627500243146,-0.0243879804322238,-0.00356424856972709,-0.0395583623910052,-0.00206237345839221,0.00605537252522722,0,0,0.0100752528906544,0.0196461800900808,0,0,0.0853537363151,0,0,-0.00448632934247823
SPX.Index,0,0.0844046225851432,0,0,0.00603764450068441,0,0.035431962782807,0,-0.143333144069612,0.0235639568041636,-0.00786723096354516,0.0254861991048786,0.0217055330654598,0,0.00264698140682286,0,0,0,0,-0.142480890086824
VIX.Index,0,0.379835436776079,0,0.717370888581851,0,1.01712852855623,0.16333526589355,-0.417055532145301,-0.465665813985325,-0.00750524644365624,-0.795496050719565,0,-0.0538768382436211,0.133220111153619,0,-1.72570803013278,0,0,-1.9468456912542,0
