,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.38777878078145e-17,0,0.366432660744833,4.33680868994202e-19,0,0.125333166042196,-0.356708027414603,0.0445930970232684,0.0609463344956976,0,0.106804787967049,0.126091894402972,0.150869820100439,0,0,-0.0460005344219305,0,0,0
ETH,0,0,0,0.277333036280191,0.0653695955941066,0,0,0,0.118581176726528,0.00243807648126892,0.357074917203889,0,0,0.0190129855202339,0.0320452903560702,0,0,0,0,0.0284297007095261
XRP,0,0,0,0,0.273280942687677,0.0339128124103648,0,0,0.0701931851328549,0.0655792528687642,0.288766739462321,0.0060423365142607,0,-0.0282838007891519,-0.133063905002149,0,0,0,0,-0.00336996962703354
BCH,0.384059454717172,0,0,0,0.0360986665028509,0.099835434519264,0.0150592655992453,0,0.0639900274272071,0.0627527941597517,0.31041746069064,0.0717309041921385,0,0.0385001122872036,0,0,0,0,0,-0.0259812121773789
EOS,0,0,0.112463958990795,0,0,0.841107752760544,0,0,0.126614201451781,0.051740658458799,0,0,-0.391180393908771,0.103807700467829,0.249017864891902,0,0,0,0,-0.0871019418104457
LTC,0,-0.419211463719486,0,0.572340535482162,0.679982404198483,0,0,0,0,0,0.0577260760032004,0.0360895438852091,0,0,-0.0522667743482488,0,0,0,0,0.0872022302504606
ADA,0,0,0,0.396576296572648,0.159789004068703,0.0485866398044321,0,0,-0.00720497506335262,0,0,-0.0741757192871371,0,-0.0625554450338999,0.493304532614152,0,0,0,0,-0.00504067151668308
XLM,0,-0.125210974381017,0,0,0,0.277832829792731,0.113546987141299,0,0.318293726761626,-0.0178561374995234,0.125209086363009,-0.0468471707224237,0.074665509692833,0,0.14026108855992,0,0,0,0,0.0394372730526825
MIOTA,0,0,0,0,0,0,0,0.905358033311741,0,0.0670991897492099,0.0594061817750198,0.155762295815971,0.0499791100348238,0.10756830680716,0,0,0,0,0,0.0541382932500525
NEO,0,0,0,0.00275698001976651,0,0,-0.580351179476226,0.521189505637494,0.0442651131337514,0,0.300839213066549,0,0.381553596963583,-0.310491978835245,0.791424211622649,0.899983812321077,0,0,0,0
TRX,0,0.397067241612391,0.803294336564106,0,-0.288918443439874,0,0.0758270884720887,0,0.0927904962412822,0.0364847056164321,0,-0.000279256304107772,0,0,0,0,0,0,0,-0.1403244483436
XMR,0.138350612386898,0,0,0,0,1.70242615063007,-0.387198584198356,0,0.0811355421305973,-0.335345451437773,0,0,0.566556566442451,-0.313997839393454,0,0.671088269038551,-0.765356606820542,0,0,0.109651952534214
DASH,-0.257196886783655,0,0,0.618105206290761,-0.548043978567726,0,0,2.77555756156289e-17,0.104945591911155,0.251596914427206,-0.229441934832637,0.0917432762878949,0,0.371640933848821,0.0645855728369963,0,-0.296881723820457,0,0,-0.0346465852257336
ETC,0.564664198358266,0.886812524335434,0,0,0.187610663882016,0,0,0,0.102335995049165,-0.154617863056139,0,-0.0701010013301888,0,0,-0.0789119034312692,0,0,0,0,0
XEM,0,0.71813805868216,0,-0.191143758592949,0,0,0.442204952903294,1.19758309333448,-0.123404769044576,-0.142164490770576,-0.299111122695981,-0.21610058915878,0.0021036233857,0,0,-0.520692683286702,-0.335882275209498,0,0,0.0769401728867239
BV010082.Index,0,0,0,0.0963886828295934,-0.0782794352581495,-0.0447881071679061,0,0,0,0.11536815186567,-0.0484669541794744,0.0980993602901454,-0.121665113847788,0.0291039399133485,-0.0372938103401224,0,0,0,0,-0.0201341610037201
CVIX.Index,0,-0.00983755645490346,0,0,0,0.033133921722368,0,0,-0.21854280056025,0.200808370369201,0.110943051655209,-0.0659330021192763,-0.0616505630356642,0,0,-1.13156683349485,0,0.695760333629701,0,0.00761106528409988
DXY.Curncy,0,0,0,0,0.060240406689057,0,-0.113088347722312,0.0280109627196769,-1.0842021724855e-19,-0.0143299028603198,0,0.0230991739002977,0.0307056891347497,-0.0205846684813947,0.0247654060106245,-0.0523179662071572,0.16124476378903,0,0,-0.00646471894327375
SPX.Index,0,0,-0.0775239159633731,0.000684348252852785,-0.0120258660446454,0,0,0,-0.00454300126652345,0,0.0198116031845549,0.0261645216655996,-0.011912352437228,-0.00957150389743523,0.0288604337414562,0.13317728772091,0.0584193249969579,0,0,-0.0602381562881942
VIX.Index,0,0,-0.343684194574201,-2.77555756156289e-17,-0.453959748063739,0,0.0998480474481158,0,-0.238690493594154,0.247164528245596,0,0.316252533019849,0,0,0.154894003956535,0,1.91427650822535,-3.56596192073137,-10.2024754948189,0
