,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.24727813939008,0,0,0.0399216350736371,0,0,0.0280923858567383,0.0100209297777916,0,0.051798607800196,0,0,0,0,0,0,0,0,0
ETH,0.530389919052584,0,0,0.228260371158837,0.168778626888696,0,0.131733331838261,0,0.00972857089070504,0,0.0377046910970301,0,0,0.208392463388031,0,-0.182548367967894,-0.45592406728714,0,0,0
XRP,0,0,0,0.26909021606676,0,0,0,0.0274651118250236,0,0.244325449593036,0,0,0,0.276862022805309,0.0586172408247106,0,0,0,0,0.216494656978479
BCH,0,0.373666347792541,0.271175172908071,0,0.0579697448418303,-0.262411734974713,0.469657125777196,0,-0.117044574148719,-0.113076925581791,0.0796586810505847,0.120505127842953,0.0631571910763394,0,0,0,0,0,0,-0.0556730349733851
EOS,0,0,0.200571006536959,0,0,0,0,0.988672691503147,0.124249868389365,0,-0.0299578401349581,0.182620353517627,-6.93889390390723e-18,-0.349349594259813,0,0,-0.414920572897686,0,0,0
XLM,0,0,-3.46944695195361e-18,0,0,0,0.101999584893773,0,0,0,0.136727696285333,0,0.175207700081281,0.0846779456796388,0,0,0,0,0,0
LTC,0,0.212389531515306,-0.0612661369439218,0.196442223520838,-3.46944695195361e-18,0.351940824757464,0,0.203172504503637,-0.00194189252876148,-0.0314329782197482,-6.93889390390723e-18,0.0989257204040832,0.106190213030157,0,-0.15742720001656,0,0.0519500010262673,0,0,0.159086812193383
ADA,0,0.0728542712371646,0.0462648314378216,0.0701862010755284,0.140619333894799,0,0.177384157330554,0,0.0303835365912833,0.026420522145389,0.0142376229678643,0.174904982462743,0.0649974567757106,0,0.243812444983701,0,0,0,0,0
XMR,0,0,-0.133371664557258,-0.213604100280829,0.117842353304602,-0.39616070569262,0,0,0,0,0.287489200367251,0.0172972246328989,0.373642251403309,0.58810778671622,0,0,-0.155082002301143,0,0,-2.77555756156289e-17
MIOTA,0,0,0.0643246081552332,-0.0652519917343135,-0.0489072315909541,0,0,0,-0.0527939268746651,0,-0.0678984693918255,1.12006082007619,0,0.367820425058266,0,0,0,0,0,0
DASH,0,0,0,0,0.145816332718235,0,0.0086407361940157,0.46034477820897,0.41142745376001,0,0,0,0,0,0,0,0,0,0,0.0749525783066995
TRX,-0.470554848589331,0,0.154242975580093,-0.0257811867241947,0.121565367287578,0.35976256356915,0.36711206764302,0,0.0230387934637048,0.385662668678048,-0.0804169575100924,0,6.93889390390723e-18,-0.0168400039275626,0,0,0,0,0,-0.102644586917747
NEO,-0.49904028364787,0,0.514891090409264,0.284496872085354,-0.0578630702207577,0,0,0,0.490397063880132,0,0.253455313945855,-0.0041924912135534,0,0,0.262250551625972,0,-0.339242240956922,0,0,-0.283523070992456
ETC,0,1.30775123275466,0.0723583308872585,0.00934397702445383,-0.502415495033513,0.377688679103436,0,0,0.0557109692820773,0.141878796281251,-0.0368551346441455,0,0,0,-0.455240842173255,0.996350897274414,0.209346032205875,0,0,0.370454843760082
BNB,0,0,0.0778122813029766,0,0,0,0,0.198022060154675,0,0.0583210606793681,0.0651413508855787,0,0.200505297000353,0,0,0,0.36478690469128,0,0,0.0708321206435603
BV010082.Index,-0.563101210370813,-0.144495273127839,0,0.0540949503720902,0.135566197874641,-0.115405480323003,-0.0639295110701307,0.0264229277277479,-0.0762618576893367,-0.0520718081081962,0.0334853693909052,0,0,0.167584917361392,0.202207136000417,0,0,0,0,-0.126196806881738
CVIX.Index,0,-0.875228939765716,0,0.191989630149283,0,0,0.162142760865342,0.396172495090315,-0.0153447837908464,0,-0.0108941459301668,0,0,0.219925834002578,0.0558837176587885,0,0,0,0,0.209284127131585
DXY.Curncy,0,0,0,0,0.0081996013236079,0,-0.0305878574223191,0,0.0150214895773217,0.0326610075785065,-0.0149748455569931,-0.0476321368396887,0.0271054793084635,-0.0096371114093043,0,-0.0816018655872089,0.172524000720405,0,0,-0.0120550767413965
SPX.Index,0,-0.0249766794163309,0,0,0.0299252374528813,-0.00711080697148316,0,0,0.0186329269047881,0.0120094967679202,-0.00655612414550152,0,0,-0.00766668925683577,-0.0181693397662638,0.137300382184404,-0.0283261095982927,0,0,-0.0390204359207389
VIX.Index,0,0,0,-0.182395389456362,0.253505368376702,-0.314257769960596,0,0,0,0.307877577225053,0.0583297441860008,-0.606211429732461,-0.255281791954492,0.305374602445681,0.25167372033814,0,0.654422060176797,0,0,0
