,BTC,XRP,ETH,XLM,EOS,LTC,BCH,BSV,TRX,ADA,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0209947261362714,0.103608033568838,0.203391548571925,0,0,0.310298488118308,0,0.124888527173872,-0.0222792735530418,0.0953761377159799,0,0,0,0,0,0,0
XRP,0,0,0.201796074693035,0,0.133415881026446,0.0863065868911925,-0.071868326602226,-0.0209429791158889,-3.46944695195361e-18,0.123989446727609,0,0.0621687217182676,0.0900913388643069,-0.0838300620376217,0.164815876366242,0,0,0,0,0.00615397210952885
ETH,0,0,0,0,0.143337177963693,0.294702308287555,0,-0.00989846772840071,0,-0.0622656290287974,0.382155866228936,0.0307082052234811,0.116198586103015,0,-0.0999399249522509,0,0,0,0,0
XLM,1.05089420209002,0,0,0,0,0,0.182994424596393,-0.0486080984591626,0.0377153319468617,0,3.46944695195361e-18,0.0833126754049063,-0.00969759999679475,-0.0716810232809556,0.0350084617223144,0,0,0,0,0.0559375094969159
EOS,0,1.73328499737959,0,0,0,0.251874459734995,0.11223485305601,0.00791057462799651,-0.336453291408008,0,-0.373674343674112,-0.11241018789291,-0.101476464311477,0.689475163660278,-0.512327832568686,0,0,0,0,0.000354789570851283
LTC,0.374059354191625,0,0,0,0.302902686689609,0,-0.106201704822875,0.0675213229442449,0,0.21114173935089,0,0,0.0222288655600358,0,0,0,0,0,0,-0.306303242588771
BCH,0,0,0,1.11022302462516e-16,0.447431780950603,0,0,0.0932056606016464,0,0,0,0.0208717840220708,0,0.32515672051995,0.372961778838888,0,0.182248540750973,0,0,0
BSV,0,0,0,0,-0.0435790898378817,0,0.907709947294994,0,0,-0.285324990842429,0,0,0,0,-0.75843180037974,0,0,0,0,0.366910735027993
TRX,0.503007587339896,0,0,0,-0.132694905462148,0,-0.161017688750322,0,0,0.594966142446055,0,0,0.082860148347953,0,0.129954010323821,0,0,0,0,0.0471885515670012
ADA,0,1.456441039092,-0.560587247585152,0,-0.0669570204557267,0.233986672043102,0.243125430224932,-0.0107910106381689,0.351693662810348,0,0,-0.100874727602693,-0.235774247774487,0.229063062991791,-0.259126103054414,0,0.0379303474791331,0,0,-0.0589498969291561
XMR,0,0,0.669226255909098,0.0748094831054017,0,0,0,-0.00952897751995151,0.115025816259492,0,0,-0.0170238070862685,0,0.194967098454631,2.16840434497101e-19,0,0,0,0,-0.0327415460666783
MIOTA,0,0,-0.191780561288823,0.468266801288233,0,0,0.593997804697781,0,0,0,0,0,0.429932960838769,-0.259871141942631,0.657513874736595,0,1.26199734060299,0,0,0.0571331653110216
BNB,0,0.340788642501394,0,0,-0.111512105122841,0.478354756105603,0.624824576391889,-0.149823697432289,0.0408334363634911,0,-0.244593909286239,0,0,0,0,0,-1.17955884277386,0,0,0.520559039010598
DASH,-0.205817655080447,-1.47552870442837,0,0,0.557493006669324,0,-0.295337989197035,2.16840434497101e-19,0,0.381391858206653,1.26063052464041,0.213919549334765,0.344778151498967,0,0,-0.928621494312809,0.195518934369356,0,0,0.155094905183616
XEM,0,1.32252523169763,0.0506037838249627,0.0234988681281544,-0.555633774444605,0,0.432239922067937,0.0392146546194252,0,-0.35739747622524,0.357981006572955,0,-0.0924146470018401,0,0,0,-0.489278462144988,0,0,1.38777878078145e-17
BV010082.Index,0,0,0,-0.119617836717993,0,0.0169172843375423,0,0.0114605608780198,-0.0639877764393524,0,0.0645211562005562,0.0341781727435328,0.125584107424168,-0.0815722637993313,0.0380002365075018,0,0,0,0,-0.0676353313010318
CVIX.Index,0,0,0.181112375994739,0.170445272349384,-0.17982721174841,-0.265765630366863,0.155244738006847,0.0143574487143107,0,-0.116010623291393,0.0249200552414828,0.0798867160691874,-0.182371399645751,0.0829627278743231,0,0,0,0,0,0.128078678410274
DXY.Curncy,0,0,0,-0.0272735000887336,-4.33680868994202e-19,0.0280419981412134,0.0147874477335231,-0.000551312733532067,-0.0300190554654876,0,0.0258879299019309,-0.00584718936563788,-0.00052803594374379,-0.00435684100383308,0,0,0,0,0,0.00676224056271158
SPX.Index,0,0,0,0,-0.0790661769799884,0,0.0554418436880425,0.0134832061546898,0.0440604665464328,0,0,0,0.00679529836318962,-0.0409975228815548,0.0186310661402711,0,0,0,0,-0.134370158566411
VIX.Index,0,0,0,0.461066245406185,0,-0.317798837227594,0,0.0413705473523935,0,0,-0.375275467231622,0.0264784638849986,-0.0615964381403602,0.183760873557231,-0.189101306179719,-0.488278054884737,0.266140213162984,0,-2.33337591348673,0
