,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.179524767359105,0.141545587549911,0,0,0,0.155250513716821,0.0135192081644549,0,0,0,0.342699405804016,0,0.146657733673109,0,-0.174960163786064,0,0,0,-0.0506022011182195
ETH,0,0,1.29230948513804,0.156512519878239,0.198875534066807,-0.381143186276087,-0.171405507962194,0,0,-0.137161902651949,0.488101842081171,0,0.0806494182887318,-0.247491559452015,0,-0.351925305701583,0,0,0,-0.0450386569139839
XRP,0,0.131314999973412,0,-0.329102773910503,0,0.142800582213568,-0.133137399966364,0.0780677059198785,0.500024762958486,0,0,0.16285254117684,0,0,0.401003504658204,0,0.132931967937277,0,0,0
BCH,0,0,-0.567999258844379,0,0.0894168143010067,0,0.021890638877378,0.147636707876091,1.14222359296883,0,0.224385598740002,0,-0.260977543353735,0,0.360366608740825,0,0,0,0,0.129041038219724
EOS,-0.534764565939989,0,0,0.231052522610868,0,0,0.229220739529072,-0.326287045359903,0,0.571876829382869,0,0,0.357626866933702,-0.0946708185224979,0.188670001204329,-0.436363854296269,-0.221176610694091,0,0,-0.0806546482600775
XLM,0,0.178173838169923,0,0,3.46944695195361e-18,0,0,0.0387080230588742,0.0702191257975603,0,0,0.203482114162012,0.127763315941877,0.0781315365597243,0.0596303953613971,0,0,0,0,-0.00531638669005176
LTC,0,0,0,-3.46944695195361e-18,0.249331877657806,0.0234926839497683,0,0.00639157241543312,0,0,0.634871409948609,0,0.100277922000355,-0.239038463334051,0.264667959120936,-0.193348093258428,0,0,0,-0.0548996283232838
TRX,0,0.129750363374535,0.217257684341229,0.614001794504568,-0.726819696240067,0.631946969397218,0,0,0,0.702262784290189,0,-0.131405612707836,0.305182807972503,-0.899130851628228,0,0.592280010026414,0,0,0,0.0709309679949206
BSV,0.237971617580357,0,0.146084266177219,0.562636131526039,0,0,0,0,0,0.148283799501669,0.0309405434708979,0,0.088736810685442,0,-0.247601788692827,0,-0.150987628858482,0,0,-0.0505489174962792
ADA,0,0,0,0.0275174797902396,0.248741165709308,0,0.0482116662129003,0,0,0,0,0.509793399394633,0,0,0.112697549852561,0,0,0,0,0
MIOTA,0,0.0481408424145341,0,0.253046110084428,0,0,0,0,0,0,0,0.108203066862977,0,0.324657413405696,0,0,0,0,0,0.0148599544124761
XMR,0,0,0,0.200250169021568,0,0.298556228911666,0.166203024875581,0,0,0.240013209373793,0.169618221483545,0,-0.10852801247012,0,0,-0.417837837609565,0,0,0,-0.140899589719736
BNB,0.469580042938903,0,-0.210482738868897,0,0,0,0.0871510895295236,0.34188407070758,-0.44655018772829,0,0.384504351715045,0.0890725433867961,0,0,0.331850187443595,0,0,0,0,0
DASH,1.00412425628858,0.22596272574457,0.0309964665167397,0,0,0,0.1383336009014,-0.271376635810468,0,0,0,0.116142406924011,0,0,0,0,0,0,0,0
NEO,0,0,0.769978383483296,0,-0.101649666023506,0.180762087905968,0.389980475629912,0.159528945704434,0,0,-0.00845134325786255,0,0,-0.0834471287675334,0,0,0,0,0,-0.0396134112379181
BV010082.Index,0,-0.693784712661321,0.209208916073878,0.189259215691146,0,0,0,0,0,0,0.283616285075113,-0.482542217782892,0,0,0.498228436855361,0,0.0344595515640169,0,0,-0.169815302435403
CVIX.Index,0,0.0917930701904755,0.166411225925462,0,0,0,0,-0.418230587193771,0,0.362279230473751,0,0,-0.171528919456783,0.109213026971233,-0.34014073866533,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00814802326873743,0,0,-0.0255467617533009,-0.0154789233094539,0,0,0,0,0,0.0298977368766624,-0.000236875683792866,0.0151763538281618,0.00469970121742914,0,0,-0.0119435863245009
SPX.Index,0,-0.110941445630244,0.0481048488802946,-0.012019712314645,0.0640887999586987,0,0,0,0,0,0,0,0,0,0,0.166498083888552,-0.0612109754675227,0,0,-0.128242673814954
VIX.Index,0,-0.325301418298272,0,0,0,0,-0.312421441922058,-0.00677957361234247,-0.120193834800169,0.330633375305952,0,0.0401392427310278,0.927715556727455,0,0,0,-0.228037728268615,0,-3.31532255873974,0
