,BTC,ETH,XRP,BCH,LTC,EOS,BNB,ADA,XLM,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.577233766352139,0.0973078560027098,0.0107264207576396,0.0287780772017676,0,0.0303465565146272,0,-0.217465959580808,0,0.0263954834464376,0.0460093358441249,0.0800858564086459,0.0923098883215945,0,-0.00996697554908618,0,0,0.0317141397012777
ETH,0,0,0.838380937365448,0,0,0.188550097565675,0.0539267173401182,0,0,0,0,4.33680868994202e-19,-0.13996431908467,-0.0192046232726158,0.10246183669728,0,0,0,0,0
XRP,0.659835306980662,0.209649212877342,0,-0.0931355680791899,0,0.00165345108190629,0.0197577150612649,-0.0414631267342353,0.108725872344014,0.165452546514744,0,0,-0.0477299811327624,0,-0.034925479112929,0,-0.123709741547507,0,0,0
BCH,0,0,-0.270338556354612,0,1.56233037212036,-0.124570374579153,0.202634587791927,0,0.691160280858848,0,0,-0.217798266779892,-0.264393483301171,0,0,-0.0967857977228969,-0.0712567425790458,0,0,0
LTC,0.0121766696553103,0,0,0.377372259941875,0,0.131357586919657,0,0.0678827653861,-0.233861603162989,0,0.311199460391113,0,0.164415684955246,0,6.93889390390723e-18,0,0,0,0,0
EOS,0,0.342863069249723,0,0.0678765928210124,0.467192804865834,0,-0.0981067749325934,-0.10157018768808,0,0,0,0.323570387314948,0,0,0,-0.390182576266436,0.120332027310336,0,0,0
BNB,0,0,0,0.0591587971408971,0,0,0,-0.172724847280342,0,0.768773862693222,0,0.256360648096931,0.0976033875178332,0,0,0.0994623355299991,0.274389341772591,0,0,-0.114963646955261
ADA,0,0,0,0.386828832956825,0,-0.203958744986675,0.109200669353859,0,0,0.953905744087679,0,-0.153037522566522,-0.324963521701972,0.310431821241792,0,0,0,0,0,0.0300769613321404
XLM,0,0,0,0.0338760771690301,0,0.0773174154331305,0.131554318283679,0,0,0.311616403122908,0.278240590877897,-0.0940875562963063,0.213861674461349,0,0,-0.376378606989089,0.0636635773438322,0,0,-0.158711693063291
TRX,-0.614710997278008,0,0.521444771670086,0,0,0,-0.105327370396046,0.119783673594276,0.216886556952887,0,0.214416113905441,0.214956279308607,0.231428814432851,0.250674071500382,0,0.131308492346422,0,0,0,0
BSV,0,0,0,0.0780761951474306,0.490947774296223,-0.0281666766813565,0,0.00116801061286441,0,0,0,0.179642509480397,0,0.294309037582666,0,0.0227702242901542,0.157771573828043,0,0,0.0324690663583186
XMR,0.0107643830218648,0.1580088862859,0.941738881994873,-0.0538688064027653,0,0.084814983412949,0.117900082988229,0,0.0426778492075471,0,0,0,0,0.0074949589419866,0,0,0.0508452893130752,0,0,0.0186086329117402
DASH,0,-0.362681197339955,0,-0.41607341837212,1.17237430748131,0,0.225973986821143,0.193013086928867,0.420344377924449,0.0586171271556821,-0.385145838965811,0,0,0.091930678251234,-0.0984941969304054,0,-0.110390460632843,0,0,0
MIOTA,0,0.121473065381942,0,0,0,0,0.110223383139806,0.0837097869635487,0,0.131717486547202,0,0.283987562454388,0,0,0.0235233274778604,0,-0.0958541853368294,0,0,0
NEO,0.503015791615032,0,0,0.0511866739134717,0,-0.0978325519222639,0.0171026662243143,0.460862065784325,0,-0.30387482880185,0,-0.357434558823717,0.844452323537072,0.0431360326697043,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.0552345886208164,-0.0609134198422939,-0.968169906491174,0.2597291362755,0.306834446943195,0.108786854910926,0.122791196965653,0,0.212431216368077,0,0.0227963760544113,1.75674378452561,0,-0.236554398452371
CVIX.Index,0,-0.581847576733794,0,0,-0.00882257273232629,0.298558848675145,0,0,0.267759611602281,0,0,0,-0.427160099042969,0,0,0,0,0,0,0.102280141040262
DXY.Curncy,0,0,0,0,0,0.00307258175214706,0.0111693611464157,0.0196996743121315,0,0,0,0,0.0216917330403811,-0.0691714656612881,0,0.0200546692357145,0.0124236212100614,0,0,0.0111469165736369
SPX.Index,0,0,0.0220036051336225,0,0,-0.0253651562180166,0.0103604466965703,-0.00834846499461098,0,0,0.0512324374455485,0,-0.0193109588900676,0,0.0106885927070492,0.0097869161606167,0,0,0,-0.0954091267686498
VIX.Index,0,0,0,0.308035820624261,0,-0.354925721228546,-0.256423496997116,-0.263062598879963,-0.215445428207291,0,0,0.61847925213549,-0.114212911343268,0,-0.382178882365277,-0.28734599288342,0.427575595511223,0,-1.95525921703797,0
