,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0103715980077588,0,-0.0247937839319278,0,-0.0170742476577479,0.0558548253548627,0.0506706096977538,0,0.305728548072375,0,0.0571663136293274,0.0153758989125201,0,0.465621790159308,0,0,0,-0.0332329328958068
ETH,0,0,0.248251982176568,0,0,0.244735111158032,0.134929125892613,0,0.0258441514823456,0,0.341232212329816,-0.0397460281132302,0.0656605369185264,-0.0545964811252717,0.0371732648665497,0,-0.32059460481905,0,0,0.0653731996839021
XRP,0,0,0,0,0,0.396476996658763,0.0108489182180009,0.259828002042336,0,0,0,0,0,-0.0341447927350901,0.13134446927578,0,0,0,0,0
BCH,0.22340416583413,0,-0.365344835685882,0,0,1.05077618617784,0,0,0.0971738538966031,0,0.0292444425538866,0,-0.0850824869314525,-0.0885001487721315,-0.311194614437349,0,-0.209401554022117,0,0,-0.0949292498465844
LTC,-0.147564979512066,0,0,0.288070055044885,0,0.731274678253793,0.200484722215337,-0.937013412471238,0.191403125887571,0,0.730379824197605,0,0.192517196880643,-0.034851655238274,0,0,0,0,0,-0.0259401855710725
EOS,0,0.052479844460046,0.282515871266029,0.255775720063712,0.124932289436191,0,0,0.277985978751478,0,0,0,-0.309520910400064,0.163887144485245,0.096911938948047,0.0944310472703171,0,0,0,0,0.0788707703288984
BNB,0,0,0,0,0,0,0,0,0.300071761983479,0,0,0,0,0.139641745587061,0,0,0,0,0,0.0432479495724356
XLM,0,0,0.303872016674979,0.0762206910157016,-0.444720270923268,0.686256727788179,0,0,0,0,0.149129651052666,0.281385661105686,0,-0.0626651871147223,0.0718213367918273,0,-0.0910142249292103,0,0,0.044986084872526
ADA,-0.0012725444846635,0,0,0.203424997135389,0.205624033388716,0,0.00343048720753057,0,0,0.541870807948691,-0.00735198915480479,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.400085869037634,0.134379046012076,0.0210013150067399,0.1139956505425,0.129048613087071,0,0,0,0,0,0.0400940874415733,0,0.391564054182004,0,0,0.025763990840145
XMR,0.54307175514901,0.69894444874857,0,0.101119643088852,0.0777143851811358,0,0,0,-0.142267548238277,-0.506916513329415,0,0.586868409945425,-0.0972393363216243,-0.0209768797841411,0,0,0.423128400798913,0,0,-0.122887728379367
DASH,0,0,0,0,0,0,0,0,0.395415247791123,0,0.161117555106976,0,0.00316578598129947,0.074757227404267,0.200402621105648,0,0,0,0,0
BSV,0,1.73472347597681e-18,-0.0829699205550706,-0.833568843102168,1.23597005518676,0,0.0893239577002165,0,0,0,-0.777076538807396,1.45577903044615,0,0.0500340417944275,0,0,0,0,0,-0.118204980781209
ATOM,-0.901607239463559,0,0,-1.3097088781267,0,5.20943381531629,1.11022302462516e-16,-1.90728375737117,-1.59699835130667,0,0,2.55447526437992,-1.12484406279554,0,-1.20466623548703,0,-0.551819322387332,0,0,-0.405837011861758
MIOTA,0,0,-0.0821425936079368,-0.240455278006241,-0.270183192557422,0.765494680432893,0.110221092748768,0,0,0,0,0.266724010762427,-6.93889390390723e-18,-0.0512708870670151,0,0,-0.158609200473744,0,0,-0.219170135995451
BV010082.Index,0.523828199336297,0,0.376203650769568,0.0377603236925949,0,-0.00685274793020728,0.0879690902836995,-0.364669402499905,0,0,-0.26782454031022,0.199955687348646,-0.103896374322475,-0.018594437236973,0.0984503415892626,0,0.0681801581296053,0,0,0.0158636511536463
CVIX.Index,0,-0.390623330337785,0,-0.0214367270769548,0,0,0.0933380727568321,-0.330238808075244,-0.595396555256993,1.0771574407737,0,0,0.00566782144146566,-0.0291424267018301,0,0,0,0,0,0.13050223632742
DXY.Curncy,0,0,0,-0.0181528290837891,0.0144571853312589,0,0.0122886052673567,0,0.0171356058161749,0,-0.0319103119600529,-0.0287080413394516,-0.00666691185303944,-0.000248858844896691,0,0,0.00960555161259965,0,0,0.0111889611039318
SPX.Index,0,0,0,0,-0.0131688431012905,0,0,0,0,0,0,0,0,-0.00520402972458679,-0.00211250298762385,0,0.0235373802739218,0,0,-0.0537826035335228
VIX.Index,-0.0556661173958307,1.47066556200578,-0.906448524460821,-0.63858531438198,0,0,-0.0454566268900268,0,0,1.19757605656149,0,0,-0.435701547881731,-0.0993747335114169,-0.946899971167757,0,0,0,-5.95984369894783,0
