,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.238904400715888,0,0.298221153490445,0,0.0770024811340951,0,0,-0.194721939163665,-0.365673938515512,0.489687935567868,0.195787300607502,-0.396718668469118,0.0338921985133326,0.00591373523322415,0.0281604983067165,0.179012448367923,0,0,0.0272884241828344
ETH,0.00471446892774996,0,0,0,0,0.280345633310448,0,0,0.108885959204353,0,0.17105586427608,0.0623914958657196,0,0.125425458911823,0.161917090521556,0.152193476149769,-0.0800011528135707,0,0,-0.019620686504517
XRP,0,0.169177758458364,0,0,0,0.312874160422754,-0.0229878587519995,0,0,0,-0.0462293812759868,0.15187597786168,-0.0246190775827285,0.126434717827632,0.0896124358445324,0.0559499506267659,0.219527625966707,0,0,-0.0463562241674203
BCH,0.362416383075282,-0.309592334038333,0,0,0.492437714909194,0,-0.0269165156801812,0.442653211355812,0.252811316091554,0,0.0562767305054587,0,0,-0.29052676128164,0,0,-0.266341220308606,0,0,0
LTC,0.0712010792429306,0,0,0.45553536686805,0,0.764163512958908,-0.0413041734465924,-0.731936386969652,0.367376594504352,0,0.356562523541116,-0.127177490558681,0,0,-0.0898135977498888,0,0.352149194697297,0,0,0
EOS,0,0,0.119988964376404,0.221339677751641,0,0,-0.0126319684909706,0,0,0.36509439850008,-0.0529342242697267,0,0.13605238760796,0,0.161678557429487,0,0,0,0,0.0415581846985212
BNB,0,0,0,0,0,0,0,0,0.143443449833677,0,0,0.210992165363708,0.748119211256059,0.102402381238559,0,0,0,0,0,-3.46944695195361e-18
XLM,0,0,0.0439395239855935,0.194889106937765,-0.199078856820369,0.326660176085217,-0.0194446869560919,0,0.0488743375846437,0,-0.154242517568845,0.0909173033991922,0.160428529793028,0.17401757362636,0.155444348455848,0,0,0,0,-0.0641903347032055
ADA,0,0.432886488725287,0,0.257762207878664,0,0,0,0,0,0.648020715630633,-0.329070042645249,0,0,0,0.00732748336779392,0,-0.035001525845428,0,0,-0.0922311784913773
TRX,-0.540205846083136,0,0,0.065499893844933,0.222129266565467,0.331441005002694,0.103524449349293,0.0326178528748713,0.0104063699477363,0,0,0.372842055087858,0,0.0639302789462509,0,0,0.147559462112452,0,0,0.0200699866108818
XMR,0.435905137140675,0.447898991798687,0,0.0550064626010477,0.432269478237233,-0.772897251810172,0,-0.064684122439823,-0.359302745110269,0,0,0.363306832785181,0.902838834280783,0,0.0853155523306032,-0.324275889125015,0.0365172867308177,0,0,-0.0703021853282371
BSV,0.301882421469368,0,0.175998770831118,0.039880576695499,0,0,0.10533344855688,0,0.0106038372396829,0.408886182937428,0.0586131002455158,0,0,0.0649636141034302,-0.0609182817697625,0,0,0,0,0
DASH,-0.298643343887575,0.178793914949294,0,-0.0714461966043517,0,0.4684475330116,0.18501638622741,0,0.0505467353442493,0,0.290165455181375,0,0,0,-0.066241743270714,0,-0.201392617815461,0,0,0.00445690328324667
MIOTA,0,-0.232921140587126,0,0,-0.314819207073905,0,0.26467647701791,0.319747067023117,0,0,0.0318906185210305,0.626085614218821,0,0,0,0,-0.264578329386374,0,0,-0.109381818623928
XTZ,0,0,0.389656074101653,0,0,0.188629295548814,0,1.32958349201421,0,0,0,0,0,0,0,0,0,0,0,0.0737308858995523
BV010082.Index,0.149069790138682,0.536844975046107,0,0.231186446631907,0.024632313307379,0.045578995441489,0.24695119329859,-0.161392287377358,-0.383484893251417,0,-0.295649002978122,0,0,-0.0369241558332929,0,0,0.0829061610322992,0,0,-0.0399826748679116
CVIX.Index,0.494733118669852,-0.323690924383337,0.627340652400811,0,0,-0.996550271414499,-0.082922513171616,0.441736456932068,-0.267359339220955,1.11473553190414,0,-0.543960729274318,-1.38777878078145e-17,-0.183778327726477,-0.11211303300512,0.278355029827096,0,0,0,0.161491296581818
DXY.Curncy,-0.028980893302577,0,-0.0240774635075183,-0.024036182726233,0.0189037782129877,0,0.0112157593257863,0,0.0302957260281868,0,-0.0275257190483388,0,-0.017123205828436,-0.00957746375042131,-0.00458711325816289,0.0351469503849643,0,0,0,0.00980063902524837
SPX.Index,-0.04301093252044,0,0,0,-0.0119049503238836,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0137140548368311,0,0,-0.00195742462925821,0,0,-0.0626610416270645
VIX.Index,0,0,-0.395267011716429,0.0458992974762671,-1.38777878078145e-17,0,0.324536837404934,-0.295079147915093,0,0,-0.679398823390649,0,0,-0.100439283852171,0.398985058985559,0,0.177290100679439,0,-7.25989356374096,0
