,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0964703946351349,-0.0456663454838946,0.472250132491577,0.0890116260981985,0,-0.150520452271156,0,0,0,0,0.477981961496613,-0.21862879142383,0,-0.0740839528505764,0,0,0,0,0.0808419210240678
ETH,0.0727168419978992,0,0.347053104785125,0.0622273574818024,0,0.455632460071662,-0.0629869356449437,0,0,0,0.0485343763717345,0,0.000989614454039669,0.0454536075773424,0,0,0.278720087889565,0,0,-0.125998945958356
XRP,0.25108050093262,0,0,0,0.0648039736413065,0,-0.0293047236193331,-0.0261141193044679,0,0.771276180870796,0.0239132515791025,0,0,0,0.0430787568958949,0,0.244660212184596,0,0,-0.0694148469423582
BCH,0.733979859044869,3.46944695195361e-18,0,0,-6.93889390390723e-18,0,0.0231469226744882,0,0,0,0,0,0.235058325637298,0,0,0,0,0,0,-0.0113212734673924
LTC,0,0,0.00549209798408727,0.0364577900656827,0,0,0,0.214966623875533,1.38777878078145e-17,0,0.0146609214419944,0.586578188326177,0,0,0,0,0,0,0,-0.00355162915421139
EOS,0,0.18153358841082,0.22380312745752,0.24152259169007,0.239125813658593,0,0,0.0599785067257164,0.0228265228427763,0,0.0126402414209635,0,0,-0.126599951375014,0.00768607902476636,0,-0.242308111030737,0,0,0.062376252681703
BNB,-0.26988228390864,0,-0.169169161681802,0,0,0,0,0,0,0,0.0877081017783052,0,0,0.881455953356732,0,0,0,0,0,-0.152759505425167
XLM,-0.357655335820317,0.108257029538734,0.207904807718107,0.321832121342064,0.13703316308028,0,-0.0537789054361199,0,0.363821713743623,0,0.00543782231489969,0,0,0.121253117420968,0,0,0.166650861383729,0,0,-0.00102288059377692
ADA,0,0.107591421310802,0.489622078564053,0,0,0.397739723389334,0.0430653979637311,0.0613012270089084,0,0,0,0,-0.0427615605645856,0.10048617165319,0,0,-0.188035147062029,0,0,0
TRX,0,0,0.0590774816912037,-0.172314704196238,0.217840227666561,0,0,0.152438691149263,0.0467544995495374,0,0.0471513599874234,0.189546097971343,0,0,0.363235849554474,0.00901145356816008,-0.0439026251290867,0,0,0.140437278027115
BSV,0,-0.0913008963167058,-0.272652144552955,0.503884225678901,-0.2915636876258,0,0,0,0,0,0,0.901863575211946,0,0,0,0,0,0,0,0.306517582526538
XMR,0.229152791856416,-0.0851924235953822,-0.0917457193136013,0,0.280800367653447,0,-0.0941895441975484,0,0,0.271545776900991,0.0572796070392317,0,0.204839142461293,0.0944471019594164,0.24365230040691,0,-0.0730370163477774,0,0,-0.0394166886205663
DASH,0,0.306706482755211,0.0798062267570603,0.271837750466104,-0.0221555405319924,0,0.176497841313912,0,0,0.125308976889499,-0.0344973599656152,0,0,0.0771455353645255,1.73472347597681e-18,0,0,0,0,0.0644157159597418
MIOTA,-0.135150053242091,-0.584456830997185,0.632530015622264,0,0,-0.20080165963783,0.10170773678648,0,0,0,0.0424047707673292,1.12195075002724,-0.0203704865693188,0,0,0,0,0,0,0
XTZ,0.282982410152877,0.170935959629948,0,0,0.0182478345504019,0,0,0.894762127845792,0,0,0.0660722175498368,0,-0.0482216263098124,0.0914955777168901,0,0,0,0,0,0
BV010082.Index,0.125931082087646,0,0,0,-0.154309166145216,-0.268648679531436,0,0,-0.153730592033194,0.265881929383538,0.031972052307053,0,0.108737813567124,0,0.00228278768275291,0,-0.170080911131489,0,0,-0.0851667411027401
CVIX.Index,0.118080749796871,0.288239456591337,0.179643724413016,-0.282614047984713,0.0606596754414185,0,0.0817746112945983,0,-0.282656870502891,0,-0.0463248996225441,-0.0640686155207034,0.18493885464455,0,-0.193790305770774,-0.401590794500971,0,0,0,0
DXY.Curncy,0,0,-0.0193740265841391,0.00450214358502379,-0.0206384241445488,0,0,0.0229301383342958,0,0,0.000285919404805293,0,0.0111853493389215,-0.00958737285084403,0.0084409110148144,-0.00810886285468741,-0.0206860510381348,0,0,0.0111706482924454
SPX.Index,0,0.00774812319273946,-0.0268666776733691,0,0,0,-0.0307313948420551,-0.0122014594244151,-0.0546830106815559,0.0392897397759163,-0.00236331935420828,5.42101086242752e-20,0.0272355610776598,0.0127054226324077,0.0160538797485214,0,0,0,0,-0.0679391703882644
VIX.Index,0,-0.391097501294704,0.620966176279191,-0.115281581207656,-0.469966994445604,0,0,-1.09671391193697,-0.051641906935718,1.26587159254394,0.159347580940023,-0.41179799943996,0.486944540522354,0,0,-3.77352947347552,0.212131750791929,0,0,0
