,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,TRX,ADA,XLM,LEO,XMR,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.02897379067657,0.472948152459771,-0.472391491127606,0,-0.142781130515111,-0.311524442692803,0,-0.832785925496851,0,0,0.658690500232684,0.0579010701309734,0.679547036632411,0.17357241274691,-0.0647096955822107,0,0,0,-0.0265346469196227
ETH,0.304222195333529,0,-0.0302664683854514,0.18908780393211,0.433281868622419,0,0.138211049014296,-0.151703168845476,-0.33995358689432,0.371680882386691,-0.0994764489676415,0.0606059642295036,0,-0.0455744778000167,0.146451753093995,0,-0.016626671622992,0,0,0
XRP,0.0151906628446945,0,0,0,0.400067516349453,0,0,0,0,0.101927502305494,0.227484875254521,0,0.0502055805108462,0,0.106008554133629,0,0,0,0,0
LTC,0,0.178157164943939,0,0,0.16090104260778,0.514835551875609,-0.157350727440999,-0.130809342760777,0,0,0,0,0,0.112528809674405,0,-0.149180180114317,0,0,0,-0.106370393506705
BCH,0.181141046433498,0.407684784211855,0.122020086630482,0.163626923269664,0,0,0,0.0881435350007726,0,0,0.12948378982685,0,0,0,0,0,0,0,0,0
EOS,-0.0579059577986738,0,0.459474478261772,0.111323379655755,0,0,0,0.152638315938021,0,0,0.160495415587368,-0.0224524486817984,0.0941463622558622,0,0.105455012017283,-0.120240199293989,0.226142533393724,0,0,-0.244466376526025
BNB,-0.353571165855957,1.87885823083243,0.0719690383598645,-0.234084727368101,0.0262974526187831,0,0,0.134322457445847,0.814520149332989,-1.34908116111398,3.46944695195361e-18,0,0.38993176805338,-6.93889390390723e-18,-0.722027516588437,1.19991255654437,0.0548402324259743,0,0,-0.0347613510647906
BSV,0,-0.66235985970437,0,0,0.821860552947575,0,0.0264965588675037,0,0.911699192617907,-0.271337461053205,0,0,-0.223756648915093,0.835682284617875,-0.371750479911896,0,0,0,0,0
TRX,-0.337093506787691,0,0,0.00697759611344616,0,0.00952091750942569,0.0408698561502921,0.094570779329153,0,0.464173343398116,0.199159813258925,0.206054911072584,0,0.2203283352012,0.338972081423208,0,0.157854115627848,0,0,0
ADA,0.0791359818300412,0.321583474298113,0.351468812248824,0,0,0.0511605615860125,-0.0879139168524843,-0.270854077178081,0.569779995130549,0,0.0710505965858006,0,0,0,-0.166510700443713,0.167039653018387,0,0,0,0
XLM,0.0192117718592656,0,0.369946776734516,0,0.290645723141367,0,0,0,0,0.111507563489802,0,0,0.0795314694666386,0,-0.028389527574687,0,-0.315962866039535,0,0,0
LEO,-1.38777878078145e-17,6.93889390390723e-18,0,0.367166644020922,-0.640650447743552,0,0.202284658407942,0.522690817304915,0,0.545869160979483,0,0,-0.120507104257623,-0.272949863516471,0.130202944317382,-0.248923709643755,-0.638529698729597,0,-1.54050393742398,0.0584831415852809
XMR,0,-0.662928283167443,-0.304501276153019,-0.170503184534045,0.103663807770297,0.283525229678922,0.603063534778077,0,0,0.25670127392308,0.534733430976775,-0.299186864773575,0,0.891528553513615,0.119100032014268,0,-0.152293184825608,0,0,0
DASH,0.291014526418427,0,0,0.095319552000543,-0.141471034978896,-1.38777878078145e-17,0.0742145342242157,0.0715387501995754,0.243500703158939,0,0,0,0.153748548057748,0,0.0765755187995572,0.000176728464398791,0,0,0,0
NEO,8.67361737988404e-19,0.282401436903874,0,0.209997237204955,0,0.528416766217611,0,0,0,-0.129481980975917,0,0,0,0,0,0,0,0,0,0.147986011169117
BV010082.Index,0,-1.01054603969347,-0.360198473911987,0,0,-0.0455481526610144,0.410460035976762,0.246916960641837,0,0.976963852532735,0.269122026418916,-0.342306797090621,-0.708204542323414,0.693018271510919,0.116331151850418,0,-0.640604112146604,0,0,0.120729327992861
CVIX.Index,-0.0782608686245964,-0.145093867795545,0,0,0,0,0.0982953576120213,-0.114990962929064,0.225753301178136,0,0.0318274400518376,0,0,0.214023028247042,-0.109494972520559,-0.306577801346102,0,0,0,0.413185713493616
DXY.Curncy,0.0136779068251026,0,0,0.00890578887512332,0,0,-0.00672411567800765,0.0277117746625713,-0.0516638547492341,0,0.0170190128964598,0.0194674511656662,-0.012377213650709,0,-0.00830640070211689,0.0591644503334778,-0.120361489838885,0,0,-0.00189750529437185
SPX.Index,-0.100983424579919,0.0614956220208228,0,-0.00908000442026515,0,-0.071796533842405,0,0.0327138679918016,0,0.0587252631974922,-0.0130541182516978,-0.045989228525538,-0.0123794426597938,0.12419926973776,-0.0036924424966185,-0.0616163357818672,0,0,0,-0.0727502004556481
VIX.Index,-1.13665649196515,1.54272374324595,0.766560732011714,-0.434213579285902,0.557404150919293,-0.957760095286748,-0.383915291686246,0.139278115982604,-0.426476522577302,0,-0.671986405407576,0,0.210676603806691,0.918572316970628,-0.0491703712364202,0.268416719344158,0.512134806432521,0,-2.88616137985544,0
