,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,XMR,HT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.024457010822863,0,0,0,0.0168307210292561,0.0331822729012142,0.049714610809441,0,0,0.222161291512988,-0.0849349776284961,0,0.215133841506049,0.0202257826251634,0,-0.0112717401698173,0,0,-0.0240361674154586
ETH,0.359977787369923,0,0,0,0.0394659588248951,0,0,0,-0.0236509609697848,0.0833296776925385,0,0,0.457784910069638,0.0244724579835685,0,0.0839892052623552,-0.186118956891999,0,0,-0.0315095662767205
XRP,0,0,0,0.0517592375726177,0.0352502440447919,3.46944695195361e-18,0.204444989032369,0,0.166686899027069,0,0,0,0.213804551980817,0,0,0,0,0,0,-0.0334101621385003
BCH,0,0,0.318938503447835,0,0.307793115008926,0.0844028038989441,0.0391329221179721,0,0,0.0287765817983341,0,0,0.0316232666967775,0.253929885131955,0,0,0.0314321964974527,0,0,0
BSV,0,0,0,1.06838080797023,0,-0.022165951769243,0.260329887883278,0,0.163737359305829,-0.200921254630098,0,0.0148852140428572,-0.18228550293707,-0.262843449440882,0.0699988687981965,0,0.254370237066206,0,0,0
LTC,0,0,0,0,0.0895755267699325,0,0.424066244829723,0,0,0,0,0,0.440954499914408,0,0,0,0,0,0,-0.0469496688456196
EOS,0,0,0.105123566415692,0.694030950312678,0,0,0,0.147929624022791,-0.293666255546698,0,0.125937281642093,0,0.175164329122792,0,0,-0.250230437349161,0,0,0,-0.0145019969694205
BNB,0,0.0368050719264706,-0.0946476097447277,0.369364715920006,0,0.0317591308857447,0.0949849730399507,0,0.101256898139027,0.124500729016188,0,0,0,0.0705844808950994,0.126771673861942,-0.189933186000862,0,0,0,-0.0369933818143763
XTZ,0,0,0,0,0.198644083871385,0,0,0.217434133048796,0,0.655913190759718,0,0,0,0.0310707191267588,-0.0881107301198986,-0.193890408449636,-0.467266492713842,0,0,0.022257996250225
LINK,0,0.118869813187821,0.5349306454356,0,-0.107701016193344,0,-0.144900149453122,0,0.509835069084394,0,-0.356455091777293,-0.58109414565503,0.437146469650527,0.239518809383531,0.390227494985317,0,0.509672506908305,0,0,-0.0636712091866731
ADA,0,0,0,0,0,0.443033460271551,0.208747511981851,0,0.175699903708387,0,0,0,0.0741156243003338,0,0.0693753985615114,0,0,0,0,0
XLM,0,0,0,0.295100190847176,0,-0.209151573224549,0,0,0.028261966109655,0,0,0,0.461452496743447,0.11394490961203,0,-0.130724578618455,0.0636084544924995,0,0,-0.0518827905274071
TRX,0,0.0715302493857968,0.285533732882507,0,0.088843802786257,0.168911097822521,0.242108853341523,0,0,0.121063810296339,0.331314291428879,0,0,-0.0769396307732607,0,-0.0180719760904482,0.0956298652080942,0,0,0.0807844101463655
XMR,0.666340779445798,0,0,0,-0.145740657349668,0.299728064719907,0,0,0.0350266027414233,0,0,0.109423493041455,0.225410857928649,0,0.0214863061178085,0,-0.0336359185822548,0,0,0.0211198008962196
HT,0,0,0,0,-0.104971596004776,-0.103686507316281,0,0,0.305788587888554,0.106245393657903,0,0.43415592580986,0,0.208744658491745,0,0.140420669859474,-0.0110408262153117,0,0,0.0100881099771471
BV010082.Index,0,2.25154292158834,-1.18995295074876,1.66181968675791,0,-0.531118116192066,0,-2.29086203915373,-0.0037179046579365,0,1.47566449221611,0.349171155068498,-1.8817124332153,-0.358580487258496,0.397539520454699,0,0.30124647424074,0,0,-0.0843033297308468
CVIX.Index,-0.999353315815236,-0.817036650484346,-0.174529447292555,0,0.0618789533102371,0,0.575717445727538,-1.73472347597681e-18,-0.161734533022798,0.447513916897638,0,0,0.632469208026485,-0.493867157875681,0.215391073957211,0.231541215552782,0,0,1.92230433512046,0.23589109130137
DXY.Curncy,0,0.0414948963498191,0,0,0.0195787423034888,0,-0.0923058647298556,0,-1.73472347597681e-18,-0.038431206075028,0,0.0710818495812306,0,0,0.0205233773658781,0.00668917163491158,-0.0181917676136607,0,0,-0.00545138852696146
SPX.Index,0,0,-0.014293517976558,-0.0264376921302632,0.0150436862970268,0.143870089341295,-0.0746019081515602,0,0.0507821558218911,-0.101700726622903,0,0,0,-0.015257136201723,0.0242377021061897,0.0550640143498415,0.106794542961688,0,0,-0.111028507917723
VIX.Index,0,0,-0.371872446482904,0,0.178324371554121,0,0,0,0.271860360701831,0,0,-0.184655802729025,0,0,0.135380439217689,0,0,0,-3.6154690784969,0
