,BTC,ETH,XRP,BCH,STO,LTC,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,HT,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.179579996993784,0,0,0.140224705749582,0,0.241166236392475,0.22978082470811,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.397189704838263,0.0980841277772524,0.00121631294183265,0,0.209714089175838,0,0,0.327233828421132,0,0,0.0441239587127223,-0.0227702484166778,0,0.00126067102915812,0,0,0.511100978878202,0.120643264849504
XRP,0,0.2934645666759,0,0.0646836951212006,-0.0114968293498582,0.153126209124314,0,0.179593448276568,0,0.0446048772818897,0,0,0.0302189704458844,0,0,0,0.0226525111013004,0,0,0.00198420982367957
BCH,0,0.270884005407237,0,0,0.00804087126633942,0.284349518317506,0.361616039660698,0.0186848968491552,0.14278085462364,-0.0560693569422851,0,0,0.015418784748486,0.0384321584107334,0,0,-0.0368808792920904,0,0,-0.0089739409541011
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.00843632428149219,0,0.105287164881091,0.293245835638173,0,0,0,0,0,0.1403217629833,0.39758859136382,0,0.135804581692566,0,0,-0.0412261624741263
BSV,0.666226773639573,0.0536208223782865,0,0.0459065215212288,-0.0112862611308342,0.165488292873083,0,0,0,-0.370095136656847,0,1.42524034836905,-0.187003562639336,-0.00302989401779555,-0.353368825199614,0.124245158861137,0,0,0,0.0245095869597531
EOS,0.242124822522789,-0.129736492663174,0.85552148682317,0.279642737934258,0.0109287778457774,0,0,0,0,-0.0411122423181236,0,0,-0.000742549226588094,-0.194373309109859,0.116522230054162,-0.0936178186166162,0.0614553131213671,0.505551960378067,0.685131815559507,0.125043836622727
BNB,0,0.276799240801338,0.480805022167725,0.292779400376185,0.0151243950571927,0,-0.10073669456273,0,0,0.0465705847066154,0,0,-0.0431000124280365,0.0966631964702182,0,-0.16650349769382,-0.0300432679277026,0,0,-0.0559225159546233
XTZ,0,0.295806462674834,0,-0.141818039999701,0.0143951441408661,0,0,0,0.764233930860835,0,0.913305958727025,0.141282859623589,0.148943561020751,0,0,0,0.04974509768657,0,0,0.0182547598515369
LEO,-0.608540106695129,0,0,0.120966173943311,-0.00102460764827155,-0.422933204362298,0.236387400882735,0,0.0644457843694272,0.300145340780298,0,0,-0.103224187541369,0.149426187143197,-0.0083396086202471,0,0.0912300368064862,0,0,-0.0222356068221134
XLM,0,0,0,0.0490896435978811,0,0.331684694719272,0.0458693007335635,0,0.154436639567656,0.113719024928126,0,0,0.0860949658057587,0,0.0441066862838865,-0.0180473462443589,0,0,0,-0.00833147619944083
TAGZ5,0,0.808303387522017,0,0,0.00535152942393648,0,0,0,0,0,0,0,0,0,0,0.0458076766042764,0,0,0,0.039865554929254
HT,0.585232660177518,0,0,0,0.00531094658879288,0,-0.149893835631298,0,0.295263183930207,0.154803776633106,0,0,0.119222203902796,0,0,0,0,0,0,-0.0330698324986684
TRX,-0.132682588728384,0,0.299899833124116,0,0.0111521357076813,5.55111512312578e-17,0.26804298766805,0.331714059440423,-0.482950879792149,-0.0237955341955825,0,0.617946899534165,-0.061216162833156,0.356404197466461,0,0,-0.0798225330107189,0,0,0.0406893071937585
BV010082.Index,0,0,0,0.924655712955568,0.0551822158903886,0,0.857041596856753,-1.2248451564912,-1.32981005606271,-0.0551461989807385,0,0,0.0240043002008155,0.543790063434706,0,0,0.0602856015166379,0,0,-0.0493463336085126
CVIX.Index,0,-1.74476936497488,0,0,-0.0703922942605074,0,0.182408836546415,1.58631183797659,0,0.113983029441543,0.830198515422693,0,0,0,0,0.510582765516053,0,0,-1.2745907298071,0.216410278988992
DXY.Curncy,0,0,0,-0.0594700196622982,0.00582273797481108,0.000742045681402301,0.0147512476017045,0.0835141381052899,-0.135453026098467,0.0290725985538644,0,0,0.0414009899597558,0.0563568176115324,-0.0161767979498229,0,-0.0363721178671324,0,0,-0.0150211817730043
SPX.Index,0,0.257921915628305,-0.155408998146315,0,0.00433227241399541,0,-0.0439584642755308,0,0,-0.0970363959454372,0,0,-0.00335077128247813,0.0337116228622158,0,-0.00500038963437691,-0.0416721780676709,0,0,-0.260676810393708
VIX.Index,0,0,0,0,0.00428254580281856,0,0,0,0,0,0,0,0.0401975868051858,0,0,0,-0.157589772344654,0,-3.27042616863806,0
