,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,LINK,OKB,CRO,XLM,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0479148167057648,0,0,0.043150105767802,0.013251806440199,0.356879367526275,0,0,0.162672692857308,0,0.110174049850275,0,0,0.148359268739641,0,0,0,0,0
ETH,0.0866052246330637,0,0.135238700302336,1.73472347597681e-18,0.274434542242321,-1.38777878078145e-17,0,0.322910330918404,0,0,0.246978560701088,-6.93889390390723e-18,0,-0.038915642613985,0.332456392587497,0.283096052381451,0.117368353303437,0,0,0.0369522936155226
XRP,0.163366393491065,0,0,-0.128153935688059,0,0.390845538004214,0,0.08294089765923,0.150918120464146,-0.150566072760818,0.177849145955495,0,0.0618309665031258,0.0168692091487294,0,0,-0.101071839570309,0,0,0.00891697935899787
BCH,0,0.43346094298065,0,0,0,0.426894773727805,0,0.161294247131429,0,0,0,0,0,0,0,0,0,0,0,-0.0436310247402601
BSV,0.281777852006879,0.206245905461241,0,0,0,0.277963975275739,0,0,0,0.196936187626552,-0.440360936395325,0,0.0625289692407654,0,0,0,0.0576223049177246,0,0,-0.01593125361047
LTC,0.148139718312707,0.00384582173878576,0.384361074825027,0.319102489573331,0.0934900318624224,0,0,0.0245357670585926,0.152219445313,0,-0.219581464090421,0,-0.0731659622036993,0.121450276503537,0,0,0,0,0,-0.0156879341987661
BNB,0,0.224175523548685,0,0.0889075807437612,0.132728269159932,0,0,0,0.0888691505291751,0.13209563179439,0,0.0390370802869036,0.0975740494543561,0.215206651713105,0,0,0.102140623102498,0,0,0.0868137551552126
EOS,0,0,0.434979854371105,0.054760489659994,0,0.0620682415517182,0,0,0.362832225938134,0,-0.189964365791121,0.414826426470344,-0.20642803901733,0.0381077885857451,0,0.48368152168585,-0.033263164971631,0,0,-0.0110277166201355
XTZ,0,0,0.228984764540698,0.188368818685523,0,0,0,0,0,0,0.641918409153853,0,0.0332330868558169,0,0.0400950375759261,0,0,0,0,0.0932136770527202
ADA,0.498796726184274,0,-1.48683199611142,0,0.199826170887156,0,-6.93889390390723e-18,0.549781331258905,0.0982776298894423,0,0.689931736183068,0,0.328229100961319,-0.0250042589479044,0,0,0,0,0,0.189704969281716
LINK,0.120882377849756,0.358669206040305,0.429015600016159,-0.262680892834873,-0.446558983728446,0,0.0958686859259721,-0.227325063117774,0.308552985363944,0.320757221183835,0,0,-0.110349993206101,0.148062720715001,0,0,0,0,0,-0.137683070019448
OKB,0.670558027912855,0,0.200174230003955,0,-0.209029165367024,0,0,0.125245749828671,0,-0.00908281845675638,1.73472347597681e-18,0,0,0.165415117276881,-0.101382341994414,0,0,0,-0.754329953458544,-0.170330410884576
CRO,0,1.11022302462516e-16,2.26589338702108,-0.742972709942164,0,-0.366015931344174,0,-1.08276522987775,0.314563059240502,0.637959926986024,-0.868532104496566,0,0,0.259903347274882,0.446752098017561,1.34543318969087,-0.269055330474174,0,-1.8329869727305,-0.589178689924359
XLM,-0.237964934554261,8.67361737988404e-19,0,0.190559506170275,0.114408668473362,0.0126116722759951,0,0,0.304647798912209,0,0.06351283892697,0.458380281583981,0,0,0.0536647205098796,0,-0.346960520696397,0,0.496146453343539,0
XMR,0.290424079256955,0,0,0.0831396908110861,0,0,0,0.200119490573127,0.156434262281278,0,0,0,0,0.105755162949651,0,0,0,0,0,0.0942578648100693
BV010082.Index,-0.463762010472073,0.272919391010362,-0.125003690765741,0.168348059986961,0.170082180392503,0,-0.189202186927803,0.28195776760256,-0.177116652992021,0.126389002377308,0,0,0.0362427224318134,0.0373323890410351,-0.0787236797098957,0,0,0,0,0.0452209460310936
CVIX.Index,0,0.25427579353318,0,0,0,-0.409388702543256,0,0,0.320291822195735,-0.345696219353157,1.38777878078145e-17,0,-0.0674730380144481,0,0.122311228280734,0,0,0,-1.58799346874769,-0.38517124500049
DXY.Curncy,0,0,0,0,0,0,-0.0121423915958546,0,0,-0.00481515341137247,0,0.0196519255282255,0,0,0,0,0.173115660499612,0,-0.257747790769706,0
SPX.Index,-0.0110590855798665,-0.0246909385143237,0,-0.0423953278409748,0,0,0,0,0,-0.00717436369415898,0,0,-0.0367223339353881,0.0662689554867072,0,0,0,0,0,-0.177037158770395
VIX.Index,0,0.96785991814985,0,-0.698791355312995,0,0,0,0,0,0.474837289160105,-0.370851304647074,-1.05969420564963,-0.553095979137368,0.251621497278165,0.231235770897506,0.347543860913446,-0.547636061516317,0,-3.51428615117751,0
