,BTC,ETH,XRP,BCH,BSV,LTC,ADA,BNB,EOS,CRO,XTZ,LINK,OKB,XLM,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.585277617590691,0.0257783833845021,0.100677555940825,0,0.0614849771549875,-0.053077134201071,0,-0.0933180645310176,0.103173438591309,0,-0.0275515929391416,-0.0425202068326551,0.0495785486103841,-0.0554373377314896,0,0,0,0,-0.0147846414136003
ETH,0.71484427812579,0,0,0,0.149106529181509,0,0,0,0,8.67361737988404e-19,0.143733122915567,0,0.248544007839747,0.0440884285898437,0.0105637961555342,0,-0.134317499895059,0,0,0.0452802287534534
XRP,0,0,0,0,0.0434341697949076,0.369038990501978,0.172537586599355,0,0,0.0481736298454267,0,0,0.0419170845504125,0,0.168141215080447,0,0.0319081609382368,0,0,-0.0130446813455059
BCH,0,0,0,0,0,0,0.00190339494413955,0.701565195132367,0.0224366398980553,0,0,0.142529991262131,0,0,-0.170766430633637,0,0,0,0,-0.04430836833686
BSV,0,0,0,0,0,0.532807702401841,-0.174566432232394,0.204918902900097,0.290562957321555,-0.0217592280655709,-0.260020970473778,0.398381003296759,0.0294742441637103,0,0,0,-0.0587747129058363,0,0,0.0557059048102494
LTC,0.335703381941357,0.129165213663947,0.0973732132733822,0,0.193238565643271,0,0,0,0.0739254296852156,-0.00479663740548007,0.0410367673422765,0,0,1.38777878078145e-17,0.0461633745105134,0,0.070853794345852,0,0,-0.0286694988471271
ADA,0,0.750589870290279,0.517615059336893,0,0,0,0,0,-0.210634343794431,-0.11399577241193,0,0.0267772468902551,0,0.0624162778318338,0,0,-0.123241564643813,0,0,-0.0815332199553329
BNB,0,0,0,0.180728945662182,0.209036385458584,0,0,0,0,0.00914889622508898,0,0.00475463261318203,0,0.15212014357087,0,0,0,0,0,-0.0322824471576525
EOS,0,0,0,0.0210678081480109,0.16565147385052,0.14653117248713,0,0.372558279482829,0,0.0665604797335456,0,-0.00325892434380097,-0.0283243512846521,0,0,0,-0.0765445256056382,0,0,-0.0806514759001941
CRO,0.774386240336607,0,0,0,0,0,-0.13598165760256,0,0.304405467633574,0,0.246064559712873,0,0,0,0,0.633872465849092,-0.352594564775658,0,0.0587905474099147,-0.0257797767390636
XTZ,0.603804074024484,0,0,0,-0.323143813330832,0,0,0,-0.0419016146304392,0,0,0.0966028291916531,-0.153615414716426,0.619011379927929,-0.0120229224535907,0,0.137605857154961,0,0.787965003817059,0.0830982400391262
LINK,-0.28570761862866,0,-1.11123571717637,1.22882248136312,0.408103941645165,0,0.342561639356282,0,-0.836854123956662,0,0.57837486883957,0,0,-0.232293354428999,0.404697153628875,1.01760801809355,0.0135624268622814,0,0,-0.213862965779631
OKB,0,0.881855306959271,0.240621776406617,0,0,-0.498250269450515,0.309394792839972,0,0,0.299808309234936,0,-0.288817166764164,0,0,0,0,0.0586736168163143,0,0,0.0707000748043691
XLM,0,0.0514783938494509,0,0,0.0238271892810945,0.410322737995077,0.204283311955767,0.80023358983639,-0.0837441161147454,0,0.077178320454963,0,-0.0204757086762685,0,0.156023936539981,-0.67101348992339,-0.176502533611307,0,0,0.0466126089147447
LEO,0,0,0,-1.44494312340698,0,6.93889390390723e-18,0.0807418594234225,-0.103396959313542,0.706224049484028,0,0,0.46202350812841,0.0833881393896591,0.831123414169022,0,-1.17173889952478,0.14801006816194,0,0,0.249968139292618
BV010082.Index,0,0,0.170937560727087,-0.255888796706195,-0.362116808742449,0.519739841386502,0,0.443967144791378,0.103885642165017,-0.0863613597230576,0,0.138447419841304,0.157037500398834,-0.434089842673708,-0.0986018414553692,0,-0.115323641835217,0,0.437160516784277,0.132605591836871
CVIX.Index,0,0,1.00414841532657,0,-0.765792445515835,0.583472813908184,-0.365866789757133,0,0,-0.108979965487136,0.252593383542353,0,0,-0.336849891680902,0,0,0,0,-1.117011813263,-0.192700061769354
DXY.Curncy,0,0,0,0,0.0238024621113555,0,-0.0234370377620294,0,0,0,-0.0913262866296002,0,-0.0119494860367834,0,0.0447299999657086,0,-0.0721676456142463,0,0,0
SPX.Index,0,0,0,0,0,0,-0.0852558639231279,0,0,0.064561663431116,0.126431079699223,0,-0.0699050626962854,0,0,0,0,0,0,-0.151909989429423
VIX.Index,0,0,0,0.670931202636965,6.93889390390723e-18,0,-0.740097170495904,-0.296477822871083,2.77555756156289e-17,0.159047678803663,0.131144711213939,-0.633853074277369,-0.225649593268823,0,0.739649884145731,2.32696705146861,0,-1.97704812828108,-4.31471466297974,0
