,BTC,ETH,XRP,BCH,ADA,BSV,LTC,BNB,CRO,EOS,LINK,XTZ,XLM,OKB,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.175590729758195,0,0,0,0,0.0367480330883749,0.0310506297825973,0,0,0.0339593757060291,0,-0.0789200237796918,0.124053595354405,0,0,0,0,0,-0.00940287130921199
ETH,0.143121966761168,0,0.345419558543157,-0.130161429723435,0.00149688905445618,0,0,0.0618681954429344,0.215889080849687,0,0.104179430247936,-0.0915911244750421,-0.102514641750062,0,0,0,0,0,0,0
XRP,0,0,0,0,0.12980025878333,0.0851282416969465,0.248522730334024,0,0,0,0,0.000725118543799353,0.0925892753523962,0,0,0,0,0,0,0
BCH,0,0.0165972045325201,0,0,-0.0711087775174699,0.122033362467371,0.67264503833969,0,0.0301619157777647,0,0.0378910653774604,0,0,0,0,0,0.0948676079191825,0,0,0.00577861518410088
ADA,-0.389110027622759,0.358612484939753,0.223996012814275,0,0,0,0.247750698738095,0,0,0.819881544013527,0.15842761179976,0.0917908845878236,0,0,0,0,-0.959981078611942,0,0,0.0251781747171708
BSV,0,0,0.110588019673666,0.480319740578066,0.0990652830800647,0,0.0740125606275477,-0.266836220990494,0,0,0,0.00334586944194197,-0.0347309778229144,0,0.344712615262305,0,0.149718849446494,0,0,0.0398851715605165
LTC,0,0,0.213478449922897,0.680709459142035,0,0,0,0.0760952337838021,0,0,0,0.126481707876541,-0.043168231407724,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0811982341551646,0,0.324831673763727,0,0,0,0,0,0,0,0,0,0,0,0,0.0715031372419928
CRO,1.20663775749934,0.320975599256238,-0.00481269648373455,0,-3.46944695195361e-18,-0.315552545899322,0,0,0,-0.134050483662562,0,0.0181369203072416,0.180924777114138,-0.425090298277638,0.209857637255366,0,-0.0587339484045441,0,0.160621702732349,-0.00878714355701249
EOS,0,0,0.0770124835077473,0.204379335884772,0,0.11750767009324,0.263065056437296,-0.00909651289327822,0,0,0,-0.0290741812271205,0.0878474687930666,0.0572823093377453,0,0,-0.0703678009332996,0,0,-0.0154741347398959
LINK,0,0.330826466412031,2.77555756156289e-17,2.77555756156289e-17,0,-4.33680868994202e-19,-0.0798618156908526,0.614835626139286,0,0,0,0.189827402360967,0.329118644991493,0.646596051625393,0,0,0,0,0,0.238234557145121
XTZ,0,0,0,0,0,0,0,0,0,0,0.404750435074157,0,0.0804572870492276,0,0,0,0,0,0,0
XLM,0,0,0,0.0416452024106342,0.35354640386508,0,0,0.176530123933741,0,0,0.0278516579717803,0.196810820713542,0,0,0,0,0,0,0,-0.163983039112363
OKB,0.273542254036439,0,0.214633401890702,0,0.153063417229508,0,0,-0.339900311652497,0,0.0357653814610998,0.10456622774358,-0.0444869425773996,-0.225840007918134,0,0.292042464732704,0,-0.13213992078727,0,0,-0.0666145024726504
XMR,-0.549753777007071,0,0.504497250044191,0,-0.128220117727533,0,0.253166889343964,0.417756620763535,0,0,0.0128542959966547,0.107808985449491,-0.186535912844914,0.332979295954957,0,0,0.0148411475127335,0,0,0
BV010082.Index,0.0270707155923574,0.0554733876739435,0,-0.0243579875722406,0,0,0,0,0.0512588436826218,0,0.0191309984325865,-0.0170592859944287,-0.0407171384534055,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.104726532807065,0.432742142643829,-0.112604658783659,-0.105340648191709,0,0,0.161433238128767,0,0.0939926293773022,-0.123796759331728,0,0,0.266535744834019,0,0,0,0,0
DXY.Curncy,0,-0.0205016417169175,-0.0938249977007952,0.0564581472230132,0.00787419585236524,-0.0416599051485359,0,0,0.0190158745775873,0,0.025760726291913,-0.0532169102430419,0.0311962660849892,0,0.03802746433927,0,-0.0417836785638632,0,0,0.0134876722911176
SPX.Index,0,-0.00911015414375305,0,0,0.0187939537206253,0,0.0633049547237464,-0.205687661572631,0.0720905565802129,0,0.0501931200354054,0,-0.0531518096378747,-0.0767804483372923,-0.00777417194123916,0,0,0,0,-0.0568273157390608
VIX.Index,0,0,0.0143018156047156,0,0.0578350715133694,0.047152192989854,0,0.625209504295678,-0.209113340921535,0,0.279929874750904,-0.857959052219877,0,0,0.719642111434488,0,0,0,-2.78539306599637,0
