,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.206423302055648,0,0,0.0485505550448226,0,0.0497903870380072,0,0,0,0,0.130167587307888,0,0.113029988665119,0,0,0,0,0,0.00380630523599538
ETH,0.057084461758709,0,0,0.222018311953795,0.159856204814528,0.0896914472722831,0,0,0.00841932676106951,0,0.119506215630731,0.0560528938462049,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.164834308703299,0.0998468859082949,0.146203691576466,0,0.0702168852263093,0,0,0.152534856108978,0,0.000000000000000000216840434497101,0,0,0,0,0,0
BCH,0,0.098375685392056,0,0,0.112122354476349,0.011426222260185,0.436610648523974,0,0.0428015078294307,0.106596790584501,0,0,0,0,0,0,0,0,0,-0.0229388508560506
BSV,0,0.346484258875438,0.192940645817991,0,0,0.121521288044088,0.114174442409607,0,-0.0537979263887657,0,0.0983651854833978,0.122116202745082,-0.0363489740799633,0.0130840863611708,0,0,0,0,0,-0.00513734905502008
LTC,0,0.129473812311841,0,0,0.112872375590967,0,0.137496395242134,0,0.061528841968709,0.105690825461988,0,0.107771477400823,0,0.0446631505047749,0,0,0,0,0,0
EOS,0.043850759439883,0,0,0.0874087866011595,0.185039118217473,0.204595302320448,0,0,0.0633693168057665,0.173904777449572,0,0.17049349223567,0,0,0,0,0,0,0,0
BNB,0,0.183121590263452,0,0.187384348504663,0,0.0355376824909288,0,0,0.08378590315297,0.000889485408877724,0,0.0999100554567243,0,0,0,0,0,0,0,-0.0389419924352648
ADA,-0.766101975953168,0.295238874865844,0.435733396031608,0,0,0.374518171113218,0,-0.100061448192985,0,0,-0.437986168837454,0.484476612107832,0.0379418057793519,0.476805857531032,0,1.79303785397048,0,0,0,0.0534981078386315
ETC,0,0,0,0.552745404938474,0.10912765273529,0,0.176127343621944,0,-0.00542699470234376,0,0.0334660352804982,0,0.000000000000000000867361737988404,0.0613279248949389,0,0,0.0177430223027256,0,0,0
XMR,0,0,0,0,-0.0142840469800973,0,0,0.301437860546018,0.0052979205624122,0.0827097366914668,0,0.0295799393873219,0,0,0.481684164725127,0,0,0,0,0
TRX,0,0.120187703199653,0,0,0.00000000000000000173472347597681,0,0.559038953176198,0,0.0326725752879767,0,0.110929683830914,0,0.112885698520395,0.0486796305370881,0.0145486923708664,0,0,0,0,0
XLM,0,0,0,0,0,0,0.0124297930100143,0,0.286735172325318,0.0156181934558923,0.0407185006981125,0.137231810015737,0,0.223921357456025,0.126711197464073,0,0.120687925566618,0,0,0.0198648537387668
XTZ,0,-0.280118766751054,0,0,0.250632383151549,-0.0314448799952684,0.0494881535858055,0.448860654767866,0.295415811555624,0,0.0669737730656243,-0.278072496646044,0.320998303663545,0,0,0,-0.290933464458473,0,0,0.0502425429073397
DASH,0,0,0,0.273306029532902,0,0,0,0,0.0766971365318757,0.0674371919027762,0.0507646642171864,0,0,0.049963360162053,0,0,0,0,0,0
BV010082.INDEX,0.0112527469019967,0,0,0,0,0,0.00723005573685077,0,0,0.0563327397658219,0.0143206147305824,0,0,0,0,0,-0.0245408460605065,0,0.047119104663512,-0.00344498414737444
CVIX.INDEX,-0.0402326220539926,0.351419700808111,0,-0.6829218363146,0.0915377091576116,0,0,0.562567598080727,-0.178775406620125,0.56196614397074,-0.584459624636203,0.0633505669853531,0.0495360037354282,-0.18298844963876,0,0,0,0,0,-0.156109531870728
DXY.INDEX,0.0200711071961988,-0.0415564868184732,0.0399657216812919,0,0,0,-0.0318002830785674,0,0.0244699896558377,-0.0420700566012411,-0.0181538828334039,0.048808817676407,0.012941395760089,0.00870827287999514,-0.0130249079456734,0,0.0278570075685004,0,-0.0784445938182766,0
SPX.INDEX,0.0840091483878426,0,-0.0650943764847689,0,0,-0.021809821371003,0,0.0506991626714787,0,0,0,-0.0759908501013221,0.0516966816058018,0.0157328895519304,0,0,-0.00972698494352866,0,0,-0.141314962229181
VIX.INDEX,0.771590829067365,0,0,0,0,-0.268201729381526,0,0.210369219829426,0.340543848438336,0,-0.118915523144552,-0.709530939123033,-0.0971378519087003,0,0,0,-0.285590629759937,0,-3.59671893411405,0
