,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.123300883689784,0.0100792578567751,0.280039243661519,0.365304001618975,0.0907423487810055,0.00647595750255987,0,0,0,0,0
XRP,0.351199201277787,0,0.113355113052358,0.459513545060338,0,0.0260406014646749,0.0910154382066971,-0.126681060493134,0,-0.215888726550726,0,0,0.239646376256895
LTC,0.341978942096857,0.0668184175030314,0,0,0.783162356475017,-0.0000000000000000138777878078145,0,0.106192667534024,0,0.512375720217864,0,0,0
XLM,0.636684047453348,0.141453670638373,-0.0659833181372489,0,0.174727586710093,0.0000000000000000138777878078145,-0.281844179628167,0.121945194466296,0,-0.147320791591992,0,0,0
DOGE,0.0366266608197167,0,0.0920383300557637,0,0,0.427243344989346,0.0490131735174329,0,0,0,0,0,0
DASH,0.781049472132162,0.0329784785919571,0,-0.0323188024206132,0.00102860689904469,0,0.0592298043765101,0.0759298999459536,0,0,0,0,0.0485257106058293
XMR,0.993403253340032,-0.305932992251997,0.0359923700061581,-0.0846279333869289,0,0.215351839053876,0,0.00000000000000000346944695195361,0,0,0,0,0
DGB,0.39928423405031,-0.175489686047961,-0.0000000000000000138777878078145,0.251512249768123,0.354473836928817,0,0.119905622282008,0,0,0,0,0,0
BV010082.INDEX,-0.00328319479961655,0.0434099467082842,0.0446207675240094,0.018799600629853,-0.115121203801394,0,0.00884617278363566,-0.00540527836823015,0,-0.044533195731235,0,0.283082349509645,0
CVIX.INDEX,0.192208702285413,-0.0903196714855785,0.0610226275687096,0.0428474360986009,-0.218860294713907,-0.0569857682792417,0.0344678214272885,0,0.117498802546442,0,1.14471282417122,0,0.0352656346192726
DXY.INDEX,0.0299157615056212,0.0061446176296991,0,0,-0.0122071720704614,-0.00427590574542008,-0.00629412343505988,0,0.00686078760148484,0.0255249723876158,0,0,-0.0308316258839632
SPX.INDEX,0,-0.0206834590261148,0.00220240142097786,0,0.0366778367658581,0.00757268336929492,-0.0226899014811693,-0.0120748005089293,0,0,0,0,-0.088172206252512
VIX.INDEX,0.305490612195779,0,0.0714501730661014,-0.11374019161109,0,0.0254702102367596,-0.235428392237946,-0.0154468770085883,-0.282617112246865,0,0,-5.36397454031044,0
